asset_id	resource_file	scene	speaker_jp	jp_voice	source_text_sha256	zh_cn
19	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_19.webp	010：2001年_02：アバン	篁唯依	201_唯依_TM_Y0020	EA5A7E92699DC30E75116E64FF6A69CCD4DB70DFDE23E3260992C90EF784C2C7	美国与加拿大吸取中国的教训，|趁BETA个体群尚未展开，以集中核打击攻击刚着陆的降下单元，|成功阻止了入侵。
20	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_20.webp	010：2001年_02：アバン	篁唯依	201_唯依_TM_Y0021	42538D8A9FC676DECB9D4C67CA8ADABAF7E4A6F07078BC8AA018473321E9415C	但代价极其惨重：|加拿大国土的30%化为近乎永久的放射性污染区。
21	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_21.webp	010：2001年_02：アバン	篁唯依	201_唯依_TM_Y0022	F0E3BB22B01557EB060D49CC0A1CC0A8ACCED5C91D13BDC240B0561E535C1D36	此后，在被称为“BETA大战”的二十余年战争中，|欧亚大陆各国军队不断后撤、败走。
22	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_22.webp	010：2001年_02：アバン	篁唯依	201_唯依_TM_Y0023	4A13480E99C2AB260391F99AC07497D856F361317345542785EA5231DFDFF997	BETA支配区占据欧亚大陆九成。|森林、动植物乃至土壤中的细菌，|整个自然环境都被连根摧毁。
23	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_23.webp	010：2001年_02：アバン	篁唯依	201_唯依_TM_Y0023（続き）	17669D99AB0BFDDF26107914751A5454FC3E55755647F96922FA2A64DBBA5EA4	那里已被夷为荒原，|除名为“Hive”的巨大巢穴外，什么都不复存在。
24a	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_24a.webp	010：2001年_02：アバン	篁唯依	201_唯依_TM_Y0024	38E88CF34FEF4BCC070B701716A5BCA286E80AB0ECA8797C7026CA72D5902B2F	与BETA之战所赌上的并非只有人类存亡，|而是地球起源生命的彻底灭绝。
24b	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_24b.webp	010：2001年_02：アバン	篁唯依	201_唯依_TM_Y0025	68C69DA27260E34BE0F56353E844E49E7C98AFA283EF3881B89BD5624AA165B1	亲眼见证现实的人类以欧洲沦陷为契机，|终于在联合国旗下集结战力、重组各国军队指挥系统，|开始全球规模的统一运用。
25	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_25.webp	010：2001年_02：アバン	篁唯依	201_唯依_TM_Y0026	D497D42EBAEC5A5781A77AC85DD55F9332D5D8D830E526BF776671882948CCB7	人类的对BETA基本战略却已转向：|优先重建补充枯竭战力的体制，并争取时间；|从收复失地、歼灭敌军，改为封锁欧亚大陆。
26	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_26.webp	010：2001年_02：アバン	篁唯依	201_唯依_TM_Y0027	93487F36B2EEF7D756F50C96D74C65B406F470E71EA55CD16C87CC3D9C347314	联合国对BETA总体战研究计划以巨大牺牲换得生态数据；|再加上美国为替代航空兵力开发的新概念兵器——战术步行战斗机|投入量产与实战，人类才勉强迟滞BETA的推进。
27	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_27.webp	010：2001年_02：アバン	篁唯依	201_唯依_TM_Y0028	A1E89D95D8161AA510C307755E07335290D26C147AAB2132B8BFD72E6DD1E7A0	1997年
28	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_28.webp	010：2001年_02：アバン	篁唯依	201_唯依_TM_Y0029	648DD19CB93A63C03415E99AD1E90A865459BE047601E6BEAA6A490071E6E9FC	东亚前线仍在朝鲜半岛缓慢南下，|灭亡的阴影已逼近日本帝国。
29	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_29.webp	020：1997年_04：登校・背景状況説明	小学生1	330_小学生１_TM_00001	C946713837E0ED3A9C261E6766957E7882ADFCA5234FD18FAC762542D757AF41	你知道吗？|听说篁家其实根本不是谱代武家。
30	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_30.webp	020：1997年_04：登校・背景状況説明	小学生2	340_小学生２_TM_00001	837D088DAB652E9657A69174232FBF57FE42C6EDEE078FC34A486DBEAC6B2BB5	听说她家现在的家格，|是靠肮脏手段弄到手的。
31	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_31.webp	020：1997年_04：登校・背景状況説明	小学生3	350_小学生３_TM_00001	2ED8031D47ED1EB414B1BCC5D03B0A229A4F78FD16F7B24433CC538A61F012A8	平时装得一本正经又爱说教，|结果还不是个骗子。
32	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_32.webp	020：1997年_07：装甲剣術教練	藤堂助教	107_藤堂助教_TM_T0003	FDD2D31FC840BB8BCAC8BCA0A3FB423A65CA166677D6F59036F0F39F290B9914	下一个！I小队！到起始线！
33	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_33.webp	020：1997年_07：装甲剣術教練	藤堂助教	107_藤堂助教_TM_T0004	D867E94874C37C51C875BEE3C24D2D87ADDAEA0F14642E68CA4914FF5DAF3DD4	双方，敬礼！
34	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_34.webp	020：1997年_07：装甲剣術教練	藤堂助教	107_藤堂助教_TM_T0005	054AE92C3790F9AEEDD769AC67967E8B930F2EBE32D274267D7E7603C3C9F63B	各就各位！
35	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_35.webp	020：1997年_13：試験終了後	真田教官	101_真田教官_TM_S0070講義修	BB69D184EA1ABFDFDC94D8C043B0BF657129C9C0A8EBC9BD38D2F814089AAF5C	第一名，J小队。
36	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_36.webp	020：1997年_13：試験終了後	真田教官	101_真田教官_TM_S0071講義修	4C5EC9DC124C3A5A37F22328F94AC417C9BA39E8CE529BA705A0631A97A142CE	第二名，Y小队。
37	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_37.webp	020：1997年_13：試験終了後	同期生2	130_同期生２_TM_70002	F4F98D27CC9338D914939FF71E65AEA339F6DB66350CD153BF815D224A61CDDC	怎么会……|明明已经那么、那么努力了！
38	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_38.webp	020：1997年_13：試験終了後	同期生3	140_同期生３_TM_40002	E9B461A8093AF4329E14A4C5E543684929B41DB6A0594999FE0CA99DD39AA4E2	为什么偏偏在这里停滞不前……！
39	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_39.webp	020：1997年_20：中庭	和泉	203_和泉_TM_I0162	9C7C8A8158E48512CCFA1F9E1559D8254EF92067FCF88EF35F294A111C515DB4	行行行，知道啦。
40	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_40.webp	020：1997年_20：中庭	安芸	202_安芸_TM_A0241	7866A6A54EE1A5BF91233B98AE8B1C9A036124D0B5C285D557C854F8130E2C58	这次一定让你见识我磨炼出的驾驶技术，|等着瞧吧！
41	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_41.webp	020：1997年_20：中庭	和泉	203_和泉_TM_I0163	6E37E38E7233E1ACD6FFF7AAA06A352B66709C8369CFB2C08BFDB5F3A12EC5CA	唉，你那技术究竟什么时候磨炼过啊？
59	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_59.webp	020：1997年_25：ネビュラチェーン	女学生1	210_女学生１_TM_00008	05CAE3FCF779D606C69699AB9124DB673CACB5D67126B6DF21E633DFD7C140A7	然后啊，那种人最差劲了吧？|所以我就直接说了。
60	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_60.webp	020：1997年_25：ネビュラチェーン	女学生2	220_女学生２_TM_00004	B78FE35C965E66B478513D6334563602E3F85F8D4A2BECB20A2B6897A629899E	诶，你真说了？|还当着本人说了？
61	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_61.webp	020：1997年_25：ネビュラチェーン	女学生1	210_女学生１_TM_00009	6FB9BD0A5516CC874FC38AA0945A003775F867827B2B3A00A2B1A4DD3DBFB503	当然啦！|跟是不是男朋友没关系。
62	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_62.webp	020：1997年_25：ネビュラチェーン	女学生1	210_女学生１_TM_00010	DD91F18930F8521D2BE5E6B059F6E0644C9C26451B929288408AF5DE7DD7E997	不行就是不行——|我就这么说了！
63	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_63.webp	030：1998年_32：BETA北九州上陸	帝国軍水兵4	180_帝国軍水兵４_TM_00001	706A3FFD85E2270A472F2DBF291BCECCFDD227F7BF1830A53784C5AB6B20FE1C	全舰转入直接打击，|执行渡洋阻止行动！
64	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_64.webp	030：1998年_37：初陣数日前・和泉	篁忠道	114_忠道_TM_00001	1417BBE624E03B5F3EFD9DC87113B41E54C90B35B7480D7E2BA1DD8B3019407C	话说回来，听说下次休假有两天，|我终于能回到你那边了。|若你在训练间隙抽得出时间，请与我见面。
65	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_65.webp	030：1998年_37：初陣数日前・和泉	篁忠道	114_忠道_TM_00002	85BD520688779AE970E9DC6FCC747DD47E2CDBC534A85060DBA5FB85E4879A9F	现在，我想和泉一起，|再走一遍那些承载回忆的地方。
66	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_66.webp	030：1998年_37：初陣数日前・和泉	篁忠道	114_忠道_TM_00002（続き）	A096F7D68B743457A92BE2FF7FA31551667FCCA54F59B4D86FFFC6CAEB1C2B68	因为我想把“为守护我们生长的京都、|守护和泉生活的城市而战”这份信念，|牢牢刻在心中。
67	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_67.webp	030：1998年_37：初陣数日前・和泉	篁忠道	114_忠道_TM_00003	6EA9EED23BA2BBD20013E5DA14CFBF8492A07C94742B7AA9C97F55B41069ACF0	每当听闻大陆战况不利，|这份念头便愈发强烈。
68	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_68.webp	030：1998年_37：初陣数日前・和泉	篁忠道	114_忠道_TM_00003（続き）	33AEBC12F2BBBBAE2C5CF9A46F07457B52BFB5D579519A7119A61161D931265E	当然，我作为斯卫卫士奋战的觉悟从未改变。|但我也真心希望，能明确自己作为“篁忠道”而战的理由。
69	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_69.webp	030：1998年_37：初陣数日前・和泉	篁忠道	114_忠道_TM_00004	A065882C2745C3B2ECC1358B654301B5576F0DF409BB141A1EDC0373877C3D6B	你是否会失望，|觉得我这般软弱，有违斯卫卫士的身份？
70	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_70.webp	030：1998年_37：初陣数日前・和泉	篁忠道	114_忠道_TM_00004（続き）	B2B0A036802D11722E3BB2FEA56F0C110C9A5467544D758CD7D7B49C48553EE8	即便如此，我仍想亲自确认——|我要用这双手守护你这个无可替代的人。
71	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_71.webp	030：1998年_37：初陣数日前・和泉	篁忠道	114_忠道_TM_00005	9458F158F8546806FBCDAE41687F9C93840957CE6710F6DA1CEAF3B9F959BD7B	只要能获得这份确信，|我便能在战场上化身鬼神。
72	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_72.webp	030：1998年_37：初陣数日前・和泉	篁忠道	114_忠道_TM_00005（続き）	1ECBD69F7E557852A8BE0E8489EBEEB942D79F2AA95B3BCB9AEADC2F190035F4	即使BETA有朝一日威胁这个国家，|我也会如不动明王般奋勇作战——|为了让你不必踏上战场。
73	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_73.webp	030：1998年_37：初陣数日前・和泉	篁忠道	114_忠道_TM_00006	5C3D6435A8CBB0C45E7EA58123F3A2F95832BDF8E2BBD52544A3EEA6ADDBF335	在熟悉的检票口，|愿我深爱的你能以笑容迎接我。|忠道
74	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_74.webp	030：1998年_43：臨戦待機	山城上総	205_上総_TM_Y0089	60177FFC52A6D133837BDCF464986B21EC18154F1A9CF7FD06A3E3A01D85F373	那么，你又如何呢？
75	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_75.webp	030：1998年_45：出撃	整備兵	280_整備兵_TM_00001	CCCC1F190E3D6510CDA5E0734FB09D7C957F6B867E1EFEBE30BBA282A8EFE898	专机整备，确认！|准备出击！
79	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_79.webp	030：1998年_54：琵琶湖艦隊	帝国軍水兵1	170_帝国軍水兵１_TM_00001	629B78E2826FB43DD33BF5444A8B2ABE3777F79A1A78047C37E36459254F393F	打开保密频道！通告全舰！|所有炮门准备发射！
80	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_80.webp	030：1998年_54：琵琶湖艦隊	帝国軍水兵2	260_帝国軍水兵２_TM_00001	530FFDC3BFF300446A9115E4C7C2B74ECED129679E46C14E5A68C0B69D85827D	保密频道已开启。通告全舰。|所有炮门准备发射！
81	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_81.webp	030：1998年_54：琵琶湖艦隊	帝国軍水兵3	270_帝国軍水兵３_TM_00001	0208F29BCF317EC866C6240158AAD6CF16E267BF0DD53FEDFA17D9E40F87FC19	开始数据链瞄准！|瞄准控制正常！
82	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_82.webp	030：1998年_72：小隊最後の戦い	篁忠道	114_忠道_TM_00007	5C3D6435A8CBB0C45E7EA58123F3A2F95832BDF8E2BBD52544A3EEA6ADDBF335	在熟悉的检票口，|愿我深爱的你能以笑容迎接我。|忠道
85	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_85.webp	030：1998年_76：山城戦死回想	安芸	202_安芸_TM_A0435	2B03F11E2D76B05F6618EC020AE5A4D7796FFA4AF1EFD8B9AC968728C920EA88	“祝愿新郎新娘与所有人幸福！”|上面这么写呢，和泉！
86	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_86.webp	030：1998年_76：山城戦死回想	和泉	203_和泉_TM_I0374	EA5EB1F667BB77E3132C9E89F2DF108413C2A20EADAF487E44B2D9148C9EB0B3	你、你跟我说这个干吗！
87	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_87.webp	030：1998年_76：山城戦死回想	志摩子	204_志摩子_TM_S0356	E718D829C0245A347E743EECB1A55AAA61494616B140AB62A9D48BB3BE6193EF	真好啊……|一定会很美吧。
88	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_88.webp	030：1998年_76：山城戦死回想	安芸	202_安芸_TM_A0436	2996BC61F563D73C3B52D5F7F761C29B6C3A14A795CFDFB2E27D1E2A0F5B205F	那么？|你和心爱的忠道大人什么时候结婚？
89	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_89.webp	030：1998年_76：山城戦死回想	和泉	203_和泉_TM_I0375	8BAA201E26823A181E75E400D90412D2FDA18772D74C06EAB5048D8959B2BBDE	大、大概等我任官以后吧。|毕竟是这种世道，还得顾及两家的社会颜面……对吧。
91	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_91.webp	030：1998年_76：山城戦死回想	山城上総	205_上総_TM_Y0215	5E6F7D14AF74C561D620740A4AE807F8FBAD42B8FCB96A832467E9445DAE5EA3	若彼此心意相通，|直呼名字也未尝不可。
92	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_92.webp	030：1998年_76：山城戦死回想	山城上総	205_上総_TM_Y0216	D63C7EC16E06A6764E615982C65F0F1C92B10FD332B52367459908576EC2A9A4	不过，还是算了吧。
93	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_93.webp	030：1998年_76：山城戦死回想	山城上総	205_上総_TM_Y0217	21F5A6C9368416E5EC8BA4176F6BD196471C3B7804B0B287DEE6E861D26E37E7	愿终有一天，|我们能那样称呼彼此。
94	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_94.webp	030：1998年_76：山城戦死回想	山城上総	205_上総_TM_Y0218	8C88D7912B59B1ECFBEB93FD56270C00491FF1DA37A1825E7B0038F3E8A7EB4C	因为你和从前的我太像了。
95	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_95.webp	030：1998年_76：山城戦死回想	山城上総	205_上総_TM_Y0219	9536CF7A4F8CE8905EF054F43AF52571663433CFB73CA5A1F9A25F7CE65168DF	失去两位兄长时，|我才终于明白。
96	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_96.webp	030：1998年_76：山城戦死回想	山城上総	205_上総_TM_Y0220	25E0E0BFCC63EA76B9103E99D63470F1ECDEA0D8BC2105AB28A5F5AD059ED65E	原来我自己，|根本没有任何战斗的理由。
97	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_97.webp	030：1998年_76：山城戦死回想	山城上総	205_上総_TM_Y0221	0F45219A8C8CE4D66FB586F4F6325935EE71915BA2C3A78636D74CAD0208B6A1	直到亲人之死给了我个人动机才察觉，|实在太不像话了。
