kind	source_relative	source_text_sha256	source_line_count	zh_cn
location	010_場所指定/EVテロップ_亀岡戦域東端.avif	D38C42B484EB04D91EC34B068C45A1B4270C4AB4D0CAE2BA7DBB5639FB215D82	1	龟冈战区东端
location	010_場所指定/EVテロップ_五条橋東第三野戦病院.avif	8A04A115C1673D556B169ADBA946877733BF562311420C3D2569816C2FC08F91	1	五条桥东第三野战医院
location	010_場所指定/EVテロップ_京都　伏見区　篁家京屋敷.avif	A04B3170FF4DBED7A58653DA2603B7F35B74D1B07A1C567AF286031BD11D3E5A	1	京都 伏见区 篁家京邸
location	010_場所指定/EVテロップ_京都縦貫自動車道　水掛インターチェンジ.avif	1149696D6979B2026A7F45AFDFBAA93F97999D93B19DECA7A6792CE5CBF8DD96	1	京都纵贯自动车道 水挂交流道
location	010_場所指定/EVテロップ_十数分後　京都・西京区.avif	C75DB19355422A740863868236C638898B4D6DF3FE847148A92049D830D1E34F	2	十几分钟后|京都·西京区
location	010_場所指定/EVテロップ_同時刻　京都　嵐山基地前衛　亀岡戦域東端.avif	85589A472F764D3F29A61473EE88032916EBC26FF246AF1F9095C389612B84A2	2	同一时刻|京都 岚山基地前沿 龟冈战区东端
location	010_場所指定/EVテロップ_同時刻　日本帝国　第二帝都　東京.avif	B3672BF9520ACBA8621FB997BFFEBE2AAC5F949237D26F33388EA7445BBEC2BC	2	同一时刻|日本帝国 第二帝都 东京
location	010_場所指定/EVテロップ_同時刻　滋賀県　琵琶湖.avif	5D86B68F31EC296BBFAE25E41D48452BEF44EF3EC56205B680129BE711E82469	2	同一时刻|滋贺县 琵琶湖
location	010_場所指定/EVテロップ_大韓民国　全羅南路道　光州市近郊.avif	487299E5E5AA310EF4B825E4B8E8B17C69DFFACE49C9C8DCFFA6C864FC5151B9	2	大韩民国|全罗南道 光州市近郊
location	010_場所指定/EVテロップ_山百合女子衛士訓練学校　愛宕山実機演習区域.avif	5C4DE2B67EDBF821272ADE06BF68CEFEE9E96A2713A1323381D9CE45B2817F67	3	首都京都|帝国斯卫军附属·山百合女子卫士训练学校|爱宕山实机演习区
location	010_場所指定/EVテロップ_山百合衛士訓練学校　シミュレータールーム.avif	29E4FED258967FC5FBEA59C6B410AC7E1B08319BEF3B3DA9A9E9E71871787569	2	帝国斯卫军附属·山百合女子卫士训练学校|模拟训练室
location	010_場所指定/EVテロップ_山百合衛士訓練学校　中庭.avif	8C4B12A2B74C27E2F1C19B7A6118557965238E28164ED782661AD506432AC3C6	2	帝国斯卫军附属·山百合女子卫士训练学校|中庭
location	010_場所指定/EVテロップ_山百合衛士訓練学校　候補生寄宿舎・あざみ寮　.avif	49952098785630459AAC0B994C773AA9FEBD16443044BF9459F3B5895E102E3B	2	帝国斯卫军附属·山百合女子卫士训练学校|候补生宿舍·蓟寮
location	010_場所指定/EVテロップ_山百合衛士訓練学校　候補生食堂.avif	5962E424A45881FBC23496B308610DBD18C4D0F762781CE275B935F61110BDF8	2	帝国斯卫军附属·山百合女子卫士训练学校|候补生食堂
location	010_場所指定/EVテロップ_山百合衛士訓練学校　正門.avif	B006552A862F2AF32C753881C0D5BE6B1CE0095ED727DE45835BBBE84476B73D	2	帝国斯卫军附属·山百合女子卫士训练学校|正门
location	010_場所指定/EVテロップ_山百合衛士訓練学校　第一グラウンド.avif	33E9CE71D313BD4D2BB1D9C4C53A0B3634E8B55456616C515F1F9AEE214A4C2A	2	帝国斯卫军附属·山百合女子卫士训练学校|第一操场
location	010_場所指定/EVテロップ_山百合衛士訓練学校　第二講堂.avif	2D09F2312C278B8433F88774131490D7A89F8BA53B0A12E714572A922FEDB9DE	2	帝国斯卫军附属·山百合女子卫士训练学校|第二讲堂
location	010_場所指定/EVテロップ_山百合衛士訓練学校　衛士強化装備更衣室.avif	D8FE938A0FBEC4AEFCCC8F8E6680308694B65A2EE7C4282260E9E1E95D5A022E	2	帝国斯卫军附属·山百合女子卫士训练学校|卫士强化装备更衣室
location	010_場所指定/EVテロップ_嵐山基地　衛士詰所.avif	B304756A42FEAE978BA78A457AE8F6128FEAD041A978FAB99F37A7CE194B6094	1	岚山基地 卫士值班室
location	010_場所指定/EVテロップ_市ヶ谷　帝国陸軍技術廠.avif	7BCD31B998FC538C06A797CE3F086D6B6DB02F50FE250C4E8E063F76AAC5D24D	1	市谷 帝国陆军技术厂
location	010_場所指定/EVテロップ_帝国斯衛軍　愛宕山実機演習区域.avif	7C27F5A9D5109DEF784D4BE39F1315D9FB95EC8D9809D5FB669B1AC8A30154C9	1	帝国斯卫军 爱宕山实机演习区
location	010_場所指定/EVテロップ_帝国本土防衛軍　桂駐屯地.avif	945BE4E09B80730EFD9AF1B5E8F1FFFA57EC47D361BC1B172FE04125B1AF2E30	1	帝国本土防卫军 桂驻屯地
location	010_場所指定/EVテロップ_帝国海軍　第六艦隊旗艦　出雲.avif	584D99B144CA98E7417599F920A219A9232CA3985F52C9574706EC1E955EFF3B	1	帝国海军 第六舰队旗舰 出云
location	010_場所指定/EVテロップ_帝国軍嵐山基地　仮設補給所.avif	F1D64344D4C6DE7488704580D9B3173D672919EF9063B1C29E7D53222A368BF9	1	帝国军岚山基地 临时补给站
location	010_場所指定/EVテロップ_数分後　亀岡戦域東端　嵐山基地近傍.avif	F825D8E4AFEB97FDA4122FE303B2156C406670CF2CAE28187A6722056AFEE26F	2	几分钟后|龟冈战区东端 岚山基地附近
location	010_場所指定/EVテロップ_数分後　京都・下京区　唐橋平垣町近傍.avif	EFD2E3B2F06AF0552DC533DB3A42BD30D51415634E12724E75CF289C4B4938F8	2	几分钟后|京都·下京区 唐桥平垣町附近
location	010_場所指定/EVテロップ_数刻後　京都　嵐山基地前衛.avif	9EC3837CB046CB58243BE41C07ABB79379107C8CE7E560664D9B36570290D262	1	数刻后 京都 岚山基地前沿
location	010_場所指定/EVテロップ_数刻後　伊賀市　帝国斯衛軍・開発試験部隊駐屯地.avif	0B851EDE5F52BD815EC578EC0373975CDD74E8D08AB22D19B231A04B2AE311C6	2	数刻后|伊贺市 帝国斯卫军·开发试验部队驻地
location	010_場所指定/EVテロップ_数時間後　京都　上京区　煌武院家・本邸.avif	E9344DA6D739064B34C068F5889C095D24A0FFB11C29E8989AA5A727E9033AE5	2	数小时后|京都 上京区 煌武院家本邸
location	010_場所指定/EVテロップ_数時間後　日本帝国　北九州沿岸部.avif	0BCCBC56ABE7FAA9E193FF0D048644818C4A43FB788FD0BE9FCD3E5C2CBC4231	2	数小时后|日本帝国 北九州沿岸
location	010_場所指定/EVテロップ_数秒後　京都　嵐山基地前衛.avif	83C22A11404A71A4F1B22A18E0854445669964E6CF827844D2B246AABF4E96F5	2	数秒后|京都 岚山基地前沿
location	010_場所指定/EVテロップ_日本帝国.avif	7490971FD26A129F4F20DABB8E65686831429DCE4DAEB48D1AB696EBEBD0EB82	1	日本帝国
location	010_場所指定/EVテロップ_日本帝国　首都京都.avif	F032666540ABD71A8C690718DC28876DD4A4DD48FF7FEB5961A9E25267D4CC7D	1	日本帝国 首都京都
location	010_場所指定/EVテロップ_東海道本線・線路帯.avif	6C2AB6638988EB90BD7FF893E8BDA6F6252BEBB1306FA916BA165040B006B7BA	1	东海道本线·铁路带
location	010_場所指定/EVテロップ_琵琶湖運河　山科大橋.avif	B2FCF1E579EE2B885616D81ADB58722D42D4BC974E461DECA1D2B96783690A9E	1	琵琶湖运河 山科大桥
location	010_場所指定/EVテロップ_第一防衛線　丹波戦区.avif	91E3F74DB72CEF90E427CD14BA11BAF6AEA818EC03C4BE5A7CBAA471F5DC0949	1	第一防卫线 丹波战区
location	010_場所指定/EVテロップ_第二帝都東京　斯衛軍第二帝都司令本部.avif	47963CB1174049142F00C8BFE09B1440E3E8048782895475A295B35EBA98CE51	2	第二帝都东京 千代田区 帝都城北之丸|斯卫军第二帝都司令本部
location	010_場所指定/EVテロップ_第二艦隊旗艦　尾張.avif	D4E434EAAD24002D8FD7085505A03817F81FA514BCA4B69B20B204AEEA6267BE	1	第二舰队旗舰“尾张”
location	010_場所指定/EVテロップ_野戦仮設補給場.avif	560B177EB8678C346B9F82C3576A7EFA99188C94A25EC4F9841AB215F97A3D37	1	野战临时补给场
location	010_場所指定/EVテロップ_首相官邸地下　危機管理センター.avif	DBE608E198D7C3A8295B9ADB553C1175817C1A540AF9FB265130D3576EF9FA34	1	首相官邸地下 危机管理中心
date	020_日時指定/EVテロップ_1997年04月14日.avif	0F0F09C45B2111B37807AC9243D9DCC78736917B7FE6EFDA8EEDFC45266E5365	1	1997年4月14日
date	020_日時指定/EVテロップ_1997年04月25日.avif	BE172429CE7E5C9B34E3A16F85D181F3B9F8750AA768767CE908629CC193C147	1	1997年4月25日
date	020_日時指定/EVテロップ_1997年05月19日.avif	258BCA72BB8F5F715136C3FE4A932F0835B80A7CEF6F1DD4C25AA6E78A777CD4	1	1997年5月19日
date	020_日時指定/EVテロップ_1997年05月20日.avif	F62C19B86A1575B32EF88AED7B4594C007FE19C7C27906ED3F274291A8FD5683	1	1997年5月20日
date	020_日時指定/EVテロップ_1998年09月24日.avif	2FC5F03EE8FB3A9752068072BE28AF3DB1B3C20685848E0EE28C0BBBD73E49C1	1	1998年9月24日
date	020_日時指定/EVテロップ_数十分後.avif	B37DA5E901F62836CCB09B1EEEB81C96B4EFCB639540EB67F6C941CF3298EFE8	1	数十分钟后
date	020_日時指定/EVテロップ_数時間後.avif	BDF089FCABAB698E377265CD77A7544BBECA70BC60A3AF46F652FB85502D7238	1	数小时后
