call_order,id,egpack,scene,speaker_jp,source_text_sha256,record_kind,cn_text,review_status,audit_flags
13,game_t00012,010_UAFプロローグ.egpack,010_UAFプロローグ,オペレーター,A16BB47268D366691B828F0F53AB57FD12F26933918BB9D0EFBEDBFEAFC3359E,text,「了解。『马尔杜克获得了巴比伦的钥匙』，重复，『马尔杜克获得了巴比伦的钥匙』」,OK,
14,game_t00013,010_UAFプロローグ.egpack,010_UAFプロローグ,テイラー大将,03FDEFD69D04553F7D2A3FB7021FA62C9C95F47E2D3BAE73460A888300DFE27B,text,「诸位，终于到了——」,OK,
15,game_t00014,010_UAFプロローグ.egpack,010_UAFプロローグ,テイラー大将,6E99F55BE4474BF53622C7256BD83C37350BFB5538FE357C275EA9E31DD17925,text,「人类很快就会胜利，地球也将复兴。不是六十年后，而是几年之内。」,OK,
16,game_t00015,010_UAFプロローグ.egpack,010_UAFプロローグ,テイラー大将,23031A6C70E3DB49824C951385B221C0EE1E20EDF306720E430363033D6CBEBF,text,「54年后，让我们把这美丽的地球、绿意盎然的欧亚大陆送给他们吧」,OK,
17,game_t00016,010_UAFプロローグ.egpack,010_UAFプロローグ,オペレーター,2E27A843A177D9B9E4E8B4C84084BEF77D7EC90BBFAFC6CC6D06D0F0F2D487E4,text,「——司令，联合国联合参谋会议回电。‘巴比伦之门已开启’，以上。」,OK,
18,game_t00017,010_UAFプロローグ.egpack,010_UAFプロローグ,テイラー大将,41913AA446E2D994AE7AA14D9D91850C3C852B22347379CF1D4A32068D26501B,text,「来了吗――」,OK,
19,game_t00018,010_UAFプロローグ.egpack,010_UAFプロローグ,テイラー大将,8927E7133C5AEAD39813CE9A444904AE1CEB9B50CCE8D46707B2FEC907AFEF58,text,「诸位——以现在时刻发动『巴比伦作战』——！」,OK,
20,game_t00019,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,EFD2016994B5CB45D694C2185005A5A314902FDD1768979E90B58A06AD0BE4F6,text,今天也飞翔在不变的天空中。,OK,
21,game_t00020,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,少尉,C0427A1E42D85B94551C4A187825643A5788179FC35913932581A1A8A42C7E93,text,「……黑刃2呼叫黑刃1。距预定地点还有120秒」,OK,
22,game_t00021,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,中尉,5934E53D91A27D3DB111FC9ED23990ACD0DB9A1B635886AC5C7D0F04DC717C3C,text,「黑刃1了解。开始减速。进入测地准备」,OK,
23,game_t00022,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,少尉,80CF53A650242014661EE9B6CD1AD50C674F4165FDFA017423D56FF2AB136B2E,text,「黑刃2了解」,OK,
24,game_t00023,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,少尉,2F5DDCA1C317CAB54825B04E30D23EB62EC14CC07128C6CBC0DF4BC4AF52DB26,text,「…………」,OK,
25,game_t00024,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,41C3E7DB09D3CDE09B8D4C75B7157DB731E75F23B4EA4608604FDBB858FC99DF,text,平滑地、平稳地——,OK,
26,game_t00025,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,FA31CC3369DA06360B978E8967286BCBD9E443B8254BD45FF97B2D19DEF99AB6,text,好，没什么问题。,OK,
27,game_t00026,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,少尉,FC44337D8ACB58D6FBC4A517BEB09BA7AC8DB3519FD9C22ACCE716F0D58B42C2,text,「对地光学影像记录完毕，转入GPS核对。……原始坐标数据显示是深海层吗？」,OK,
28,game_t00027,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,中尉,0DF7307900982C46CEB82F02971F553A33E884DEDE4F8E8771A0D3E4A99F9E7A,text,「黑刃1了解。这边也完成了记录。看来没有误差。」,OK,
29,game_t00028,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,中尉,8ED6B981C76C8E9C4B79B5FEE9AA24A4B86FBF211FF2A6031FB02790866732FA,text,「飞得不错，威尔。平稳而柔和」,OK,
30,game_t00029,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,中尉,1F230F9069E469769E7D183732C9E411C1EC1640382C12CCE38D28ABDFDD3FBB,text,「要像对待女人一样温柔。像你这样粗鲁的家伙，女人和战术机都会讨厌的。」,OK,
31,game_t00030,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,2FF9E357515E6EF73E6DFBD82953B3586C037B81C60C642AD3DBD7D542ED38A7,text,哎呀呀……就算飞得再好，到头来还是被当成‘小鬼’啊。,OK,
32,game_t00031,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,49464F01C9F2309F18523F9BFAC550F09803936F022C1F261219C67F7177816B,text,「明白，麦克马纳斯中尉。――我会像对待中尉一样小心谨慎地对待。」,OK,
33,game_t00032,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,マクマナス中尉,D54604B426EE1D29B19A86883C94E35D645E73378D24EA9357D5BF312D8E2426,text,「……什么？返航后想要奖励吗？」,OK,
34,game_t00033,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,B5D6B426F353551E93D6459B20075FA8111EB1A1337610E8D229BF8F80BFE05D,text,「恕我郑重拒绝，长官」,OK,
35,game_t00034,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,マクマナス中尉,8554CDFBFB4A7776AF9190F92B52CE5F06699115C5603AE175A9ADC06322369A,text,「好回答，威尔。我算明白了，你是真的什么都不懂。」,OK,
36,game_t00035,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,8D477A9E616D093C7A0734D44F04EC1AB9A3F940C9675B4AFF7414E364ED2A18,text,话虽如此，在单调沉闷的任务中，这种玩笑话确实让人感激。,OK,
37,game_t00036,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,41D9E23B3C50DD50038370E16B7F6F6CE34A2F5D004C41CD7F0470C15F53E588,text,「——话说回来，这边也是一成不变的景象啊。……虽然早就知道了，不过……」,OK,
38,game_t00037,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,E3F12E30C8A1AAA3B6662E439391624B81BF1A1D0F665E663C2AF020CAF2CCBD,text,无论看多少次都让人心情沉重的风景。,OK,
39,game_t00038,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,3F4CB11D34B4502FAB85E8AB2DD13E63998EE4C9CCC77241D5F888C10D1A6B3C,text,延绵不绝的海岸线，一望无际的盐沙漠。眼前是一片没有半点人类存在痕迹的世界。,OK,
40,game_t00039,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,マクマナス中尉,598412621781C23F4F3FAE96B8EEF3E29C4FBFF3F3F5FA9C648343319C87CCD3,text,「哎呀哎呀，发牢骚还太早了哦少尉」,OK,
41,game_t00040,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,4FFE73D9C8BE2AD14B5B78751803D9E8B3D866CA6E07E41B25F857A40AF54251,text,「这不是牢骚，只是感想。」,OK,
42,game_t00041,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,マクマナス中尉,7A9C4D073023692B89F194D7ED811661272A3662347557B462472E95A001D90C,text,「嚯，敢对这位达里尔大姐说这种话啊」,OK,
43,game_t00042,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,B706F2EF3C740540024377DA0DA05289B9F8B3F904B833635ADD2CE391DA42FF,text,「向上官提出正确建议是部下的职责，长官」,OK,
44,game_t00043,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,D2849D5834BA2106A5F28788C49BB87E7AB9926B34465C9AA35405601811A8DE,text,「哎呀呀。虽然不知道你在期待什么，不过对我来说，什么都不变才更安心。一切都在预料之中，天下太平，就是这么回事。」,OK,
45,game_t00044,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,2F5DDCA1C317CAB54825B04E30D23EB62EC14CC07128C6CBC0DF4BC4AF52DB26,text,「…………」,OK,
46,game_t00045,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,585F6BEC873E8C5FF57FC37BE4AEE65F4859185A033564B729A5384BCED7F22D,text,「不过，你说的我也不是不能理解。最近也没捞着什么船，但我可不想觉得这就是最后一回了」,OK,
47,game_t00046,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,BDFFD6F8022F855ABB54FCA616AB4681F88C579BF56A0717140938B371308231,text,「我还不想放弃。」,OK,
48,game_t00047,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,3A16137FB95DB9A801AA283EB3127227167A46584B493CBE24DA0CE135A45BFE,text,「谁都不想放弃。正因为如此，我们才在这里。但是别忘了，‘平安归来’也是任务哦。」,OK,
49,game_t00048,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,A44D78DE32E17257B0470654D20E930393A4E59F30692283E32805C009D0B98B,text,「是，长官。当然」,OK,
50,game_t00049,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,E418D53FDB71096F9E2CF0003DC45A342CC5094FD3A75191D74DA118B00644EC,text,想平安回去，但又希望发生点什么。,OK,
51,game_t00050,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,A1C52635328119806A42122386151E4B73ED688864D57F0DB7E31925C4679D2F,text,当然也不是说想要麻烦。,OK,
52,game_t00051,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,5C8D105F973290282CFD5615F698979E6577905A9BC74C9431EB6321F747C67F,text,只是，在这个空无一物的世界里，有什么，有人——,OK,
53,game_t00052,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,47FDB3096AD02DD7DBB7C665761DAEFE492E13F303D1D094B970D6C2D83BDFE5,text,「GPS校对完成。地图数据更新……精度没有问题。开始传输」,OK,
54,game_t00053,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,3B2B6C0A8590FC98284006CC36BD1ED1EACEDFD8A0248007E6FDC7D7C9FC9915,text,「——更新已确认。这边也没有异常。」,OK,
55,game_t00054,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,BAA6F4C89157FC8F90FFF55F6F87D149D477ADE521721A8406FB81F4E58004DA,text,「地图绘制装置做好后轻松多了。多亏了梅尔维娜。……我已经受够了对着照片画画了。」,OK,
56,game_t00055,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,38F29A5B9DFF1818DFBE59CC0E4C08D286BF246843210E6EE6D0987AB964F9C2,text,归投后对照标记的坐标和光学摄像机的记录，不断输入海岸线信息——,OK,
57,game_t00056,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,B02594B6732DACA789ED81AC5A777E577BB16FE29DB02055A8125E63D2A29AEA,text,那除了痛苦什么都不是。,OK,
58,game_t00057,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,580234A448CEA5B9C67449F439AB6A0250612972E8EDD5476EF836F68CCD5F42,text,「梅尔是个了不起的家伙。他真的很擅长用现有的东西拼凑出各种东西。」,OK,
59,game_t00058,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,B727526D3578EEB738366C9430735BBDF69B79AFCB4D46AC77C296FBBE056CDF,text,「擅长数字是印度裔血统带来的本事吗？」,OK,
60,game_t00059,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,2EA17B86242FDFC5E6CAAF2A9E077179A0F7F8FED87165A2490673E4FE68276C,text,「这点应该没关系……本该这么说，不过也不是完全不可能。……至少，她表现得让人这么想。」,OK,
61,game_t00060,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,9580D75CFBA5E4BACF697AF796F52D6098ED7EEDAD6E11FF816BF7191B38BCE4,text,「澳洲和印度之间也很复杂呢……让别人这么看，对她反倒更有好处吧。」,OK,
62,game_t00061,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,2F5DDCA1C317CAB54825B04E30D23EB62EC14CC07128C6CBC0DF4BC4AF52DB26,text,「…………」,OK,
63,game_t00062,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,647A97E4CC682CE3C47A2B4735C1FA7C5618FD47D7BABC399F0F2F9B684351FA,text,大量接收了来自印度的难民的澳大利亚，但其对待方式和我们美国差不多。,OK,
64,game_t00063,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,0E241E1F288E38057D4B2EDFFB3D15C636898256302A72928B87CA653076D69C,text,不，虽然想利用优秀难民但种族歧视根深蒂固，这种扭曲的情况也许比美国更复杂。,OK,
65,game_t00064,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,D542E3B0969E0158BFA45A6E3EAC568017E4DE9062109C6C0E16A3946093EF00,text,「人嘛，被逼到绝境时领地意识就会变强……――就算在意那种东西，也无能为力了啊。」,OK,
66,game_t00065,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,DAFF19E4772ECF8239780AD731D27DF18E148FCFD7A0C751F38EAE5BC302125D,text,「……是啊。真是讽刺啊。」,OK,
67,game_t00066,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,7CD2641DBE5910A2D8D5FC24A48BE378D6417D174A6B7E21C05DB9D8058E7A7F,text,「好，差不多到设置点了。这个地形的话，应该稍微向内陆靠拢吧——黑刃2，跟上」,OK,
68,game_t00067,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,80CF53A650242014661EE9B6CD1AD50C674F4165FDFA017423D56FF2AB136B2E,text,「黑刃2了解」,OK,
69,game_t00068,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,BF0F193576DC77FF4751B4333756D574D58DAA251F8734F324B09ABE542553E4,text,「OK，就到这里吧」,OK,
70,game_t00069,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,E6F6F0163B1C0660F2CB00FFF86C09F439608818FF39B3452C11C2CE671C26D1,text,岩盘似乎也很稳定，地形上也无可挑剔。,OK,
71,game_t00070,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,97A46B9DCB3E19C20F328544A0E301F4152EBE596135F0A43229C3D679DE36BD,text,「放下中继机——小心点。要像抚摸梅尔平坦的胸部一样温柔。别弄疼了」,OK,
72,game_t00071,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,15C7DD516127B893A26E0BD264D3FB300E8218478B4A8708A7050D998A562976,text,「……！」,OK,
73,game_t00072,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,46C17CEFECC24ACA8C9FE95079D1761362AE1E7947297681382E307A314FDA83,text,「——您这不是摆明了要让我手抖吗！再说现在正在执行作战啊，中尉，记录仪还开着呢……！」,OK,
74,game_t00073,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,28C59B9F74D1FF3C883D927E6DF3F3E6E5DD5D21E33015C4E309D5BA7651FCF5,text,「什么，还没干吗？你是处男吗？」,OK,
75,game_t00074,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,9964AA5349E8645803674015826139532C1F90F79CF5A7E3AB77EC099F60EC9E,text,「不是那种关系。被怀疑的话会给她添麻烦的！」,OK,
76,game_t00075,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,0D5D4FE98DA4EBE578A7EC5A12845C5124A12C3373913941A2062B778FB8A0C7,text,「哈哈，反正梅尔又没在听，美国海军陆战队员哪会这么容易动摇」,OK,
77,game_t00076,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,BBE6662EEBC602583D21FCDE74A4D8B8032380AB89AECB3CC2BCD2849F7B60D4,text,这个人还是一如既往……要是被梅尔问起来的话会被杀掉的。,OK,
78,game_t00077,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,8B9B94C29B126B37DF8D02DD3BBE3A134EC49F4E6E6DA30AF64C29F52CE5F41E,text,「喂，怎么了，复述一遍，威尔少尉」,OK,
79,game_t00078,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,287026315404EF781EF39B83EAF1C75658EEE4583FD61B5F335C06F1C0159C03,text,「――是，长官，我会沉着而温柔地设置。」,OK,
80,game_t00079,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,7F642D33265CAEA0E9FB03617190A7AF9CCE6725A8E4EC9797DB9B4D17A4D19E,text,罗森伯格中尉一直忍受着这种气氛吗……,OK,
81,game_t00080,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,A71EE6FE2F92FF52E97F8B3CD56F93F39500326524D5164C3F68B95B243BB807,text,「锚钉打入确认，固定完成。天线伸展，系统检查开始」,OK,
82,game_t00081,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,CB98669C8721AF94F728F79961F82C900177B7FCADCA745F1C0E44889ED9AE95,text,「了解，这边也确认启动了。……要是能捡到点什么就好了。」,OK,
83,game_t00082,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,451E2D0564AA10C826A01DCE5B5DBD687DE78A980DC852B1F9E1B2F9AD686EAD,text,「——世间一切平安无事，难道不是那样吗？」,OK,
84,game_t00083,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,DD5C0717C4CA6B982171B9817DC662766C8E62642F5A4BA4E5FA023AE7003760,text,「那只是设置之前的事。特意喷射推进剂安装好的。运气好的话，在海军那些人面前也有面子。不是吗？」,OK,
85,game_t00084,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,BB6E2ABA4E8709FE225CD22EC8A987870D24803691B1D70AE44388091F8B4698,text,「我当然也这么认为」,OK,
86,game_t00085,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,960FCA5A4321F9D50913BACE0C23B1A116028B9F91BB13B4DD21309F2AD23D27,text,这个单调的任务得到回报的唯一瞬间——我们只期盼着那个，就这样运送着中继机。,OK,
87,game_t00086,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,45FDFCB3780D44E18FD1DD38FFDD227CBD89E5AF3F4070A574AB9C2904E0B3D9,text,海军陆战队员，第318战术机队绝不放弃。,OK,
88,game_t00087,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,D0A909EA7576CDA776087BC7C0B84C344C9C275C3037B50C33BD298B4BD47C27,text,「真是的……合众国的正规母舰大人居然不得不依赖这种东西啊」,OK,
89,game_t00088,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,27726A1E0A0973CF37CC1BEA8587264B2666AC401EEBAC27809F989C97206D92,text,「没有低轨道卫星的话就毫无办法了。GPS还能用就算不错了」,OK,
90,game_t00089,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,63DEC383DF16463FF57B0217D6CB3D4D892EC9FFA7BF61EF446EACCC26D15899,text,测量和搜索，做的事简直就像以前的探险队。正规母舰打击群，这么夸张的名字都要哭了。,OK,
91,game_t00090,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,5289E6981CB9A67D7C4F6BED2A7265F29D185B56108A5D5DD1E97554646DD1EC,text,「母舰的静止卫星链路，梅尔没说什么吗？」,OK,
92,game_t00091,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,FA52F8C4436C60DC6437DD6CC2F1434AB8214CA1D52B10ABE1E76BD0DB486AD8,text,「果然梅尔也无法参与母舰本身的装备……」,OK,
93,game_t00092,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,9421CFC235D9916C7E7EDE62022F53D7734563C4170D581B17820B8DC05E2EF1,text,母舰的装备是机密中的机密。,OK,
94,game_t00093,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,979B3232F24D4AC253B60F424B104224E564354A8FE7C0F611A1C268990D8E36,text,名义上，毕竟不能让联合国军——或者说澳大利亚军的人碰这些东西。,OK,
95,game_t00094,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,17ED4A6668F1B39B7B2D62D704A95B72F8697F843822BB2FBAB3ED85A2DF62B3,text,真是的，现在可不是说这种死板话的时候吧。,OK,
96,game_t00095,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,6598A74B9B610BD8981984A7A4B268856883D36E61ED77BC9A204D5A7DE0EB7B,text,「据传闻，那即使是全体技术军官出动也无法完成。」,OK,
97,game_t00096,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,8D4785F5078460B256C6E6DA94522A02EC7112E71231D4BFD4F8CFF184B4D387,text,「技术方面尤其人手不足呢。那样夸张地折断也是当然的吧……舰桥结构物变成陆地上的孤岛，真是个令人作呕的玩笑啊，威尔」,OK,
98,game_t00097,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,CDDEC2AA2F61FE4409B2CA0F57ECB2559714156BD376AC086B60D96E199D3C71,text,「嗯……没有一天不觉得要是睡醒发现是玩笑就好了」,OK,
99,game_t00098,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,89AD0CE97CB8EBFC1D4C127850B4F2EA559501FDF2A28388F9CDF12E894D534B,text,托你的福，数据链也无法正常工作了——,OK,
100,game_t00099,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,C133E9DC0291C8EDA0697FD31B48792B4A104922E7A8F6D0AF24A57C4B37D87E,text,真是个不好笑的笑话的结果，我们在这里没完没了地工作。,OK,
101,game_t00100,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,4362F5B390136A26FE3D3D7DA0CC3CEB90EA9723BE1F2FB9CA78692EB8726382,text,哦，来了啊。可要发生点什么啊……！,OK,
102,game_t00101,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,B9850CE0B22FEC2DC516EFAD069D34D659173E19F1FBA8BA695C02B80D5DBD41,text,「启动完毕。开始宽带模式中继——」,OK,
103,game_t00102,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,5B51FABA9A62778D78532AD1FFC8D283EB16C23130A7440F48A0A4B6EB5B6B55,text,「――！」,CHECK,cn_from_payload_alt_nonenglish_slot
104,game_t00103,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,5B51FABA9A62778D78532AD1FFC8D283EB16C23130A7440F48A0A4B6EB5B6B55,text,「――！」,OK,
105,game_t00104,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,E43E95BB75F79013006BEFF2E7A0A45FEFE8DAE6C2ECCFA4A91D91773C26FE62,text,「——队长，这该不会是」,OK,
106,game_t00105,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,4720412F93BF1762816E19F0A47F1F291997CE581A864C8FBE6FB8D1FBDE1FDC,text,「——是求救信号威尔！真的一下子就收到了！」,OK,
107,game_t00106,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,AAE0579F6633FE9C8995A9F2840EDC7D73A9D118FE95108548BA6F5B87E41C4C,text,「好，干得不错，坐标已经输入了！」,OK,
108,game_t00107,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,54D887449FD3483EC9C6B490FB611ABD671CB36E3A96A429B8F34A473E575271,text,来的是求救信号和GPS坐标——,OK,
109,game_t00108,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,FE93D5E0FE24014AB52541CF390C4B030ACD4273D8C42D43A596C603B71A6351,text,「似乎不接收来自这边的呼叫。是自动信标」,OK,
110,game_t00109,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,AAA0CCD53F5195374DEF9147AFCC26AAA3011B43F52D57546721FFD28D2D585C,text,说到这个，当然——,OK,
111,game_t00110,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,DDE159CC55C63257B339C10660C2C1CD94A59F4AA814E7574ED7890B4C9DD677,text,「——OK，在续航范围内……去了就知道了！」,OK,
112,game_t00111,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,A37B3A4B43D10B9BAA5A9B15423CD53B7668BD720FF9BC8E02EFF8536F6A2DCD,text,好！,OK,
113,game_t00112,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,F5BF17931A4F3600550D8481669302FEBC6C95A90AE64163E7C4D84EB68D07C5,text,「黑刃1呼叫索尔蒂基地，能听到吗？」,OK,
114,game_t00113,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ＪＦＫオペレーター,84574C3364C34417153F7E46EBD7C60B0D8F1F3CA1EAC97AEED98552A55B6F6F,text,「——从索尔蒂基地，黑刃1，灵敏度良好」,OK,
115,game_t00114,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,E06FE2C2BC16BC7CDA60C8A97B69ED607C913C3326825674B3063AD2CB1DC875,text,「中继机E7的安装完成，紧接着收到了求救信号！重复，是求救信号」,OK,
116,game_t00115,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,FBB42D96A69DCC22EE434885671602FA1FE64EC394C78712C9FA75E43136BC3C,text,「已在可行动半径内，请求允许黑刃两机直接确认！」,OK,
