jp,cn,context
神代少尉,神代少尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
神宮司,神宫司,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
米国,美国,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
米国人,美国人,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
米国海兵隊,美国海军陆战队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
米国海兵隊戦術機部隊ブラックナイヴス,美国海军陆战队战术机部队黑刃队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
米国陸軍第１軍団第６６戦術機甲大隊,美国陆军第1军团第66战术机甲大队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
米軍,美军,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
米軍衛士,美军卫士,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
美桜乃少尉,美樱乃少尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
美桜乃雫,美樱乃雫,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
美桜乃雫少尉,美樱乃雫少尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
軌道降下兵,轨道空降兵,本作采用轨道降下兵；旧表轨道潜水员错误，不自动改正文中的其他译法；2026-09-09 本篇/AL对齐及中文军衔修订，历史基线不回写。
雫,雫,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
響,响,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
龍浪,龙浪,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
龍浪中尉,龙浪中尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
龍浪響,龙浪响,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
龍浪響中尉,龙浪响中尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
Ｂ小隊,B小队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
