"call_order","id","rio_file","scene","speaker_jp","jp_text","cn_text"
"33","pm:static:photonmelodies11.rio.002:1544313288:00208214","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","声","【声】「うししっ！　じゃあ今日も元気に起こしにいくよーーー！！」<01>","【声音】「嘻嘻！　今天也打起精神去叫他起床吧——！！」<01>"
"34","pm:static:photonmelodies11.rio.002:1544313288:00208464","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","武","【武】「んん…<03>…<03>んあ～～～」<01>","【武】「嗯嗯…<03>…<03>嗯啊～～～」<01>"
"35","pm:static:photonmelodies11.rio.002:1544313288:00208550","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","武","【武】「…<03>…<03>…<03>…<03>」<01>","【武】「…<03>…<03>…<03>…<03>」<01>"
"36","pm:static:photonmelodies11.rio.002:1544313288:00208616","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","声","【声】「やっと起きたか…<03>…<03>タケル」<01>","【声音】「你终于醒了…<03>…<03>武」<01>"
"37","pm:static:photonmelodies11.rio.002:1544313288:00208748","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","武","【武】「…<03>…<03>え？」<01>","【武】「…<03>…<03>咦？」<01>"
"38","pm:static:photonmelodies11.rio.002:1544313288:00208812","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","声","【声】「私の方にもお顔を向けてくださいまし」<01>","【声音】「也请您把脸转向我这边」<01>"
"39","pm:static:photonmelodies11.rio.002:1544313288:00208966","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","武","【武】「…<03>…<03>は？」<01>","【武】「…<03>…<03>哈？」<01>"
"40","pm:static:photonmelodies11.rio.002:1544313288:00209032","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","悠陽","【悠陽】「…<03>…<03>どうかなさいまして？」<01>","【悠阳】「…<03>…<03>您这是怎么了？」<01>"
"41","pm:static:photonmelodies11.rio.002:1544313288:00209142","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","武","【武】「いや、<03>えっと…<03>…<03>どうかなさるもなにも…<03>…<03>」<01>","【武】「不是，<03>呃…<03>…<03>还问我怎么了…<03>…<03>」<01>"
"42","pm:static:photonmelodies11.rio.002:1544313288:00209276","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","冥夜","【冥夜】「姉上、<03>タケルはまだ寝ぼけておるのではありませんか？」<01>","【冥夜】「姐姐，<03>武是不是还没睡醒？」<01>"
"43","pm:static:photonmelodies11.rio.002:1544313288:00209486","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","","…<03>…<03>…<03>…<03>。<01>","…<03>…<03>…<03>…<03>。<01>"
"44","pm:static:photonmelodies11.rio.002:1544313288:00209524","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","悠陽","【悠陽】「そうかもしれませんね。
まあ武様、<03>寝癖が…<03>…<03>」<01>","【悠阳】「也许是呢。
哎呀，武先生，<03>您的头发睡乱了…<03>…<03>」<01>"
"45","pm:static:photonmelodies11.rio.002:1544313288:00209768","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","","…<03>…<03>…<03>…<03>。<01>","…<03>…<03>…<03>…<03>。<01>"
"46","pm:static:photonmelodies11.rio.002:1544313288:00209806","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","悠陽","【悠陽】「ですが武様、<03>そろそろ起きねば学校に遅刻致しますよ？」<01>","【悠阳】「不过武先生，<03>差不多该起床了，否则上学会迟到的哦？」<01>"
"47","pm:static:photonmelodies11.rio.002:1544313288:00210044","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","武","【武】「…<03>…<03>ま、<03>分かってたけどな…<03>…<03>」<01>","【武】「…<03>…<03>嘛、<03>其实我早就知道了…<03>…<03>」<01>"
"48","pm:static:photonmelodies11.rio.002:1544313288:00210194","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","","これが夢だったらどれだけいいか。<01>","如果这是一场梦该有多好。<01>"
"49","pm:static:photonmelodies11.rio.002:1544313288:00210368","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","冥夜・悠陽","【冥夜・悠陽】「…<03>…<03>？」<01>","【冥夜、悠阳】「…<03>…<03>？」<01>"
"50","pm:static:photonmelodies11.rio.002:1544313288:00210446","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","","なんて…<03>…<03>…<03>…<03>。<01>","这种话…<03>…<03>…<03>…<03>。<01>"
"51","pm:static:photonmelodies11.rio.002:1544313288:00210492","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","","言ってる場合じゃねええええええええ！！！<01>","现在根本不是说这种话的时候啊啊啊啊啊啊啊！！！<01>"
"52","pm:static:photonmelodies11.rio.002:1544313288:00210644","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","声","【声】「さ、<03>霞ちゃん元気よく行ってみよー！！」<01>","【声音】「来，<03>小霞，打起精神，一起上吧——！！」<01>"
"53","pm:static:photonmelodies11.rio.002:1544313288:00210830","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","","か、<03>霞も一緒かよっ！？<01>","霞、<03>霞也一起来了！？<01>"
"54","pm:static:photonmelodies11.rio.002:1544313288:00210948","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","純夏","【純夏】「タケルちゃーん朝だ…<03>…<03>…<03>…<03>よ～…<03>…<03>…<03>…<03>」<01>","【纯夏】「小武——，天亮了…<03>…<03>…<03>…<03>哟～…<03>…<03>…<03>…<03>」<01>"
"55","pm:static:photonmelodies11.rio.002:1544313288:00211106","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","武","【武】「よ、<03>よう純夏…<03>…<03>」<01>","【武】「哟、<03>哟，纯夏…<03>…<03>」<01>"
"56","pm:static:photonmelodies11.rio.002:1544313288:00211210","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","武","【武】「よ、<03>よう霞…<03>…<03>」<01>","【武】「哟、<03>哟，霞…<03>…<03>」<01>"
"57","pm:static:photonmelodies11.rio.002:1544313288:00211322","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","武","【武】「ま、<03>待て純夏！　これはだな…<03>…<03>」<01>","【武】「等、<03>等等，纯夏！　这是…<03>…<03>」<01>"
"58","pm:static:photonmelodies11.rio.002:1544313288:00211456","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","純夏","【純夏】「…<03>…<03>何で…<03>…<03>ま・た・フ・リ・ダ・シ・に・戻っ・て・ん・の──」<01>","【纯夏】「…<03>…<03>为什么…<03>…<03>又·变·回·原·样·了——」<01>"
"59","pm:static:photonmelodies11.rio.002:1544313288:00211646","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","純夏","【純夏】「──よぅーーーーッッ！」
【武】「きゃりおーーーーーーーーーーーんっ！！」<01>","【纯夏】「——呀——————！」
【武】「咔哩哦――――――――――――！！」<01>"
"60","pm:static:photonmelodies11.rio.002:1544313288:00211838","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","武","【武】「ててて…<03>…<03>この野郎、<03>まだ首のあたりがおかしいぞ…<03>…<03>」<01>","【武】「疼疼疼…<03>…<03>你这家伙，<03>我脖子这边还不太对劲啊…<03>…<03>」<01>"
"61","pm:static:photonmelodies11.rio.002:1544313288:00212054","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","純夏","【純夏】「何でまたこうなっちゃってるのよ！」<01>","【纯夏】「怎么又变成这样了！？」<01>"
"62","pm:static:photonmelodies11.rio.002:1544313288:00212204","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","武","【武】「オレに怒るな！」<01>","【武】「别冲我发火！」<01>"
"63","pm:static:photonmelodies11.rio.002:1544313288:00212306","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","","そんなのこっちが聞きたいに決まってるだろ！<01>","这种事明明我才想问吧！<01>"
"64","pm:static:photonmelodies11.rio.002:1544313288:00212396","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","","一体、<03>いつの間にオレの「端的かつ絶大な説得力」を持った「オレのベッドで寝るの禁止令」が無効にされちまったんだよ？<01>","我那道“简明扼要又极具说服力”的“禁止睡在我床上令”，<03>到底是什么时候失效的啊？<01>"
"65","pm:static:photonmelodies11.rio.002:1544313288:00212830","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","冥夜","【冥夜】「…<03>…<03>どうしたタケル？」<01>","【冥夜】「…<03>…<03>怎么了，武？」<01>"
"66","pm:static:photonmelodies11.rio.002:1544313288:00212940","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","悠陽","【悠陽】「武様、<03>どうされました？」<01>","【悠阳】「武先生，<03>您怎么了？」<01>"
"67","pm:static:photonmelodies11.rio.002:1544313288:00213076","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","","はあ～～～～。<01>","唉～～～～。<01>"
"68","pm:static:photonmelodies11.rio.002:1544313288:00213124","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","","色々と常識がブッ飛んだ奴らだが、<03>聞き分けだけはいいと思っていたのに…<03>…<03>。<01>","她们一个个都没什么常识，<03>可我还以为至少都还算听得进话…<03>…<03>。<01>"
"69","pm:static:photonmelodies11.rio.002:1544313288:00213436","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","","やっぱり、<03>あの日からオレの生活はどうにかなっちまったんだ。<01>","果然，<03>从那天起，我的生活就已经哪里不对劲了。<01>"
"70","pm:static:photonmelodies11.rio.002:1544313288:00213684","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","","もう戻れないんだな…<03>…<03>それまでの優しかった日々には。<01>","已经回不去了啊…<03>…<03>再也回不到过去那些安稳的日子了。<01>"
"71","pm:static:photonmelodies11.rio.002:1544313288:00213904","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","純夏","【純夏】「タケルちゃん、<03>遠い目をしてごまかそうったってダメだよ」<01>","【纯夏】「小武，<03>就算摆出那副神游天外的样子，也别想蒙混过去。」<01>"
"72","pm:static:photonmelodies11.rio.002:1544313288:00214176","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","武","【武】「うるせーよ…<03>…<03>…<03>…<03>」<01>","【武】「吵死了…<03>…<03>…<03>…<03>」<01>"
"73","pm:static:photonmelodies11.rio.002:1544313288:00214268","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","","――あの日<01>","——那一天<01>"
"74","pm:static:photonmelodies11.rio.002:1544313288:00214358","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","","冥夜と悠陽が転校してきて、<03>冥夜でよいとか、<03>悠陽とお呼び捨てくださいとか言われてさ…<03>…<03><01>","冥夜和悠阳转学过来，<03>说什么叫我冥夜就好、<03>请直呼我悠阳之类的…<03>…<03><01>"
"75","pm:static:photonmelodies11.rio.002:1544313288:00214868","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","","その数分後には霞も転校してきて…<03>…<01>","没过几分钟，霞也转学过来了…<03>…<01>"
"76","pm:static:photonmelodies11.rio.002:1544313288:00215058","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","","純夏を見るなり、<03>いきなり泣き出したもんだから、<03>しっちゃかめっちゃかになったんだ。<01>","一看到纯夏，<03>她就突然哭了出来，<03>于是场面整个乱成一团。<01>"
"77","pm:static:photonmelodies11.rio.002:1544313288:00215342","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","","しかもオレが泣かしたことにされてるし。<01>","而且还被说成是我把她弄哭的。<01>"
"78","pm:static:photonmelodies11.rio.002:1544313288:00215584","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","","その後だって、<03>ワケわからんことの連続で。<01>","而且在那之后，<03>还净是些莫名其妙的事。<01>"
"79","pm:static:photonmelodies11.rio.002:1544313288:00215848","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","","やっとの思いで家についたら、<03>何故か冥夜も悠陽もオレの家でくつろいでやがるし。<01>","好不容易回到家，<03>冥夜和悠阳却不知为什么已经在我家里悠哉起来了。<01>"
"80","pm:static:photonmelodies11.rio.002:1544313288:00216274","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","","「不純異性交遊許可証」なんてモンまで持ってやがって。<01>","甚至还拿着什么“不纯异性交往许可证”。<01>"
"81","pm:static:photonmelodies11.rio.002:1544313288:00216680","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","","小湖首相と親父のサインって…<03>…<03>。
オヤジ達まで実は追い出してたんだもんな…<03>…<03>。<01>","小湖首相和老爸的签名…<03>…<03>。
结果连老爸他们，其实也早就被赶出去了…<03>…<03>。<01>"
"82","pm:static:photonmelodies11.rio.002:1544313288:00217196","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","","…<03>…<03>あれ？<01>","…<03>…<03>咦？<01>"
"83","pm:static:photonmelodies11.rio.002:1544313288:00217234","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","","ってことは、<03>「あの日」以前からもうオレの生活はどうにかなっちまってたってことじゃんか。<01>","也就是说，<03>早在“那天”以前，我的生活就已经乱套了嘛。<01>"
"84","pm:static:photonmelodies11.rio.002:1544313288:00217684","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","","…<03>…<03>。<01>","…<03>…<03>。<01>"
"85","pm:static:photonmelodies11.rio.002:1544313288:00217708","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","","…<03>…<03>…<03>…<03>。<01>","…<03>…<03>…<03>…<03>。<01>"
"86","pm:static:photonmelodies11.rio.002:1544313288:00217746","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","","余計なことに気付いちまったな。<01>","我发现了不该发现的事啊。<01>"
"87","pm:static:photonmelodies11.rio.002:1544313288:00217848","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","","いや、<03>どちらかと言えば、<03>認めたくなかったことを認めざるを得なくなった心境、<03>とでも言うべきか。<01>","不，<03>真要说的话，<03>应该说是被迫承认了自己一直不愿承认的事，<03>这种心情才对。<01>"
"88","pm:static:photonmelodies11.rio.002:1544313288:00218048","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","武","【武】「――とにかくだっ！！」<01>","【武】「――总之！！」<01>"
"89","pm:static:photonmelodies11.rio.002:1544313288:00218148","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","純夏","【純夏】「――ぅわぁっ！！」<01>","【纯夏】「――呜哇！！」<01>"
"90","pm:static:photonmelodies11.rio.002:1544313288:00218218","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","武","【武】「おまえ等、<03>オレのベッドで寝るの禁止って言ったろうが！！」<01>","【武】「你们几个，<03>我不是说过，不准睡在我床上吗！！」<01>"
"91","pm:static:photonmelodies11.rio.002:1544313288:00218548","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","冥夜","【冥夜】「あ～…<03>…<03>それはだな…<03>…<03>」<01>","【冥夜】「啊～…<03>…<03>这个嘛…<03>…<03>」<01>"
"92","pm:static:photonmelodies11.rio.002:1544313288:00218666","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","武","【武】「そのためにわざわざ周りの土地買収して、<03>あれを建てたんだろうが！！」<01>","【武】「你们不就是为了这个，才特地把周围的地都买下来，<03>又盖了那玩意儿吗！！」<01>"
"93","pm:static:photonmelodies11.rio.002:1544313288:00219018","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","武","【武】「大体おまえ等、<03>オレの心拍数跳ね上げて何がしたいんだ！　死んじまってもいいのかよっ！」<01>","【武】「再说你们几个，<03>把我的心率吓得狂飙到底想干什么！　难道把我吓死也无所谓吗！」<01>"
"94","pm:static:photonmelodies11.rio.002:1544313288:00219366","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","悠陽","【悠陽】「そういうわけではございませんが、<03>いずれ武様には慣れていただかなければ…<03>…<03>」<01>","【悠阳】「并不是那样，<03>只是武先生迟早得习惯才行…<03>…<03>」<01>"
"95","pm:static:photonmelodies11.rio.002:1544313288:00219686","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","武","【武】「はあ！？　なんで！」<01>","【武】「哈！？　为什么！」<01>"
"96","pm:static:photonmelodies11.rio.002:1544313288:00219794","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","悠陽","【悠陽】「嫌ですわ、<03>武様…<03>…<03>妻たる私めが、<03>武様と寝所を共にするのは当然のことでございましょう？」<01>","【悠阳】「讨厌啦，<03>武先生…<03>…<03>身为妻子的我，<03>与武先生同床共枕不是理所当然的吗？」<01>"
"97","pm:static:photonmelodies11.rio.002:1544313288:00220152","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","純夏","【純夏】「な、<03>な、<03>な、<03>な…<03>…<03>」
【武】「――なに―――――――ッッッ！！」
【冥夜】「――ッ？！」<01>","【纯夏】「什、<03>什、<03>什、<03>什…<03>…<03>」
【武】「――什么――――――――！！」
【冥夜】「――！？」<01>"
"98","pm:static:photonmelodies11.rio.002:1544313288:00220400","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","冥夜","【冥夜】「――あ、<03>姉上！　まだ姉上とタケルは…<03>…<03>ッ！！」
【純夏】「――タケルちゃん！　どうなってんのよー！！！」<01>","【冥夜】「——啊、<03>姐姐！　姐姐和武还没有…<03>…<03>！」
【纯夏】「——小武！　这到底是怎么回事啊——！！！」<01>"
"99","pm:static:photonmelodies11.rio.002:1544313288:00220788","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","武","【武】「し、<03>しらんっ！」<01>","【武】「我、<03>我不知道！」<01>"
"100","pm:static:photonmelodies11.rio.002:1544313288:00220872","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","純夏","【純夏】「土曜日、<03>何かあったんじゃないの！？」<01>","【纯夏】「星期六，<03>是不是发生了什么！？」<01>"
"101","pm:static:photonmelodies11.rio.002:1544313288:00221048","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","武","【武】「ねーよっ！　いや、<03>つーかあったけどッ！　それが色っぽいモンなんかじゃねーってことは、<03>おまえだって身をもって知っただろうがっ！！」<01>","【武】「没有！　不，<03>该说确实有！　但那绝对不是什么暧昧的事，<03>你自己不是也亲身体会过了吗！！」<01>"
"102","pm:static:photonmelodies11.rio.002:1544313288:00221474","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","","――あんた達には料理対決をしてもらうわ！<01>","——我要让你们来一场厨艺对决！<01>"
"103","pm:static:photonmelodies11.rio.002:1544313288:00221604","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","","…<03>…<03>なんて、<03>夕呼先生が言い出すから。<01>","…<03>…<03>都怪夕呼老师，<03>突然提出这种事。<01>"
"104","pm:static:photonmelodies11.rio.002:1544313288:00221764","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","","――優勝者には、<03>白銀の隣の席を与える…<03>…<03>どう？<01>","――优胜者，<03>将获得白银旁边的座位…<03>…<03>怎么样？<01>"
