"call_order","id","rio_file","scene","speaker_jp","jp_text","cn_text"
"13","pf:static:photonflowers11.rio:488251388:00011314","photonflowers11.rio","crsa:photonflowers11.rio@488251388","武","【武】「…<03>…<03>ええと…<03>…<03>」<01>","【武】「……<03>……<03>呃……<03>……<03>」<01>"
"14","pf:static:photonflowers11.rio:488251388:00011402","photonflowers11.rio","crsa:photonflowers11.rio@488251388","武","【武】「…<03>…<03>１時間くらいですか？」<01>","【武】「……<03>……<03>一个小时左右？」<01>"
"15","pf:static:photonflowers11.rio:488251388:00011502","photonflowers11.rio","crsa:photonflowers11.rio@488251388","まりも","【まりも】「…<03>…<03>…<03>…<03>８分だ」<01>","【麻理茉】「……<03>……<03>……<03>……<03>8分钟。」<01>"
"16","pf:static:photonflowers11.rio:488251388:00011600","photonflowers11.rio","crsa:photonflowers11.rio@488251388","千鶴・冥夜・壬姫・慧・美琴・武","【千鶴・冥夜・壬姫・慧・美琴・武】「…<03>…<03>…<03>…<03>」<01>","【千鹤、冥夜、壬姬、慧、美琴、武】「……<03>……<03>……<03>……<03>」<01>"
"17","pf:static:photonflowers11.rio:488251388:00011698","photonflowers11.rio","crsa:photonflowers11.rio@488251388","まりも","【まりも】「この事態は人類を驚愕させた。<0A>衛士は最初から衛士として育成される事が必要であるとして、<03>専門の教導部隊と訓練隊の整備がさらに加速した」<01>","【麻理茉】「这一状况震惊了全人类。<0A>人们由此认定，卫士必须从一开始就以卫士为目标进行培养，<03>于是进一步加快了专门教导部队与训练队的建设。」<01>"
"18","pf:static:photonflowers11.rio:488251388:00012300","photonflowers11.rio","crsa:photonflowers11.rio@488251388","まりも","【まりも】「その影響は、<03>各国の義務教育課程のカリキュラムが変更されるなどの、<03>教育改革までに及んだのだ」<01>","【麻理茉】「其影响甚至波及教育改革，<03>例如各国都修改了义务教育课程。」<01>"
"19","pf:static:photonflowers11.rio:488251388:00012650","photonflowers11.rio","crsa:photonflowers11.rio@488251388","まりも","【まりも】「その先人達の膨大な犠牲のおかげで、<03>貴様たちは洗練された衛士教育を受けられるのだ。<0A>その事は決して忘れるな」<01>","【麻理茉】「正是因为前人付出了巨大的牺牲，<03>你们才能接受如今这套成熟的卫士教育。<0A>绝不要忘记这一点。」<01>"
"20","pf:static:photonflowers11.rio:488251388:00013140","photonflowers11.rio","crsa:photonflowers11.rio@488251388","千鶴・冥夜・壬姫・慧・美琴","【千鶴・冥夜・壬姫・慧・美琴】「はい！！」<0A>【武】「…<03>…<03>はい」<01>","【千鹤、冥夜、壬姬、慧、美琴】「是！！」<0A>【武】「……<03>……<03>是。」<01>"
"21","pf:static:photonflowers11.rio:488251388:00013304","photonflowers11.rio","crsa:photonflowers11.rio@488251388","","『死の８分』…<03>…<03>。<01>","『8分钟的死亡线』……<03>……<03>。<01>"
"22","pf:static:photonflowers11.rio:488251388:00013396","photonflowers11.rio","crsa:photonflowers11.rio@488251388","","訓練兵達にこの話をするのは、<03>もう何度目だろう。<01>","向受训兵们讲起这件事，<03>已经是第几次了呢。<01>"
"23","pf:static:photonflowers11.rio:488251388:00013564","photonflowers11.rio","crsa:photonflowers11.rio@488251388","","戦術機教程に進んだ衛士訓練兵が、<03>最初の座学で教えられる非情のデータ。<01>","进入战术机课程的卫士训练兵，<03>在第一堂理论课上便会被告知的残酷数据。<01>"
"24","pf:static:photonflowers11.rio:488251388:00013896","photonflowers11.rio","crsa:photonflowers11.rio@488251388","","…<03>…<03>かつては私も、<03>それを教えられる側にいた。<01>","……<03>……<03>曾经，<03>我也曾是听这番话的一方。<01>"
"25","pf:static:photonflowers11.rio:488251388:00013994","photonflowers11.rio","crsa:photonflowers11.rio@488251388","","本州の半分がＢＥＴＡに占領される以前の事だ。<01>","那是在本州有一半被BETA占领之前。<01>"
"26","pf:static:photonflowers11.rio:488251388:00014262","photonflowers11.rio","crsa:photonflowers11.rio@488251388","","今は国連軍基地となったこの場所に、<03>帝国陸軍横浜衛士学校が存在した。<0A>私はそこで『死の８分』を知った。<01>","在如今已经成为联合国军基地的这个地方，<03>曾经坐落着帝国陆军横滨卫士学校。<0A>我就是在那里知道了『8分钟的死亡线』。<01>"
"27","pf:static:photonflowers11.rio:488251388:00014608","photonflowers11.rio","crsa:photonflowers11.rio@488251388","","未だ戦火に曝される事無く、<03>現在ほどに切迫していない日本で育った私は、<03>座学で教えられるＢＥＴＡ大戦の実状に現実味を見出す事ができなかった。<01>","当时的日本尚未遭受战火，<03>局势远不像今天这般紧迫。成长于这种环境中的我，<03>对理论课上讲述的BETA大战实情毫无真实感。<01>"
"28","pf:static:photonflowers11.rio:488251388:00015300","photonflowers11.rio","crsa:photonflowers11.rio@488251388","","その内容が、<03>情報統制下で報道されていた大陸での戦争の様相と、<03>あまりにもかけ離れていたためだ。<01>","因为课程内容与信息管控之下媒体所报道的大陆战况，<03>相差得实在太远。<01>"
"29","pf:static:photonflowers11.rio:488251388:00015702","photonflowers11.rio","crsa:photonflowers11.rio@488251388","","８分という余りにも短い生存時間は、<03>私のような訓練兵に覚悟を促すための脅しだと高を括っていた。<01>","平均生存时间竟只有短短8分钟，<03>我却自以为那不过是用来逼我们这些训练兵做好心理准备的恫吓。<01>"
"30","pf:static:photonflowers11.rio:488251388:00016248","photonflowers11.rio","crsa:photonflowers11.rio@488251388","","過去の極端なデータを持ち出しているに過ぎないのだと。<01>","我以为，他们不过是搬出了过去的极端数据。<01>"
"31","pf:static:photonflowers11.rio:488251388:00016470","photonflowers11.rio","crsa:photonflowers11.rio@488251388","","だが、<03>事の真偽はどうあれ…<03>…<03>今、<03>私がこうして衛士訓練学校の教壇に立っているのは、<03>少なくともその８分間を生き延びた結果だ。<01>","然而，<03>无论这件事是真是假……<03>……<03>如今，<03>我之所以能这样站在卫士训练学校的讲台上，<03>至少是因为我活过了那8分钟。<01>"
"32","pf:static:photonflowers11.rio:488251388:00017006","photonflowers11.rio","crsa:photonflowers11.rio@488251388","","いや…<03>…<03>生き延びた、<03>というのは正確な表現ではない。<01>","不……<03>……<03>说是『活了下来』，<03>并不准确。<01>"
"33","pf:static:photonflowers11.rio:488251388:00017220","photonflowers11.rio","crsa:photonflowers11.rio@488251388","","『死の８分』――私は訓練兵達にこの話をする度、<03>自分が果たさなければならない重責を改めて心に刻みつける。<01>","『8分钟的死亡线』——每当我把这件事讲给训练兵们听，<03>都会再次将自己必须肩负的重任铭刻于心。<01>"
"34","pf:static:photonflowers11.rio:488251388:00017626","photonflowers11.rio","crsa:photonflowers11.rio@488251388","","それは、<03>私自身の若さ…<03>…<03>いや、<03>未熟であったが故に、<03>この身に背負った罪なのだ。<01>","那是我因年轻……<03>……<03>不，<03>因不成熟而背负在身上的罪。<01>"
"35","pf:static:photonflowers11.rio.002:199353776:00025261","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","教官１","【教官１】「――どうした神宮司ッ！　貴様もうバテたのかッ！？」<01>","【教官1】「——怎么了，神宫司！你这就跑不动了吗！？」<01>"
"36","pf:static:photonflowers11.rio.002:199353776:00025453","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","まりも","【まりも】「――いいえッ、<03>教官殿ッ！！」<01>","【麻理茉】「——没有，<03>教官！！」<01>"
"37","pf:static:photonflowers11.rio.002:199353776:00025541","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","教官１","【教官１】「顎が上がってるぞッ！　――もっと早く走れ！　早く早く早くもっと早くだッ！！」<01>","【教官1】「下巴都抬起来了！——给我跑快点！快快快，再给我快一点！！」<01>"
"38","pf:static:photonflowers11.rio.002:199353776:00025891","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","まりも","【まりも】「――はい教官殿ッ！！」<01>","【麻理茉】「——是，教官！！」<01>"
"39","pf:static:photonflowers11.rio.002:199353776:00025973","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","まばゆい光と熱と湿度に支配された広大な演習場を、<03>私は生命を絞り尽くして走る。<01>","在这片被刺眼阳光、灼热与湿气支配的辽阔训练场上，<03>我榨尽全身的生命力奔跑着。<01>"
"40","pf:static:photonflowers11.rio.002:199353776:00026275","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","まりも","【まりも】「はぁ…<03>…<03>はぁ…<03>…<03>ッ」<01>","【麻理茉】「哈啊……<03>……<03>哈啊……<03>……<03>！」<01>"
"41","pf:static:photonflowers11.rio.002:199353776:00026369","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","地面から立ち上る陽炎の向こうに、<03>次の射撃ポイントが見えた。<01>","透过从地面升腾而起的热浪，<03>我看见了下一个射击点。<01>"
"42","pf:static:photonflowers11.rio.002:199353776:00026605","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","ドラム缶とその先１００ｍに立てられた射撃用のターゲットが揺らめく。<01>","油桶和竖立在其前方100米处的射击靶，<03>都在热浪中影影绰绰地晃动。<01>"
"43","pf:static:photonflowers11.rio.002:199353776:00026849","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","私はそこに向かってただひたすら走る。<0A>まるで、<03>オアシスの蜃気楼に引き寄せられる砂漠の遭難者のように。<01>","我只顾朝那里拼命奔跑。<0A>就像一个在沙漠中遇难、被绿洲蜃景吸引过去的人。<01>"
"44","pf:static:photonflowers11.rio.002:199353776:00027233","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","まりも","【まりも】「はぁ…<03>…<03>はぁ…<03>…<03>ッ」<01>","【麻理茉】「哈啊……<03>……<03>哈啊……<03>……<03>！」<01>"
"45","pf:static:photonflowers11.rio.002:199353776:00027327","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","走る勢いのまま、<03>ドラム缶の脇に倒れ込むようにして射撃位置を確保する。<01>","我借着奔跑的冲势，<03>几乎扑倒在油桶旁，迅速占据射击位置。<01>"
"46","pf:static:photonflowers11.rio.002:199353776:00027615","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","即座に射撃姿勢を取りターゲットを撃つ。<01>","随即摆好射击姿势，向目标开火。<01>"
"47","pf:static:photonflowers11.rio.002:199353776:00027725","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","そしてすぐさま次のポイントを目指して走る。<01>","然后立刻朝下一个射击点跑去。<01>"
"48","pf:static:photonflowers11.rio.002:199353776:00027885","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","まりも","【まりも】「はぁ…<03>…<03>はぁ…<03>…<03>ッ」<01>","【麻理茉】「哈啊……<03>……<03>哈啊……<03>……<03>！」<01>"
"49","pf:static:photonflowers11.rio.002:199353776:00027979","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","一連の動作は私の思考を介していない。<0A>日頃の訓練で叩き込まれたものを、<03>身体が実行しているだけだ。<01>","这一连串动作并未经过我的思考。<0A>身体只是在执行平日训练中反复练到本能的动作。<01>"
"50","pf:static:photonflowers11.rio.002:199353776:00028389","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","そうでもなければ、<03>今の状態でそんな事ができるわけがない。<01>","否则，<03>凭我现在的状态，根本不可能做到这些。<01>"
"51","pf:static:photonflowers11.rio.002:199353776:00028613","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","まりも","【まりも】「はぁ…<03>…<03>はぁ…<03>…<03>ッ」<01>","【麻理茉】「哈啊……<03>……<03>哈啊……<03>……<03>！」<01>"
"52","pf:static:photonflowers11.rio.002:199353776:00028707","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","この炎天下…<03>…<03>全長４ｋｍの射撃コースを、<03>既に４本走っている。<01>","在这样的烈日下……<03>……<03>全长4公里的射击路线，<03>我已经跑完了4趟。<01>"
"53","pf:static:photonflowers11.rio.002:199353776:00028985","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","今日の訓練は、<03>このコースを全部で５本走り、<03>各回のタイムと射撃スコアを計測するサーキットトレーニングだ。<01>","今天进行的是循环训练：<03>这条路线总共要跑5趟，<03>并记录每一趟的用时和射击成绩。<01>"
"54","pf:static:photonflowers11.rio.002:199353776:00029465","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","回を重ねるごとにタイムが落ちていく。<0A>その分、<03>射撃スコアが最後にものを言う。<01>","每跑一趟，速度就会变慢。<0A>正因如此，<03>最后决定结果的就是射击成绩。<01>"
"55","pf:static:photonflowers11.rio.002:199353776:00029721","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","まりも","【まりも】「はぁ…<03>…<03>はぁ…<03>…<03>ッ」<01>","【麻理茉】「哈啊……<03>……<03>哈啊……<03>……<03>！」<01>"
"56","pf:static:photonflowers11.rio.002:199353776:00029815","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","ただ走って撃つだけであれば、<03>この炎天下であってもどんなに楽な事か。<01>","如果只需要跑步和射击，<03>哪怕是在这样的烈日下，也不知会轻松多少。<01>"
"57","pf:static:photonflowers11.rio.002:199353776:00030101","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","せめてこの背嚢さえ無ければ、<03>こんな訓練はハイキングのようなものだ。<01>","要是没了这个背囊，<03>这种训练简直就跟徒步旅行一样。<01>"
"58","pf:static:photonflowers11.rio.002:199353776:00030335","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","背嚢に詰められた３０ｋｇのウェイトが、<03>疲労と痛みとストレスを増幅させているのだ。<01>","塞在背囊里的30公斤配重，<03>不断加剧着疲劳、疼痛和压力。<01>"
"59","pf:static:photonflowers11.rio.002:199353776:00030665","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","もう…<03>…<03>体力の限界が近いらしい。<01>","看来……<03>……<03>我的体力已经快到极限了。<01>"
"60","pf:static:photonflowers11.rio.002:199353776:00030773","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","３ｋｇ強しかないはずの突撃銃が、<03>両腕を引きちぎるほどに重く感じる。<01>","明明只有3公斤多一点的突击步枪，<03>现在却重得仿佛能把我的双臂扯断。<01>"
"61","pf:static:photonflowers11.rio.002:199353776:00031043","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","それどころか、<03>容赦なく照りつける太陽光線にすら圧力を感じるのだ。<01>","不止如此，<03>甚至连无情炙烤着我的阳光，都仿佛带着沉重的压力。<01>"
"62","pf:static:photonflowers11.rio.002:199353776:00031221","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","たった２００ｍ先にある最後の射撃ポイントが、<03>今の私にとっては絶望的に遠い。<01>","明明最后一个射击点就在200米外，<03>对现在的我来说，却遥远得令人绝望。<01>"
"63","pf:static:photonflowers11.rio.002:199353776:00031539","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","まりも","【まりも】「はぁ…<03>…<03>はぁ…<03>…<03>ッ」<01>","【麻理茉】「哈啊……<03>……<03>哈啊……<03>……<03>！」<01>"
"64","pf:static:photonflowers11.rio.002:199353776:00031633","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","楽ではないが絶対不可能ではない、<03>少しだけ限界を超えるようにデザインされた訓練。<01>","这项训练并不轻松，却也绝非无法完成；<03>它被设计成恰好让人稍稍超越自身极限。<01>"
"65","pf:static:photonflowers11.rio.002:199353776:00031939","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","本当に良くできている。<0A>これを考えた奴はサディストに違いない。<01>","还真是设计得滴水不漏。<0A>想出这种训练的家伙肯定是个虐待狂。<01>"
"66","pf:static:photonflowers11.rio.002:199353776:00032155","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","そうだ…<03>…<03>軍隊とはサディストの巣窟なのだ。<01>","没错……<03>……<03>军队就是虐待狂的巢穴。<01>"
"67","pf:static:photonflowers11.rio.002:199353776:00032371","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","まりも","【まりも】「はぁ…<03>…<03>はぁ…<03>…<03>ッ」<01>","【麻理茉】「哈啊……<03>……<03>哈啊……<03>……<03>！」<01>"
"68","pf:static:photonflowers11.rio.002:199353776:00032465","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","最後の射撃ポイントがどんどん近づいてくる…<03>…<03>この退屈で過酷な反復作業からもうすぐ解放されるのだ。<01>","最后一个射击点越来越近了……<03>……<03>我马上就能从这种枯燥又严酷的重复作业中解脱。<01>"
"69","pf:static:photonflowers11.rio.002:199353776:00032737","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","私は、<03>限界を超えつつある体に喝を入れた。<01>","我狠狠振作精神，<03>驱使这副正逼近极限的身体继续向前。<01>"
"70","pf:static:photonflowers11.rio.002:199353776:00032857","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","教官２","【教官２】「――最後だ神宮司ッ！　根性を見せろッ！！」<01>","【教官2】「——最后了，神宫司！拿出你的毅力来！！」<01>"
"71","pf:static:photonflowers11.rio.002:199353776:00033055","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","まりも","【まりも】「――はいッ教官殿ッ！」<01>","【麻理茉】「——是，教官！」<01>"
"72","pf:static:photonflowers11.rio.002:199353776:00033137","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","ドラム缶の影に転がり込みライフルを構える。<01>","我翻滚着躲进油桶的阴影，架起步枪。<01>"
"73","pf:static:photonflowers11.rio.002:199353776:00033307","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","ダットサイトにターゲットを捕らえる。<01>","我用红点瞄准镜捕捉到目标。<01>"
"74","pf:static:photonflowers11.rio.002:199353776:00033417","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","息を止めると腕の震えが一瞬治まる。<01>","屏住呼吸后，双臂的颤抖一瞬间停了下来。<01>"
"75","pf:static:photonflowers11.rio.002:199353776:00033589","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","すかさずトリガーを絞る。<01>","我立刻扣下扳机。<01>"
"76","pf:static:photonflowers11.rio.002:199353776:00033725","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","発砲音と反動に少し遅れて、<03>鉄のターゲットが乾いた音を立てた。<01>","枪响与后坐力过后片刻，<03>铁制标靶发出一声脆响。<01>"
"77","pf:static:photonflowers11.rio.002:199353776:00033999","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","教官２","【教官２】「――ようし上出来だッ！　ゴールまで全速力ッ！！」」<01>","【教官2】「——很好，干得漂亮！全速冲到终点！！」<01>"
"78","pf:static:photonflowers11.rio.002:199353776:00034221","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","まりも","【まりも】「――はいッ教官殿！」<01>","【麻理茉】「——是，教官！」<01>"
"79","pf:static:photonflowers11.rio.002:199353776:00034301","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","教官２","【教官２】「――頭を下げろッ！　野郎の股間にしゃぶり付くようにだッ！　貴様が御得意のヤツだッ！」<01>","【教官2】「——把头低下！低得像要趴下去含住男人的裆一样！这不是你最拿手的吗！」<01>"
"80","pf:static:photonflowers11.rio.002:199353776:00034587","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","まりも","【まりも】「――了解しました教官殿ッ！」<01>","【麻理茉】「——明白，教官！」<01>"
"81","pf:static:photonflowers11.rio.002:199353776:00034689","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","とても上品な教官のアドバイスに従い、<03>頭を低くする。<0A>背嚢の重心が前にかかる。<01>","我遵照教官这番极其文雅的建议，<03>压低了头。<0A>背囊的重心随即压向前方。<01>"
"82","pf:static:photonflowers11.rio.002:199353776:00035033","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","つんのめって倒れるのを避けるためには、<03>脚の動きをより早くしなければならない。<01>","为了避免失去平衡向前摔倒，<03>我必须加快双腿的动作。<01>"
"83","pf:static:photonflowers11.rio.002:199353776:00035279","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","脚が…<03>…<03>そして全身が悲鳴を上げる。<01>","双腿……<03>……<03>然后连全身都在发出悲鸣。<01>"
"84","pf:static:photonflowers11.rio.002:199353776:00035405","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","だが、<03>その苦しみもあと少しだ。<0A>ゴールすれば…<03>…<03>そうすれば…<03>…<03>休めるのだ…<03>…<03>。<01>","但这种痛苦也只需再忍一会儿。<0A>只要抵达终点……<03>……<03>只要到了那里……<03>……<03>就能休息了……<03>……<03>。<01>"
"85","pf:static:photonflowers11.rio.002:199353776:00035663","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","ＢＥＴＡと呼ばれる人類に敵対的な異星起源種の存在が確認されてから、<03>２０年以上が過ぎた。<01>","自从确认被称为BETA、与人类敌对的异星起源物种存在以来，<03>已经过去了20多年。<01>"
"86","pf:static:photonflowers11.rio.002:199353776:00036025","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","地球生命の常識を超えたその生物は、<03>瞬く間に月を席巻し人類を圧倒した。<01>","这种超出地球生命常理的生物，<03>转眼间便席卷月球，压倒了人类。<01>"
"87","pf:static:photonflowers11.rio.002:199353776:00036349","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","その後地球に到達したＢＥＴＡは、<03>喀什を拠点にその支配地域を拡大しているが、<03>未だに日本はその直接的な脅威には曝されていない。<01>","后来抵达地球的BETA，<03>以喀什为据点不断扩大控制区，<03>但日本至今仍未直接受到它们的威胁。<01>"
"88","pf:static:photonflowers11.rio.002:199353776:00036803","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","それはソ連と中国が絶望的な焦土作戦を展開しながらも、<03>大国としての意地を見せて踏ん張っているからだ。<01>","这是因为苏联与中国尽管展开着近乎绝望的焦土作战，<03>却仍凭着大国的骨气苦苦支撑。<01>"
"89","pf:static:photonflowers11.rio.002:199353776:00037249","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","しかし、<03>座学で知ったＢＥＴＡの戦力に誇張がなければ、<03>帝国本土に奴らの手が伸びるのもそう遠い未来ではないはずだ。<01>","可是，<03>如果理论课上学到的BETA战力并未夸大，<03>那么它们把魔爪伸向帝国本土，应该也不会是太遥远的未来。<01>"
"90","pf:static:photonflowers11.rio.002:199353776:00037759","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","教師になる夢を抱いて大学に進学した私が、<03>この国に迫る戦争という現実を実感するのに、<03>それ程の時間は必要なかった。<01>","怀着成为教师的梦想进入大学后，<03>我没花多长时间，<03>就切身体会到了战争正在逼近这个国家的现实。<01>"
"91","pf:static:photonflowers11.rio.002:199353776:00038155","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","大学予算の殆どが軍事転用可能な理論や先端技術研究に回され、<03>教育学部は定員を大きく割っていた。<01>","大学预算几乎全部流向了可转用于军事的理论与尖端技术研究，<03>教育学部的入学人数远低于定额。<01>"
"92","pf:static:photonflowers11.rio.002:199353776:00038673","photonflowers11.rio.002","crsa:photonflowers11.rio.002@199353776","","私達が履修すべき教育学も、<03>来るべき軍事最優先社会に於いて、<03>子供達を予備兵役として育む内容へと、<03>より極端に偏重していたのだ。<01>","就连我们应当修习的教育学，<03>也在即将到来的军事优先社会中，<03>愈发极端地偏向于把孩子们培养成预备兵员。<01>"
