"call_order","id","egpack","scene","speaker_jp","jp_text","cn_text"
"89","game_t00088","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","女学生３","「え～、\w軍隊は""武家子女の嗜み""ってこと？　あははっ、\wそれじゃ花嫁修行だよ」\p","「诶～所以当兵也只是‘武家小姐的修养’？哈哈，那不就是新娘修行嘛。」\p"
"90","game_t00089","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","志摩子","「…\w…\wあ、\w安芸、\w声大きいって…\w…\wみんな見てるから…\w…\w！」\p","「……安、安艺，你声音太大了……大家都在看……！」\p"
"91","game_t00090","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","安芸","「ああ、\wごめん。でもさ～和泉が…\w…\w！？」\p","「啊，抱歉。可是和泉她……！？」\p"
"92","game_t00091","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","唯依","「――！」","「――！」"
"93","game_t00092","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","志摩子","「…\w…\w！」","「…\w…\w！」"
"94","game_t00093","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","和泉","「ッ…\w…\w！」\p","「……！」\p"
"95","game_t00094","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","同期生","「…\w…\w」\p","「…\w…\w」\p"
"96","game_t00095","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","同期生","「ッ…\w…\w」\p","「……！」\p"
"97","game_t00096","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","同期生","「…\w…\w」\p","「…\w…\w」\p"
"98","game_t00097","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","唯依","「…\w…\w…\w…\w」\p","「…\w…\w…\w…\w」\p"
"99","game_t00098","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","旁白","大丈夫…\w…\w。\p","没关系……\p"
"100","game_t00099","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","旁白","ああいう目で見られるのは…\w…\w慣れている。\p","被人这样看……我早就习惯了。\p"
"101","game_t00100","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","旁白","同じ武家からの蔑みにはもう慣れているから…\w…\w大丈夫…\w…\w。\p","来自同为武家的人的轻蔑，我已经习惯了……所以没关系……\p"
"102","game_t00101","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","唯依","「…\w…\w…\w…\w」\p","「…\w…\w…\w…\w」\p"
"103","game_t00102","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","安芸","「――ふん、\wあいつらなんだよあの言い草。平和にぶら下がってるだけのくせに…\w…\w！」\p","「——哼，那些家伙说的什么话。明明只是靠着和平过日子……！」\p"
"104","game_t00103","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","唯依","「…\w…\w…\w…\w」\p","「…\w…\w…\w…\w」\p"
"105","game_t00104","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","旁白","平和にぶら下がっているのは、\w私たちも同じなんじゃないかな…\w…\w。\p","可我们不也一样，只是在仰仗和平吗……\p"
"106","game_t00105","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","旁白","斯衛の名門、\w山百合女子衛士訓練学校に入校してもう２週間――中等学校の頃とは違う、\w精練された武家の規範意識が支配する環境を期待していた。\p","进入斯卫名校——山百合女子卫士训练学校，已经两周了。我原以为这里会不同于中学，是个处处遵循武家严整规范的地方。\p"
"107","game_t00106","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","旁白","なのに私の心には、\wこんなはずじゃなかったって小さな想いが、\w毎日の様に積み重なっている。\p","可“不该是这样的”这种微小的念头，却日复一日地积压在我心里。\p"
"108","game_t00107","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","旁白","同じ武家の私でも思うんだから、\w一般の人たちが見たら…\w…\w。\p","连同为武家的我都会这么想，那普通人看在眼里……\p"
