"jp","cn","status","category","occurrences","jp_text_rows","speaker_rows","aligned_cn_rows","variants_cn","first_stable_id","first_scene","source","basis"
"慧","慧","confirmed","speaker/name-or-title / 说话人标签","893","893","857","892","","pm:static:photonmelodies11.rio.002:1544313288:00225658","crsa:photonmelodies11.rio.002@1544313288","final_speaker_labels / glossary_photonmelodies_v2","说话人名/称谓，需要固定。; Speaker bracket.; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：857/857"
"壬姫","壬姬","confirmed","speaker/name-or-title / 说话人标签","789","789","726","785","","pm:static:photonmelodies11.rio.002:1544313288:00225330","crsa:photonmelodies11.rio.002@1544313288","final_speaker_labels / glossary_photonmelodies_v2","常见角色名，简体化。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：726/726"
"水月","水月","confirmed","speaker/name-or-title / 说话人标签","706","706","618","618","","pm:static:photonmelodies11.rio.003:1808201404:00084862","crsa:photonmelodies11.rio.003@1808201404","final_speaker_labels / glossary_photonmelodies_v2","说话人名/称谓，需要固定。 | 最终全文说话人标签：618/618"
"宗像","宗像","confirmed","speaker/name-or-title / 说话人标签","535","535","475","475","","pm:static:photonmelodies11.rio.003:1668688832:00311785","crsa:photonmelodies11.rio.003@1668688832","final_speaker_labels / glossary_photonmelodies_v2","说话人名/称谓，需要固定。 | 最终全文说话人标签：475/475"
"武様","武先生","confirmed","人物称谓","525","525","0","525","","pm:static:photonmelodies11.rio.002:1544313288:00209524","crsa:photonmelodies11.rio.002@1544313288","current_public_terms","用户审定（人物称谓）"
"ウォーケン","沃肯","confirmed","speaker/name-or-title / 公共总表术语 / 说话人标签","510","510","426","510","","pm:static:photonmelodies11.rio.002:1544313288:00331882","crsa:photonmelodies11.rio.002@1544313288","final_speaker_labels / glossary_photonmelodies_v2 / main_glossary","说话人名/称谓，需要固定。; Teacher name; Takeru calls him 少佐 as part of the joke.; Extracted from current cn_text speaker brackets.; Teacher name used in batch042-043. | 公共总表；须以本篇最终正文核对适用语境 | 最终全文说话人标签：426/426"
"まりも","麻理茉","confirmed","speaker/name-or-title / 人物称谓 / 第二遍术语证据 / 说话人标签","457","457","334","398","真理茂","pm:static:photonmelodies11.rio.002:1544313288:00267738","crsa:photonmelodies11.rio.002@1544313288","current_public_terms / final_speaker_labels / glossary_photonmelodies_v2 / second_pass_line_evidence","本篇权威人物名证据；まりもちゃん按称谓译“小麻” | 平假名角色名，译名需与既有系列术语统一。; Teacher name.; Extracted from current cn_text speaker brackets.; Teacher name per existing project usage. | 第二遍行级证据（1条） | 最终全文说话人标签：334/334"
"茜","茜","confirmed","speaker/name-or-title / 说话人标签","452","452","345","452","","pm:static:photonmelodies11.rio.003:0839604068:00273182","crsa:photonmelodies11.rio.003@839604068","final_speaker_labels / glossary_photonmelodies_v2","说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：345/345"
"ピアティフ","皮亚蒂芙","confirmed","speaker/name-or-title / 公共总表术语 / 已审定术语 / 第二遍术语证据 / 说话人标签","363","363","269","363","皮亚蒂夫","pm:static:photonmelodies11.rio.003:0839604068:00206734","crsa:photonmelodies11.rio.003@839604068","current_public_terms / final_speaker_labels / glossary_photonmelodies_v2 / main_glossary / second_pass_line_evidence","本篇审定（覆盖主库旧译） | 说话人名/称谓，需要固定。; 皮亚蒂芙.; Extracted from current cn_text speaker brackets.; Teacher/assistant name. | 公共总表；须以本篇最终正文核对适用语境 | 第二遍行级证据（86条） | 最终全文说话人标签：269/269"
"風間","风间","confirmed","speaker/name-or-title / 说话人标签","339","339","303","303","","pm:static:photonmelodies11.rio.003:1668688832:00310521","crsa:photonmelodies11.rio.003@1668688832","final_speaker_labels / glossary_photonmelodies_v2","说话人名/称谓，需要固定。 | 最终全文说话人标签：303/303"
"遙","遥","confirmed","speaker/name-or-title / 说话人标签","330","330","294","294","","pm:static:photonmelodies11.rio.003:1808201404:00118388","crsa:photonmelodies11.rio.003@1808201404","final_speaker_labels / glossary_photonmelodies_v2","说话人名/称谓，需要固定。 | 最终全文说话人标签：294/294"
"真耶","真耶","confirmed","speaker/name-or-title / 说话人标签","303","303","241","241","","pm:static:photonmelodies11.rio.003:2092185664:00252514","crsa:photonmelodies11.rio.003@2092185664","final_speaker_labels / glossary_photonmelodies_v2","说话人名/称谓，需要固定。 | 最终全文说话人标签：241/241"
"タケルちゃん","小武","confirmed","人物称谓","275","275","0","275","","pm:static:photonmelodies11.rio.002:1544313288:00213904","crsa:photonmelodies11.rio.002@1544313288","current_public_terms","用户审定（人物称谓）"
"ザウバー","扎乌伯","confirmed","speaker/name-or-title / 已审定术语 / 说话人标签","261","261","232","261","","pm:static:photonmelodies11.rio.003:1487490840:00141556","crsa:photonmelodies11.rio.003@1487490840","current_public_terms / final_speaker_labels / glossary_photonmelodies_v2","本篇审定 | 说话人名/称谓，需要固定。 | 最终全文说话人标签：232/232"
"イルマ","伊尔玛","confirmed","speaker/name-or-title / 已审定术语 / 说话人标签","227","227","184","227","","pm:static:photonmelodies11.rio.003:1272111780:00125082","crsa:photonmelodies11.rio.003@1272111780","current_public_terms / final_speaker_labels / glossary_photonmelodies_v2","本篇审定 | 说话人名/称谓，需要固定。; Teslef teacher's first name/speaker name.; Extracted from current cn_text speaker brackets.; Teacher name used in batch042-043. | 最终全文说话人标签：184/184"
"御剣","御剑","confirmed","第二遍术语证据","225","225","0","225","","pm:static:photonmelodies11.rio.002:1544313288:00223366","crsa:photonmelodies11.rio.002@1544313288","second_pass_line_evidence","第二遍行级证据（1条）"
"築地","筑地","confirmed","speaker/name-or-title / 说话人标签","216","216","169","216","","pm:static:photonmelodies11.rio.003:0839604068:00354224","crsa:photonmelodies11.rio.003@839604068","final_speaker_labels / glossary_photonmelodies_v2","说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：169/169"
"涼宮","凉宫","confirmed","speaker/name-or-title / 说话人标签","175","175","1","1","","pm:static:photonmelodies11.rio.003:0839604068:00272888","crsa:photonmelodies11.rio.003@839604068","final_speaker_labels / glossary_photonmelodies_v2","说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1"
"夕呼先生","夕呼老师","confirmed","第二遍术语证据","174","174","0","174","","pm:static:photonmelodies11.rio.002:1544313288:00221604","crsa:photonmelodies11.rio.002@1544313288","second_pass_line_evidence","第二遍行级证据（2条）"
"女性","女性","confirmed","speaker/name-or-title / 说话人标签","148","148","96","137","","pm:static:photonmelodies11.rio.002:1544313288:00243980","crsa:photonmelodies11.rio.002@1544313288","final_speaker_labels / glossary_photonmelodies_v2","说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：96/96"
"みちる","美知留","confirmed","speaker/name-or-title / 说话人标签","128","128","123","123","","pm:static:photonmelodies11.rio.004:0812258960:00451268","crsa:photonmelodies11.rio.004@812258960","final_speaker_labels / glossary_photonmelodies_v2","说话人名/称谓，需要固定。 | 最终全文说话人标签：123/123"
"速瀬","速濑","confirmed","speaker/name-or-title / 说话人标签","120","120","29","29","","pm:static:photonmelodies11.rio.003:1668688832:00308805","crsa:photonmelodies11.rio.003@1668688832","final_speaker_labels / glossary_photonmelodies_v2","说话人名/称谓，需要固定。 | 最终全文说话人标签：29/29"
"巴","巴","confirmed","speaker/name-or-title / 说话人标签","105","105","47","105","","pm:static:photonmelodies11.rio.002:1544313288:00222172","crsa:photonmelodies11.rio.002@1544313288","final_speaker_labels / glossary_photonmelodies_v2","说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：47/47"
"神代","神代","confirmed","speaker/name-or-title / 说话人标签","104","104","48","104","","pm:static:photonmelodies11.rio.002:1544313288:00222172","crsa:photonmelodies11.rio.002@1544313288","final_speaker_labels / glossary_photonmelodies_v2","说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：48/48"
"戎","戎","confirmed","speaker/name-or-title / 说话人标签","103","103","49","103","","pm:static:photonmelodies11.rio.002:1544313288:00222172","crsa:photonmelodies11.rio.002@1544313288","final_speaker_labels / glossary_photonmelodies_v2","说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：49/49"
"たけるさん","小武哥","confirmed","人物称谓","102","102","0","102","","pm:static:photonmelodies11.rio.003:0839604068:00174682","crsa:photonmelodies11.rio.003@839604068","current_public_terms","用户审定（人物称谓）"
"ミュン","缪恩","confirmed","speaker/name-or-title / 已审定术语 / 说话人标签","101","101","68","101","","pm:static:photonmelodies11.rio.004:1068948144:00037230","crsa:photonmelodies11.rio.004@1068948144","current_public_terms / final_speaker_labels / glossary_photonmelodies_v2","本篇审定 | 说话人名/称谓，需要固定。 | 最终全文说话人标签：68/68"
"千鶴子","千鹤子","confirmed","speaker/name-or-title / 说话人标签","99","99","83","83","","pm:static:photonmelodies11.rio.004:1457084560:00281219","crsa:photonmelodies11.rio.004@1457084560","final_speaker_labels / glossary_photonmelodies_v2","说话人名/称谓，需要固定。 | 最终全文说话人标签：83/83"
"球技大会","球类大赛","confirmed","已审定术语 / 第二遍术语证据","87","87","0","87","","pm:static:photonmelodies11.rio.002:1544313288:00351544","crsa:photonmelodies11.rio.002@1544313288","current_public_terms / second_pass_line_evidence","本篇审定 | 第二遍行级证据（44条）"
"ラダビノッド","拉达比诺德","confirmed","speaker/name-or-title / 公共总表术语 / 说话人标签","59","59","29","59","","pm:static:photonmelodies11.rio.002:1544313288:00366140","crsa:photonmelodies11.rio.002@1544313288","final_speaker_labels / glossary_photonmelodies_v2 / main_glossary","说话人名/称谓，需要固定。 | 公共总表；须以本篇最终正文核对适用语境 | 最终全文说话人标签：29/29"
"ウォーケン先生","沃肯老师","confirmed","第二遍术语证据","56","56","0","56","","pm:static:photonmelodies11.rio.002:1544313288:00333602","crsa:photonmelodies11.rio.002@1544313288","second_pass_line_evidence","第二遍行级证据（1条）"
"ＣＰ","CP","confirmed","game_term","55","55","0","55","","pm:static:photonmelodies11.rio.003:0839604068:00256794","crsa:photonmelodies11.rio.003@839604068","glossary_photonmelodies_v2","Command-post acronym in rules/interface."
"全員","全员","confirmed","speaker/name-or-title / 说话人标签","54","54","3","3","","pm:static:photonmelodies11.rio.002:1544313288:00240798","crsa:photonmelodies11.rio.002@1544313288","final_speaker_labels / glossary_photonmelodies_v2","说话人名/称谓，需要固定。 | 最终全文说话人标签：3/3"
"バルジャーノン","巴尔加农","confirmed","katakana-or-latin / 已审定术语 / 第二遍术语证据","52","52","0","52","","pm:static:photonmelodies11.rio.003:1933169644:00127616","crsa:photonmelodies11.rio.003@1933169644","current_public_terms / glossary_photonmelodies_v2 / second_pass_line_evidence","本篇审定 | カタカナ/英文式词，按规则优先判断是否适合意译。 | 第二遍行级证据（7条）"
"神代・巴","神代、巴","confirmed","speaker/name-or-title / 公共总表术语 / 说话人标签","51","51","3","3","神代・巴","pm:static:photonmelodies11.rio.002:1544313288:00222172","crsa:photonmelodies11.rio.002@1544313288","final_speaker_labels / glossary_photonmelodies_v2 / main_glossary","说话人名/称谓，需要固定。 | 公共总表；须以本篇最终正文核对适用语境 | 最终全文说话人标签：3/3"
"巴・戎","巴、戎","confirmed","speaker/name-or-title / 说话人标签","49","49","1","1","巴・戎","pm:static:photonmelodies11.rio.002:1544313288:00222172","crsa:photonmelodies11.rio.002@1544313288","final_speaker_labels / glossary_photonmelodies_v2","说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：1/1"
"老人","老人","confirmed","speaker/name-or-title / 公共总表术语 / 说话人标签","49","49","46","48","","pm:static:photonmelodies11.rio.004:1269734756:00467680","crsa:photonmelodies11.rio.004@1269734756","final_speaker_labels / glossary_photonmelodies_v2 / main_glossary","说话人名/称谓，需要固定。 | 公共总表；须以本篇最终正文核对适用语境 | 最终全文说话人标签：46/46"
"神代・巴・戎","神代、巴、戎","confirmed","speaker/name-or-title / 公共总表术语 / 说话人标签","48","48","48","48","神代・巴・戎","pm:static:photonmelodies11.rio.002:1544313288:00222172","crsa:photonmelodies11.rio.002@1544313288","final_speaker_labels / glossary_photonmelodies_v2 / main_glossary","说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 公共总表；须以本篇最终正文核对适用语境 | 最终全文说话人标签：48/48"
"夕呼・武","夕呼、武","confirmed","speaker/name-or-title / 说话人标签","47","47","47","47","","pm:static:photonmelodies11.rio.004:1169383896:00210124","crsa:photonmelodies11.rio.004@1169383896","final_speaker_labels / glossary_photonmelodies_v2","说话人名/称谓，需要固定。 | 最终全文说话人标签：47/47"
"伊隅","伊隅","confirmed","speaker/name-or-title / 说话人标签","39","39","21","21","","pm:static:photonmelodies11.rio.003:1668688832:00308305","crsa:photonmelodies11.rio.003@1668688832","final_speaker_labels / glossary_photonmelodies_v2","说话人名/称谓，需要固定。 | 最终全文说话人标签：21/21"
"シェリル","谢丽尔","confirmed","speaker/name-or-title / 已审定术语 / 说话人标签","38","38","37","38","","pm:static:photonmelodies11.rio.004:1511431932:00244531","crsa:photonmelodies11.rio.004@1511431932","current_public_terms / final_speaker_labels / glossary_photonmelodies_v2","本篇审定 | 说话人名/称谓，需要固定。 | 最终全文说话人标签：37/37"
"Ｄ組","D 班","confirmed","已审定术语","30","30","0","30","","pm:static:photonmelodies11.rio.003:0839604068:00206734","crsa:photonmelodies11.rio.003@839604068","current_public_terms","本篇审定"
"小隊","小队","confirmed","公共总表术语","27","27","0","27","","pm:static:photonmelodies11.rio.003:0839604068:00339290","crsa:photonmelodies11.rio.003@839604068","main_glossary","公共总表；须以本篇最终正文核对适用语境"
"白陵","白陵","confirmed","公共总表术语 / 已审定术语 / 第二遍术语证据","27","27","0","27","","pm:static:photonmelodies11.rio.003:0839604068:00262628","crsa:photonmelodies11.rio.003@839604068","current_public_terms / main_glossary / second_pass_line_evidence","主库术语表 | 公共总表；须以本篇最终正文核对适用语境 | 第二遍行级证据（1条）"
"女の子","女孩","confirmed","speaker/name-or-title / 公共总表术语 / 说话人标签","26","26","2","24","","pm:static:photonmelodies11.rio.003:1272111780:00165920","crsa:photonmelodies11.rio.003@1272111780","final_speaker_labels / glossary_photonmelodies_v2 / main_glossary","说话人名/称谓，需要固定。 | 公共总表；须以本篇最终正文核对适用语境 | 最终全文说话人标签：2/2"
"神宮司","神宫司","confirmed","公共总表术语","26","26","0","26","","pm:static:photonmelodies11.rio.002:1544313288:00334472","crsa:photonmelodies11.rio.002@1544313288","main_glossary","公共总表；须以本篇最终正文核对适用语境"
"レストラン","餐厅","confirmed","第二遍术语证据","23","23","0","23","","pm:static:photonmelodies11.rio.004:0695803188:00161271","crsa:photonmelodies11.rio.004@695803188","second_pass_line_evidence","第二遍行级证据（1条）"
"パパ","爸爸","confirmed","speaker/name-or-title / 说话人标签","21","21","2","2","","pm:static:photonmelodies11.rio.004:0426952928:00326485","crsa:photonmelodies11.rio.004@426952928","final_speaker_labels / glossary_photonmelodies_v2","说话人名/称谓，需要固定。 | 最终全文说话人标签：2/2"
"Ａ小隊","A小队","confirmed","speaker/name-or-title / 说话人标签","21","21","3","4","","pm:static:photonmelodies11.rio.003:0839604068:00339290","crsa:photonmelodies11.rio.003@839604068","final_speaker_labels / glossary_photonmelodies_v2","说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：3/3"
"女性１","女性1","confirmed","说话人标签","20","0","20","20","","pm:static:photonmelodies11.rio.004:0860955960:00177761","crsa:photonmelodies11.rio.004@860955960","final_speaker_labels","最终全文说话人标签：20/20"
"悠陽・冥夜","悠阳、冥夜","confirmed","speaker/name-or-title / 说话人标签","20","20","19","19","悠阳・冥夜","pm:static:photonmelodies11.rio.002:1544313288:00306174","crsa:photonmelodies11.rio.002@1544313288","final_speaker_labels / glossary_photonmelodies_v2","说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：19/19"
"イルマ・ピアティフ","伊尔玛、皮亚蒂芙","confirmed","speaker/name-or-title / 说话人标签","19","19","16","16","","pm:static:photonmelodies11.rio.004:0258770628:00260978","crsa:photonmelodies11.rio.004@258770628","final_speaker_labels / glossary_photonmelodies_v2","说话人名/称谓，需要固定。 | 最终全文说话人标签：16/16"
"サバゲー","生存战","confirmed","已审定术语 / 第二遍术语证据","19","19","0","19","","pm:static:photonmelodies11.rio.003:0839604068:00214194","crsa:photonmelodies11.rio.003@839604068","current_public_terms / second_pass_line_evidence","本篇审定 | 第二遍行级证据（1条）"
"熊","熊","confirmed","speaker/name-or-title / 说话人标签","19","19","11","11","","pm:static:photonmelodies11.rio.004:0499205748:00194014","crsa:photonmelodies11.rio.004@499205748","final_speaker_labels / glossary_photonmelodies_v2","说话人名/称谓，需要固定。 | 最终全文说话人标签：11/11"
"ゲームガイ","Game Guy","confirmed","已审定术语","17","17","0","17","","pm:static:photonmelodies11.rio.003:2092185664:00319876","crsa:photonmelodies11.rio.003@2092185664","current_public_terms","本篇审定"
"シミュレーター","模拟器","confirmed","已审定术语 / 第二遍术语证据","17","17","0","17","","pm:static:photonmelodies11.rio.004:0131862200:00295486","crsa:photonmelodies11.rio.004@131862200","current_public_terms / second_pass_line_evidence","本篇审定 | 第二遍行级证据（1条）"
"武・純夏","武、纯夏","confirmed","speaker/name-or-title / 说话人标签","17","17","15","15","武・纯夏","pm:static:photonmelodies11.rio.003:0839604068:00350346","crsa:photonmelodies11.rio.003@839604068","final_speaker_labels / glossary_photonmelodies_v2","说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：15/15"
"カジノ","赌场","confirmed","已审定术语 / 第二遍术语证据","16","16","0","16","","pm:static:photonmelodies11.rio.004:1361070408:00439469","crsa:photonmelodies11.rio.004@1361070408","current_public_terms / second_pass_line_evidence","本篇审定 | 第二遍行级证据（7条）"
"冥夜・悠陽","冥夜、悠阳","confirmed","speaker/name-or-title / 说话人标签","15","15","8","8","冥夜・悠阳","pm:static:photonmelodies11.rio.002:1544313288:00210368","crsa:photonmelodies11.rio.002@1544313288","final_speaker_labels / glossary_photonmelodies_v2","说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：8/8"
"女性２","女性2","confirmed","说话人标签","15","0","15","15","","pm:static:photonmelodies11.rio.004:0860955960:00178075","crsa:photonmelodies11.rio.004@860955960","final_speaker_labels","最终全文说话人标签：15/15"
"榊さん","榊同学","confirmed","人物称谓","15","15","0","15","","pm:static:photonmelodies11.rio.002:1544313288:00289544","crsa:photonmelodies11.rio.002@1544313288","current_public_terms","本篇权威称谓证据"
"男の子","男孩","confirmed","speaker/name-or-title / 公共总表术语 / 说话人标签","15","15","6","6","少年","pm:static:photonmelodies11.rio.003:1272111780:00163086","crsa:photonmelodies11.rio.003@1272111780","final_speaker_labels / glossary_photonmelodies_v2 / main_glossary","说话人名/称谓，需要固定。 | 公共总表；须以本篇最终正文核对适用语境 | 最终全文说话人标签：6/6"
"ニュートリノ","中微子","confirmed","已审定术语 / 第二遍术语证据","14","14","0","14","","pm:static:photonmelodies11.rio.002:1214082412:00004943","crsa:photonmelodies11.rio.002@1214082412","current_public_terms / second_pass_line_evidence","本篇审定 | 第二遍行级证据（1条）"
"白銀武","白银武","confirmed","公共总表术语 / 已审定术语","14","14","0","14","","pm:static:photonmelodies11.rio.002:1544313288:00342470","crsa:photonmelodies11.rio.002@1544313288","current_public_terms / main_glossary","主库术语表 | 公共总表；须以本篇最终正文核对适用语境"
"北極星島","北极星岛","confirmed","已审定术语 / 第二遍术语证据","13","13","0","13","","pm:static:photonmelodies11.rio.004:0780938508:00051707","crsa:photonmelodies11.rio.004@780938508","current_public_terms / second_pass_line_evidence","本篇审定 | 第二遍行级证据（2条）"
"水上バイク","水上摩托艇","confirmed","已审定术语 / 第二遍术语证据","13","13","0","13","","pm:static:photonmelodies11.rio.004:0812258960:00438430","crsa:photonmelodies11.rio.004@812258960","current_public_terms / second_pass_line_evidence","本篇审定 | 第二遍行级证据（5条）"
"アルタイル・ビーチ","牛郎星海滩","confirmed","已审定术语 / 第二遍术语证据","12","12","0","12","","pm:static:photonmelodies11.rio.004:0860955960:00161171","crsa:photonmelodies11.rio.004@860955960","current_public_terms / second_pass_line_evidence","本篇审定 | 第二遍行级证据（4条）"
"データベース","数据库","confirmed","公共总表术语","12","12","0","12","","pm:static:photonmelodies11.rio.004:1216455180:00047517","crsa:photonmelodies11.rio.004@1216455180","main_glossary","公共总表；须以本篇最终正文核对适用语境"
"ヤキソバ","炒面","confirmed","已审定术语 / 第二遍术语证据","12","12","0","12","","pm:static:photonmelodies11.rio.003:2092185664:00336042","crsa:photonmelodies11.rio.003@2092185664","current_public_terms / second_pass_line_evidence","本篇审定 | 第二遍行级证据（3条）"
"大晦日","除夕","confirmed","第二遍术语证据","12","12","0","12","","pm:static:photonmelodies11.rio.004:1327482084:00174559","crsa:photonmelodies11.rio.004@1327482084","second_pass_line_evidence","第二遍行级证据（2条）"
"恋愛原子核","恋爱原子核","confirmed","已审定术语 / 第二遍术语证据","12","12","0","12","","pm:static:photonmelodies11.rio.003:0839604068:00209242","crsa:photonmelodies11.rio.003@839604068","current_public_terms / second_pass_line_evidence","本篇审定 | 第二遍行级证据（2条）"
"毛布","毛毯","confirmed","第二遍术语证据","12","12","0","12","","pm:static:photonmelodies11.rio.004:0499205748:00154404","crsa:photonmelodies11.rio.004@499205748","second_pass_line_evidence","第二遍行级证据（1条）"
"福袋","福袋","confirmed","第二遍术语证据","12","12","0","12","","pm:static:photonmelodies11.rio.004:1327482084:00362385","crsa:photonmelodies11.rio.004@1327482084","second_pass_line_evidence","第二遍行级证据（1条）"
"麓","山脚","confirmed","第二遍术语证据","12","12","0","12","","pm:static:photonmelodies11.rio.004:0499205748:00116294","crsa:photonmelodies11.rio.004@499205748","second_pass_line_evidence","第二遍行级证据（1条）"
"ジャミング","干扰","confirmed","第二遍术语证据","11","11","0","11","","pm:static:photonmelodies11.rio.004:0426952928:00297379","crsa:photonmelodies11.rio.004@426952928","second_pass_line_evidence","第二遍行级证据（1条）"
"プレアディス","普勒阿得斯","confirmed","已审定术语 / 第二遍术语证据","11","11","0","11","","pm:static:photonmelodies11.rio.004:1235087732:00516800","crsa:photonmelodies11.rio.004@1235087732","current_public_terms / second_pass_line_evidence","本篇审定 | 第二遍行级证据（3条）"
"博士","博士","confirmed","说话人标签","11","0","11","11","","pm:static:photonmelodies11.rio.002:1214082412:00003241","crsa:photonmelodies11.rio.002@1214082412","final_speaker_labels","最终全文说话人标签：11/11"
"壬姫・美琴","壬姬、美琴","confirmed","speaker/name-or-title / 说话人标签","11","11","8","8","","pm:static:photonmelodies11.rio.004:0426952928:00305647","crsa:photonmelodies11.rio.004@426952928","final_speaker_labels / glossary_photonmelodies_v2","说话人名/称谓，需要固定。 | 最终全文说话人标签：8/8"
"武・霞","武、霞","confirmed","speaker/name-or-title / 说话人标签","10","10","10","10","","pm:static:photonmelodies11.rio.004:0258770628:00162610","crsa:photonmelodies11.rio.004@258770628","final_speaker_labels / glossary_photonmelodies_v2","说话人名/称谓，需要固定。 | 最终全文说话人标签：10/10"
"水着撮影会","泳装摄影会","confirmed","第二遍术语证据","10","10","0","10","","pm:static:photonmelodies11.rio.003:0839604068:00281986","crsa:photonmelodies11.rio.003@839604068","second_pass_line_evidence","第二遍行级证据（1条）"
"涼宮茜","凉宫茜","confirmed","公共总表术语 / 已审定术语","10","10","0","10","","pm:static:photonmelodies11.rio.003:0839604068:00273182","crsa:photonmelodies11.rio.003@839604068","current_public_terms / main_glossary","主库术语表 | 公共总表；须以本篇最终正文核对适用语境"
"ヒント","线索","confirmed","第二遍术语证据","9","9","0","9","","pm:static:photonmelodies11.rio.004:0933776684:00482089","crsa:photonmelodies11.rio.004@933776684","second_pass_line_evidence","第二遍行级证据（1条）"
"ベガ・ビーチ","织女星海滩","confirmed","第二遍术语证据","9","9","0","9","","pm:static:photonmelodies11.rio.004:0780938508:00049731","crsa:photonmelodies11.rio.004@780938508","second_pass_line_evidence","第二遍行级证据（1条）"
