call_order,id,egpack,scene,speaker_jp,jp_text,cn_text,review_status,audit_flags
42,game_t00041,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,マクマナス中尉,「ほう、\wこのダリル姐さんに向かって言うじゃないか」,「嚯，敢对这位达里尔大姐说这种话啊」,OK,
43,game_t00042,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,「上官への正しい助言は部下の責務であります、\wマム」,「向上官提出正确建议是部下的职责，长官」,OK,
44,game_t00043,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,「やれやれ。何を期待してたか知らないがアタシゃ何も変わらん方が安心するね。全ては予想の範疇内、\wなべて世は事もなし、\wってな」,「哎呀呀。虽然不知道你在期待什么，不过对我来说，什么都不变才更安心。一切都在预料之中，天下太平，就是这么回事。」,OK,
45,game_t00044,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,「…\w…\w…\w…\w」,「…………」,OK,
46,game_t00045,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,「しかし、\wオマエの台詞も分からんでもない。最近はお船も網に掛からんが、\wこれっきりで打ち止めとは思いたくないからねえ」,「不过，你说的我也不是不能理解。最近也没捞着什么船，但我可不想觉得这就是最后一回了」,OK,
47,game_t00046,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,「諦めたくないんですよ、\w俺はまだ」,「我还不想放弃。」,OK,
48,game_t00047,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,「誰も諦めたかないさ。だからこそアタシらはここにいる。でも忘れるんじゃないよ、\w『無事に帰る』のも任務だよ」,「谁都不想放弃。正因为如此，我们才在这里。但是别忘了，‘平安归来’也是任务哦。」,OK,
49,game_t00048,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,「アイマム。\wもちろんです」,「是，长官。当然」,OK,
50,game_t00049,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,無事に帰りたいが、\w何かがあって欲しい。,想平安回去，但又希望发生点什么。,OK,
51,game_t00050,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,もちろん別にトラブルが欲しいってわけじゃない。,当然也不是说想要麻烦。,OK,
52,game_t00051,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,ただ、\wこの何も無い世界に、\w何かが、\w誰かが――,只是，在这个空无一物的世界里，有什么，有人——,OK,
53,game_t00052,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,「ＧＰＳ照合完了。マップデータ更新…\w…\w\n精度問題なし。転送します」,「GPS校对完成。地图数据更新……精度没有问题。开始传输」,OK,
54,game_t00053,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,「――更新確認。こちらも異常なしだ」,「——更新已确认。这边也没有异常。」,OK,
55,game_t00054,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,「地図作成装置ができて随分楽になったモンだ。メルヴィナ様々だ。…\w…\w写真並べてお絵描きするのはもうウンザリだからねえ」,「地图绘制装置做好后轻松多了。多亏了梅尔维娜。……我已经受够了对着照片画画了。」,OK,
56,game_t00055,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,帰投後にマークした座標と光学カメラの記録をつき合わせ、\w延々と海岸線情報を打ち込んでいく――,归投后对照标记的坐标和光学摄像机的记录，不断输入海岸线信息——,OK,
57,game_t00056,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,あれは苦痛以外の何物でもなかったな。,那除了痛苦什么都不是。,OK,
58,game_t00057,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,「メルは凄い奴ですよ。あり合わせで色々組み上げるのがホント上手い」,「梅尔是个了不起的家伙。他真的很擅长用现有的东西拼凑出各种东西。」,OK,
59,game_t00058,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,「数字に強いってのはインド系の血の為せる業ってやつですかね」,「擅长数字是印度裔血统带来的本事吗？」,OK,
60,game_t00059,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,「そこは関係ないだろう…\w…\wと言うべきトコだが、\wあり得ん話でもないな。…\w…\w少なくとも、\wそう思わせるように振る舞ってる」,「这点应该没关系……本该这么说，不过也不是完全不可能。……至少，她表现得让人这么想。」,OK,
61,game_t00060,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,「オージーとインドも複雑だしねえ…\w…\w。そう見られた方が彼女にとって得なんだろうよ」,「澳洲和印度之间也很复杂呢……让别人这么看，对她反倒更有好处吧。」,OK,
62,game_t00061,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,「…\w…\w…\w…\w」,「…………」,OK,
63,game_t00062,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,インドからの難民を大量に受け入れた\nオーストラリアだが、\wその扱いは\n俺たち米国と似たようなもんだ。,大量接收了来自印度的难民的澳大利亚，但其对待方式和我们美国差不多。,OK,
64,game_t00063,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,いや、\w優秀な難民は使いたいが人種差別も根強い、\wというネジれた事情は、\w米国より複雑かもしれない。,不，虽然想利用优秀难民但种族歧视根深蒂固，这种扭曲的情况也许比美国更复杂。,OK,
65,game_t00064,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,「人間、\w追い詰められると縄張り意識が強くなるっていうか…\w…\w。――んなモン気にしても、\wどうしようもないんだけどねえ、\wもう」,「人嘛，被逼到绝境时领地意识就会变强……――就算在意那种东西，也无能为力了啊。」,OK,
66,game_t00065,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,「…\w…\wそうですね。皮肉な話です」,「……是啊。真是讽刺啊。」,OK,
67,game_t00066,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,「よし、\wそろそろ設置ポイントだ。この地形なら少し内陸に寄せるべきか――ナイヴス２、\w続け」,「好，差不多到设置点了。这个地形的话，应该稍微向内陆靠拢吧——黑刃2，跟上」,OK,
68,game_t00067,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,「ナイヴス２了解」,「黑刃2了解」,OK,
69,game_t00068,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,「ＯＫ、\wこの辺りにするぞ」,「OK，就到这里吧」,OK,
70,game_t00069,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,岩盤も安定してるみたいだし、\w地形的にも申し分ないな。,岩盘似乎也很稳定，地形上也无可挑剔。,OK,
71,game_t00070,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,「中継機下ろせ――慎重にやんな。メルの薄い胸を撫でるようにジェントルにだ。痛くするなよ」,「放下中继机——小心点。要像抚摸梅尔平坦的胸部一样温柔。别弄疼了」,OK,
72,game_t00071,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,「…\w…\wッ！」,「……！」,OK,
73,game_t00072,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,「――手元狂わす気満々じゃないですか！　\n大体作戦中ですよ中尉、\w\nレコーダー回ってるんですから…\w…\w！」,「——您这不是摆明了要让我手抖吗！再说现在正在执行作战啊，中尉，记录仪还开着呢……！」,OK,
74,game_t00073,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,「なんだ、\wまだヤってなかったのか？　童貞かおまえ？」,「什么，还没干吗？你是处男吗？」,OK,
75,game_t00074,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,「そんな関係じゃないです。疑われたら彼女に迷惑ですよ！」,「不是那种关系。被怀疑的话会给她添麻烦的！」,OK,
76,game_t00075,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,「ハハッ、\w別にメルが聞いているわけじゃあるまいし、\w米国海兵隊員がこれぐらいで動じるな」,「哈哈，反正梅尔又没在听，美国海军陆战队员哪会这么容易动摇」,OK,
77,game_t00076,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,相変わらずこの人は…\w…\w大体メルに聞かれたら殺されるっての。,这个人还是一如既往……要是被梅尔问起来的话会被杀掉的。,OK,
78,game_t00077,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,「ほれどうした、\w復唱しろウィル少尉」,「喂，怎么了，复述一遍，威尔少尉」,OK,
79,game_t00078,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,「――アイマム、\w動じずジェントルに設置します」,「――是，长官，我会沉着而温柔地设置。」,OK,
80,game_t00079,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,ローゼンバーグ中尉は延々このノリに耐えてたんだろうか…\w…\w。,罗森伯格中尉一直忍受着这种气氛吗……,OK,
81,game_t00080,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,「スパイク打ち込み確認、\w固定完了です。アンテナ伸張、\wシステムチェック開始」,「锚钉打入确认，固定完成。天线伸展，系统检查开始」,OK,
82,game_t00081,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,「了解、\wこっちでも起動を確認した。…\w…\w何かしら拾ってくれりゃいいけどねえ」,「了解，这边也确认启动了。……要是能捡到点什么就好了。」,OK,
83,game_t00082,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,「――世の中なべて事もなし、\wじゃなかったんですか？」,「——世间一切平安无事，难道不是那样吗？」,OK,
84,game_t00083,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,「そりゃ設置するまでの話だ。わざわざ推進剤噴かして据え付けたんだ。当たりを引きゃあ海軍の連中にも顔が立つ。違うかい？」,「那只是设置之前的事。特意喷射推进剂安装好的。运气好的话，在海军那些人面前也有面子。不是吗？」,OK,
85,game_t00084,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,「俺はもちろんそう思ってますよ」,「我当然也这么认为」,OK,
86,game_t00085,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,この単調な任務が報われる唯一の瞬間――俺たちはそれだけを待ち望み、\wこうして中継機を運んでる。,这个单调的任务得到回报的唯一瞬间——我们只期盼着那个，就这样运送着中继机。,OK,
87,game_t00086,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,海兵隊員、\w第３１８戦術機隊は諦めない、\wだ。,海军陆战队员，第318战术机队绝不放弃。,OK,
88,game_t00087,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,「まったく…\w…\w、\w合衆国の正規母艦様がこんなモノに頼らなきゃいけないとはねえ」,「真是的……合众国的正规母舰大人居然不得不依赖这种东西啊」,OK,
89,game_t00088,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,「低軌道衛星がなきゃどうしようもないですよ。ＧＰＳが生きてるだけマシです」,「没有低轨道卫星的话就毫无办法了。GPS还能用就算不错了」,OK,
90,game_t00089,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,測量に捜索、\wやってることはまるで昔の探検隊だもんな。正規母艦打撃群、\wなんて大層な名前が泣けてくる。,测量和搜索，做的事简直就像以前的探险队。正规母舰打击群，这么夸张的名字都要哭了。,OK,
91,game_t00090,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,「母艦の静止衛星リンク、\wメルは何か言ってないのかい？」,「母舰的静止卫星链路，梅尔没说什么吗？」,OK,
92,game_t00091,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,「さすがにメルも母艦自体の装備になると関与できないみたいですが…\w…\w」,「果然梅尔也无法参与母舰本身的装备……」,OK,
93,game_t00092,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,母艦の装備は機密の塊だからな。,母舰的装备是机密中的机密。,OK,
94,game_t00093,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,建前上、\wさすがに国連軍――というか\nオーストラリア軍の人間に触らせる\nわけにはいかない。,名义上，毕竟不能让联合国军——或者说澳大利亚军的人碰这些东西。,OK,
95,game_t00094,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,…\w…\wったく、\wそんな固いこと言ってる場合じゃないだろうに。,真是的，现在可不是说这种死板话的时候吧。,OK,
96,game_t00095,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,「噂を聞く限りだと、\wあれは技術士官総出で取り組んでも無理だそうですよ」,「据传闻，那即使是全体技术军官出动也无法完成。」,OK,
97,game_t00096,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,「技術の方は特に人手が足りないしね。ああも派手にヘシ折れてりゃ当然か…\w…\w。艦橋構造物が陸の孤島ってのは胸糞悪い冗談だな、\wウィル」,「技术方面尤其人手不足呢。那样夸张地折断也是当然的吧……舰桥结构物变成陆地上的孤岛，真是个令人作呕的玩笑啊，威尔」,OK,
98,game_t00097,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,「ええ…\w…\w寝て覚めて冗談だったら、\wと思わない日はないですよ」,「嗯……没有一天不觉得要是睡醒发现是玩笑就好了」,OK,
99,game_t00098,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,おかげでデータリンクもまともに機能しない――。,托你的福，数据链也无法正常工作了——,OK,
100,game_t00099,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,本当に笑えない冗談の結果、\w俺たちはここで延々仕事をしてる。,真是个不好笑的笑话的结果，我们在这里没完没了地工作。,OK,
101,game_t00100,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,お、\w来たか。何かあってくれよ…\w…\w！,哦，来了啊。可要发生点什么啊……！,OK,
102,game_t00101,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,「起動完了しました。広帯域モードで中継開始しま――」,「启动完毕。开始宽带模式中继——」,OK,
103,game_t00102,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,「――！」,「――！」,CHECK,cn_from_payload_alt_nonenglish_slot
104,game_t00103,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,「――！」,「――！」,OK,
105,game_t00104,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,「――隊長、\wこれってまさか」,「——队长，这该不会是」,OK,
106,game_t00105,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,「――救難信号だウィル！　本当に一発で拾ったぞ！」,「——是求救信号威尔！真的一下子就收到了！」,OK,
107,game_t00106,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,「よぉし上出来だ、\w座標が入ってる！」,「好，干得不错，坐标已经输入了！」,OK,
108,game_t00107,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,来てるのは救難要請シグナルとＧＰＳ座標だけ―\w―,来的是求救信号和GPS坐标——,OK,
109,game_t00108,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,「こちらからのコールは受信しないようです。自動ビーコンです」,「似乎不接收来自这边的呼叫。是自动信标」,OK,
110,game_t00109,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,と来れば、もちろん―\w―,说到这个，当然——,OK,
111,game_t00110,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,「――オーケー、\w十分航続圏内だな…\w…\w行ってみりゃわかる！」,「——OK，在续航范围内……去了就知道了！」,OK,
112,game_t00111,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,…\w…\wよし！,好！,OK,
113,game_t00112,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,「ナイヴス１よりソルティ・ベース、\w聞こえるかい？」,「黑刃1呼叫索尔蒂基地，能听到吗？」,OK,
114,game_t00113,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ＪＦＫオペレーター,「――ソルティ・ベースよりナイヴス１、\w感度良好」,「——从索尔蒂基地，黑刃1，灵敏度良好」,OK,
115,game_t00114,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,「中継機Ｅ７の設置を完了、\w直後に救難信号を受信した！　繰り返す、\w救難信号だ」,「中继机E7的安装完成，紧接着收到了求救信号！重复，是求救信号」,OK,
116,game_t00115,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,「進出可能半径内につき、\wナイヴス両機による直接確認の許可を願う！」,「已在可行动半径内，请求允许黑刃两机直接确认！」,OK,
117,game_t00116,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ＪＦＫオペレーター,「――了解、\wこちらでもＥ７経由で信号を受信、\w座標も確認した。許可あるまで待機せよ」,「——了解，我方也通过E7接收信号，坐标已确认。在获得许可前待命。」,OK,
118,game_t00117,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,「ナイヴス１了解。急いで頼むよ！　ウィル、\w発進準備だ」,「黑刃1了解。快点拜托了！威尔，准备出发」,OK,
119,game_t00118,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,「――了解！」,「——了解！」,OK,
120,game_t00119,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,許可なんて出るに決まってる…\w…\w早く…\w…\w！,许可肯定会出的……快点……！,OK,
121,game_t00120,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ＪＦＫオペレーター,「――ソルティ・ベースよりナイヴス１、\wナイヴス両機による直接確認を許可する。生きていれば一ヶ月ぶりの朗報だ、\w頼むぞ！」,「——索尔蒂基地允许黑刃1、黑刃两机直接确认。要是人还活着，就是一个月来的好消息了，拜托了！」,OK,
122,game_t00121,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,来た――ッ！,来了——！,OK,
123,game_t00122,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,「ナイヴス１了解！　頼まれたよ！」,「黑刃1了解！交给我吧！」,OK,
124,game_t00123,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,「ナイヴス２、\wいつでも行けます！」,「黑刃2，随时可以出发！」,OK,
125,game_t00124,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,「ＯＫ、\w焦ってアンテナ蹴倒すんじゃないよ！」,「OK，可别急得把天线踢倒了！」,OK,
126,game_t00125,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,頼む、\w生きててくれよ…\w…\w！,拜托了，请活下去……！,OK,
127,game_t00126,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ダリル,「ナイヴス１よりナイヴス２。――ウィル、\w念のために言っておく。過剰な期待をするんじゃないよ」,「黑刃1呼叫黑刃2。――威尔，为以防万一我先说一句。不要抱有过高的期待。」,OK,
128,game_t00127,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,…\w…\w…\w…\w！,！,OK,
129,game_t00128,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,「…\w…\wナイヴス２了解」,「……黑刃2了解」,OK,
130,game_t00129,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,…\w…\wそうなんだよな。簡易ビーコンってことは、\w自動発信装置だけが生きてる可能性も低くない。,是啊。既然是简易信标，那也有可能只有自动发信装置还活着。,OK,
