"call_order","id","egpack","scene","speaker_jp","jp_text","cn_text"
"12","game_t00011","010_序章_響の悪夢01.egpack","010_序章_響の悪夢01","","「狂ってるんだよ、\wアンタも私もこいつらも――！　畜生…\w…\wッ！　死んじまえ――！」","「都疯了，你、我、还有这帮家伙——！畜生……！去死吧——！」"
"13","game_t00012","010_序章_響の悪夢01.egpack","010_序章_響の悪夢01","","「浅葱…\w…\w。これも…\w…\w\n生き延びるための…\w…\w現実だ…\w…\w」","「浅葱……这也是……为了活下去的……现实……」"
"14","game_t00013","010_序章_響の悪夢01.egpack","010_序章_響の悪夢01","","「はは…\w…\wっ、\wはははっは…\w…\wあはははッ…\w…\w」","「哈哈……、哈哈哈……啊哈哈哈……」"
"15","game_t00014","010_序章_響の悪夢01.egpack","010_序章_響の悪夢01","","「…\w…\wどうしたんだい、\w千堂」","「……怎么了，千堂」"
"16","game_t00015","010_序章_響の悪夢01.egpack","010_序章_響の悪夢01","","「…\w…\wその…\w…\wあの、\w隊長が…\w…\w」","「……那个……队长他……」"
"17","game_t00016","010_序章_響の悪夢01.egpack","010_序章_響の悪夢01","","「そんな…\w…\wそんなのって…\w…\w。なんでアンタが真っ先に脱落しちまうのさ…\w…\w」","「怎么会……怎么可以这样……为什么偏偏是你最先撑不住啊……」"
"18","game_t00017","010_序章_響の悪夢01.egpack","010_序章_響の悪夢01","","「昨日、\w寺本少尉が亡くなってから、\w少し様子が…\w…\w」","「自从昨天寺本少尉死后，他就有点……」"
"19","game_t00018","010_序章_響の悪夢01.egpack","010_序章_響の悪夢01","","「それが自殺の言い訳になるのかよ…\w…\w！？　ふざけんな…\w…\wッ！！」","「那就能当自杀的借口吗……！？开什么玩笑……！」"
"20","game_t00019","010_序章_響の悪夢01.egpack","010_序章_響の悪夢01","","「――！　何を隠したッ！　出せ――！」","「——！你藏了什么！拿出来——！」"
"21","game_t00020","010_序章_響の悪夢01.egpack","010_序章_響の悪夢01","","「だ、\w駄目です――！　それは――ッ！　――痛…\w…\wッ！」","「不、不行——！那是——！——痛……！」"
"22","game_t00021","010_序章_響の悪夢01.egpack","010_序章_響の悪夢01","","「大人しく寄越せば、\wケガしなくて済むんだよ…\w…\wッ！」","「乖乖交出来，就不用受伤了……！」"
"23","game_t00022","010_序章_響の悪夢01.egpack","010_序章_響の悪夢01","","「…\w…\wな…\w…\w何だって…\w…\w言うんだよ…\w…\w」","「……你……你说什么……」"
"24","game_t00023","010_序章_響の悪夢01.egpack","010_序章_響の悪夢01","","「…\w…\wだから…\w…\w駄目だと言ったんです。一緒に…\w…\w埋葬してあげましょう。このままじゃふたりが可哀想です…\w…\w」","「……所以我说了不行。一起……埋葬他们吧。这样放着两个人也太可怜了……」"
"25","game_t00024","010_序章_響の悪夢01.egpack","010_序章_響の悪夢01","","「…\w…\wいや」","「……不」"
"26","game_t00025","010_序章_響の悪夢01.egpack","010_序章_響の悪夢01","","「…\w…\w…\w…\w」","「……」"
"27","game_t00026","010_序章_響の悪夢01.egpack","010_序章_響の悪夢01","","「…\w…\wあたしには待ってる奴がいるんだ。それに…\w…\w」","「……我还有人在等我。而且……」"
"28","game_t00027","010_序章_響の悪夢01.egpack","010_序章_響の悪夢01","","「浅葱少尉…\w…\w」","「浅葱少尉……」"
"29","game_t00028","010_序章_響の悪夢01.egpack","010_序章_響の悪夢01","","「…\w…\w隊長の…\w…\w望みを叶えてやるべき…\w…\wじゃないか…\w…\w」","「……应该……实现队长的愿望……不是吗……」"
"30","game_t00029","010_序章_響の悪夢01.egpack","010_序章_響の悪夢01","","「…\w…\wな…\w…\w浅葱少尉！　ご…\w…\wご自分が何を言ったのか、\wわかっているのですか？」","「……浅葱少尉！你……你知道自己在说什么吗？」"
"31","game_t00030","010_序章_響の悪夢01.egpack","010_序章_響の悪夢01","","「…\w…\wわかってるさ。よく、\wわかっている…\w…\w」","「……知道。我很清楚……」"
"32","game_t00031","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「…\w…\w…\w…\w！」","「……！」"
"33","game_t00032","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","…\w…\w…\w…\w。","。"
"34","game_t00033","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","ここは…\w…\w？","这里是……？"
"35","game_t00034","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「夢…\w…\wだったのか…\w…\w？」","「是梦……吗……？」"
"36","game_t00035","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","…\w…\w…\w…\w。","。"
"37","game_t00036","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「寝惚けてる場合じゃねーぞ…\w…\w」","「现在可不是犯迷糊的时候……」"
"38","game_t00037","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","自分の声が耳に届く…\w…\w。","自己的声音传入耳中……。"
"39","game_t00038","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「ふぅ…\w…\w」","「呼……」"
"40","game_t00039","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","しかし、\w待機睡眠から勝手に目を覚ましちまうなんて…\w…\w。","但是，擅自从待机睡眠中醒来什么的……"
"41","game_t00040","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「なんつー夢だよ…\w…\w」","「什么破梦啊……」"
"42","game_t00041","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「ッ！？」","「咦！？」"
"43","game_t00042","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「――――！」","「——！」"
"44","game_t00043","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「始まった…\w…\w！」","「开始了……！」"
"45","game_t00044","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「やべっ…\w…\w！」","「糟了……！」"
"46","game_t00045","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「…\w…\wッ！」","「唔……！」"
"47","game_t00046","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","く…\w…\w解除忘れてた…\w…\w","切……忘记解除了……"
"48","game_t00047","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","もう起きてんのにコレ射たれるのはキツいんだよな…\w…\w","明明已经醒了还挨这一下，真够难受的……"
"49","game_t00048","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","――第１戦術機甲大隊長より大隊各機へ達する。これより作戦を開始する。大隊全機起動、\w繰り返す、\w全機起動せよ！","第一战术机甲大队长向大队各机传达。从现在开始执行作战。全大队启动，重复，全机启动！"
"50","game_t00049","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","来たな…\w…\w！","来了啊……！"
"51","game_t00050","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「何て眺めだ…\w…\w」","「这景色真是……」"
"52","game_t00051","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","これが反応弾の連鎖爆発かよ…\w…\w！","这就是反应弹的连锁爆炸啊……！"
"53","game_t00052","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","凄えな…\w…\w現物は初めて見るぜ…\w…\w。","真厉害……实物还是第一次见啊……。"
"54","game_t00053","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「全戦術機の起動を確認。――大隊諸君、\w仕事の時間だ」","「确认全战术机启动。――大队诸位，工作时间到了」"
"55","game_t00054","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「状況を伝える。反応弾によるＢＥＴＡ主力の第一次迎撃は無事成功した。これより作戦は第２段階へ移行する」","「通报情况。使用反应弹对BETA主力的第一次迎击已成功。从现在起作战转入第二阶段」"
"56","game_t00055","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","まずはひとつクリア…\w…\wか！","算是先过了一关……吧！"
"57","game_t00056","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「上陸地点の敵後続群、\w及び沿岸部は海軍が既に攻撃を開始した。我々は予定通り、\w内陸部の残存ＢＥＴＡの殲滅に入る！」","「海军已经开始攻击登陆地点的敌后续群及沿岸部。我们按计划转入内陆部残存BETA的歼灭作战！」"
"58","game_t00057","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「各小隊長は最終迎撃地点を再度確認せよ。全機、\w以降は各小隊長の指示に従え」","「各小队长再次确认最终迎击地点。全机，之后听从各小队长指示」"
"59","game_t00058","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","よし…\w…\w大きな配置変更は無い。","好……没有大的配置更改。"
"60","game_t00059","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","これだけの分散配置で連携を取るのは難しいが…\w…\w今回はやるしかない。","这么分散的配置要配合很难……但这次只能干了。"
"61","game_t00060","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「ひとつ良い知らせだ、\w現時点では今回も光線級の存在は確認されていない」","「有一个好消息，目前本次也未确认到光线级的存在」"
"62","game_t00061","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「ふぅ――」","「呼――」"
"63","game_t00062","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","ここじゃ想定通りらしいけど、\w結局本番までは分からないからな。","这里好像和预想一样，但毕竟到实战之前都说不准。"
"64","game_t00063","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","それに――。","而且――。"
"65","game_t00064","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「だが油断するな、\w常に海岸部より光線照射の可能性があるものと考えろ」","「但别大意，要时刻考虑海岸方向可能发射光线。」"
"66","game_t00065","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","…\w…\wそう、\w奴らが大群に紛れて上陸してくる可能性もある。","没错，它们也可能混在大群中登陆。"
"67","game_t00066","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","ＢＥＴＡ相手に昨日までの常識を適用するのは危険だ。","对付BETA，沿用昨日的常识是危险的。"
"68","game_t00067","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","対光線級に必須の飽和攻撃を仕掛ければ、\w今の俺たちの弾薬備蓄はあっという間に食い潰されちまう。","如果发动对抗光线级必需的饱和攻击，我们现在的弹药储备转眼就会耗尽。"
"69","game_t00068","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","たとえ今回は防げても、\w弾薬生産量が次の侵攻までに追いつく保証は無い…\w…\w。","就算这次能防住，也无法保证弹药产量能赶上下次进攻……。"
"70","game_t00069","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","…\w…\w何より光線級が出ちまえば、\wこのヒヨッ子を抱えて高度制限戦闘をやる羽目になる。","而且一旦光线级出现，就得带着这个菜鸟打高度限制战斗了。"
"71","game_t00070","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「できるか…\w…\w今の俺に…\w…\w」","「做得到吗……现在的我……」"
"72","game_t00071","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","久しぶりの実戦だ…\w…\w。だが、\wそんなもの何の言い訳にもならない…\w…\w。","久违的实战……。但那种东西成不了任何借口……。"
"73","game_t00072","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「大隊総員傾注！」","「大队全体注意！」"
"74","game_t00073","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","――！","！"
"75","game_t00074","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「――シアトルは我らに残された最後の安住の地である」","「――西雅图是我们最后残存的安居之地」"
"76","game_t00075","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「否、\w我ら帝国のみならず、\w人類の存亡はこの一戦に掛かっている！」","「不，不仅是我等帝国，人类的存亡都悬于这一战！」"
"77","game_t00076","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「あらゆる手段を以ってＢＥＴＡを殲滅し、\w必ず帰還せよ！」","「动用一切手段歼灭BETA，务必生还！」"
"78","game_t00077","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","そうだ、\w敵はＢＥＴＡだ…\w…\w。","没错，敌人是BETA……。"
"79","game_t00078","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「…\w…\wやってやろうじゃねえか」","「……干它一场吧」"
"80","game_t00079","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「――全機、\w迎撃地点への移動を開始せよ！」","「――全机，开始向迎击地点移动！」"
"81","game_t00080","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「了解ッ！」","「明白！」"
"82","game_t00081","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","ん…\w…\w？","嗯……？"
"83","game_t00082","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「――大隊長よりドレイク１。聞こえているか」","「――大队长呼叫德雷克1。听得见吗」"
"84","game_t00083","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「ドレイク１よりＧＬ。問題ありません」","「德雷克1呼叫GL。没问题」"
"85","game_t00084","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「大漁との報告だぞ。どうやら中尉の強運が奴らを引きつけたようだな」","「据说要大丰收啊。看来是中尉的强运把他们引来了」"
"86","game_t00085","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「は――！　光栄であります！」","「是！深感荣幸！」"
"87","game_t00086","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「ふふっ…\w…\w冗談だ、\wそう硬くなるな」","「呵呵……开玩笑的，别那么紧张」"
"88","game_t00087","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「…\w…\w申し訳ありません」","「……非常抱歉」"
"89","game_t00088","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「さて、\w復帰早々ですまないが、\w現在我が軍は少々余裕が無い。大西洋戦線で鍛えた貴様の腕前、\w存分に見せて貰おう」","「好了，虽然你刚归队就让你上阵很抱歉，但目前我军没有多少余力。你在大西洋战线磨练出的本事，就让我好好见识一下吧」"
"90","game_t00089","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「はっ！」","「是！」"
"91","game_t00090","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「性急な出撃命令で負担を掛けていることは理解している」","「我知道仓促下达出击命令给你造成了负担」"
"92","game_t00091","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","…\w…\w慣れない機体、\w定数割れの小隊、\wおまけに新米衛士付き。","不熟悉的机体、缺编的小队，还带着个新人卫士。"
"93","game_t00092","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","噂で事情を聞いてなきゃ罰ゲームかと思うところだ。","若不是听说了传闻，我还以为这是惩罚游戏呢。"
"94","game_t00093","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「だが貴様なら乗り越えられると信じている。貴様自身が掴み取った命だ、\w犬死は許さん」","「但我相信你一定能克服。那是你自己夺回的生命，不许你白白送死」"
"95","game_t00094","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「は――っ！」","「是――！」"
"96","game_t00095","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「取れる手は全て取れ。任務もヒヨっ子の面倒も、\w全てクリアしてみせろ！」","「能用的手段全用上。任务也好照顾菜鸟也罢，全部给我拿下！」"
"97","game_t00096","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","取れる手を全て取る…\w…\wなんてのは軍人としちゃ当然だ。","能用的手段全都用上……这对军人来说当然是理所当然的。"
"98","game_t00097","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","それをわざわざ言い含めたってのは――。","特意叮嘱那些话——"
"99","game_t00098","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「以上だ。必ず生きて帰れ」","「以上。一定要活着回来」"
"100","game_t00099","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「了解――！」","「明白——！」"
"101","game_t00100","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","神宮司少佐も厳しい展開だと読んでるってことだよな…\w…\w。","神宫司少佐也预料到战况会非常严峻啊……。"
"102","game_t00101","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","しかし…\w…\w大隊長御自らの激励とはね――。","不过……大队长亲自来激励啊——。"
"103","game_t00102","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「…\w…\w新参者だからといって、\w気を遣われてるままってのは面白くねぇんだよ」","「……就因为我是新来的，一直被照顾着可真没意思」"
"104","game_t00103","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「…\w…\wうし！」","「……好了！」"
"105","game_t00104","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「ドレイク１より各機、\w準備はいいか？　機体状況を報告せよ」","「德雷克1呼叫各机，准备好了吗？报告机体状况」"
"106","game_t00105","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「ドレイク２、\w異常なし」","「德雷克2，无异常」"
"107","game_t00106","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「ドレイク３、\wも、\w問題ありません！」","「德雷克3，也没问题！」"
"108","game_t00107","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","…\w…\w問題アリアリじゃねえか。","这不是问题多得很吗。"
"109","game_t00108","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「…\w…\w鈴原少尉」","「……铃原少尉」"
"110","game_t00109","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「――は、\wはいっ！」","「——是、是的！」"
"111","game_t00110","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「とにかく訓練通りにやれ。簡単な仕事だ。千堂少尉がケツを守ってくれる。絶対に諦めるな――それで生き残れるさ」","「总之按训练来就行。简单的任务。千堂少尉会掩护你的。绝对不要放弃——这样就能活下来」"
"112","game_t00111","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「中尉――わ、\w私は…\w…\w」","「中尉——我、我……」"
"113","game_t00112","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「おっと、\w怖いのは当たり前だぞ。俺だって未だにチビりそうになるんだぜ？　なぁ千堂少尉？　おまえもそうだろ？」","「哎呀，害怕是理所当然的。我到现在都还会吓得差点尿裤子呢。对吧千堂少尉？你也是吧？」"
"114","game_t00113","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「…\w…\wドレイク２よりリード、\w黙秘権を行使します」","「……德雷克2呼叫领队，我要行使沉默权」"
"115","game_t00114","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「俺の小隊では、\w沈黙は肯定と認識する」","「在我的小队里，沉默视为肯定」"
"116","game_t00115","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「龍浪中尉――ッ！」","「龙浪中尉——！」"
"117","game_t00116","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「は、\wはぁ…\w…\w？」","「哈、哈啊……？」"
"118","game_t00117","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「――鈴原少尉、\w余計なことは考えなくていいからブリーフィングを思い出して。私の動きに、\wついてきてくれればいい」","「——铃原少尉，不用想多余的事，回想一下简报。只要跟上我的动作就行」"
"119","game_t00118","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「あ…\w…\wは、\wはい！　いえその、\w了解です！」","「啊……是、是的！不、那个，明白！」"
"120","game_t00119","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「ふふふ――」","「呵呵呵——」"
"121","game_t00120","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「あ…\w…\wあはは…\w…\wはは…\w…\w」","「啊……啊哈哈……哈哈……」"
"122","game_t00121","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「ははっ…\w…\w」","「哈哈……」"
"123","game_t00122","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","…\w…\w少しは緊張が解れたか？","紧张多少缓解点了吗？"
"124","game_t00123","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","頼むぜ、\w生き延びてくれよ――！","拜托了，一定要活下来啊——！"
"125","game_t00124","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「――よし！　ドレイク隊、\w移動を開始する！」","「——好！德雷克队，开始移动！」"
"126","game_t00125","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「続け――ッ！」","「跟上——！」"
"127","game_t00126","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「了解！」","「明白！」"
"128","game_t00127","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「ドレイク１よりドレイク２」","「德雷克1呼叫德雷克2」"
"129","game_t00128","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「…\w…\wはい」","「……是。」"
"130","game_t00129","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「念のため、\wドレイク３の管制キーを転送する。前衛の俺では、\w処理が間に合わない可能性がある」","「以防万一，我把德雷克3的管制密钥传给你。我在前锋，可能来不及处理。」"
"131","game_t00130","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「…\w…\w…\w…\w」","「......」"
"132","game_t00131","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「各種措置は少尉の判断での即時使用を許可する。責任は全て俺が取る」","「允许你自行判断并立即使用各种措施。一切责任由我承担。」"
"133","game_t00132","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「…\w…\w了解です」","「……了解。」"
"134","game_t00133","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「…\w…\w悪いな。こっちも手は早めに打つ」","「……抱歉了。我这边也会尽快行动。」"
"135","game_t00134","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「…\w…\w了解。鈴原少尉から目を離さないように留意します。…\w…\w数字合わせだけしても意味はないのに」","「……了解。我会注意盯紧铃原少尉。……光凑人数根本毫无意义。」"
"136","game_t00135","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「そう言うな。…\w…\w神宮司少佐は分かってくれてるさ。さっきお墨付きも貰ったしな」","「别这么说。……神宫司少佐是理解的。刚才也得到了她的认可。」"
"137","game_t00136","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「あ…\w…\w」","「Ah...」"
"138","game_t00137","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「…\w…\wま、\w流石に心配なんだろ。数合わせの小隊でも、\w貴重な衛士と戦術機を投入してることに変わりはないしな」","「……嘛，果然还是担心吧。就算是凑数的小队，投入的也是宝贵的卫士和战术机，这点不会变。」"
"139","game_t00138","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「…\w…\w…\w…\w」","「……」"
"140","game_t00139","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「とにかく、\w俺が先行する。鈴原のフォロー、\w何とか頼むぜ」","「总之，我先行。铃原的照应就拜托你想办法了。」"
"141","game_t00140","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「了解。龍浪中尉――」","「了解。龙浪中尉——」"
"142","game_t00141","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「どうした？」","「怎么了？」"
"143","game_t00142","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「…\w…\w…\w…\w」","「……」"
"144","game_t00143","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「…\w…\w俺なら大丈夫だ。…\w…\w問題ねぇよ」","「……我没事的。……没问题。」"
"145","game_t00144","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「はい…\w…\w」","「是……」"
"146","game_t00145","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「…\w…\w生き残るぞ、\w絶対に」","「……一定要活下去，绝对。」"
"147","game_t00146","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","「了解…\w…\w！」","「明白……！」"
"148","game_t00147","020_起_第６次シアトル防衛線01.egpack","020_起_第６次シアトル防衛線01","","先鋒のご帰還か…\w…\w。","先锋归来了吗……。"
