relative_path,id,slot,expected_text,replacement_text
__speakers__.egpack,game_s00036,jp,女学生２,女学生2
__speakers__.egpack,game_s00037,jp,女学生３,女学生3
__speakers__.egpack,game_s00038,jp,女官,女官
__speakers__.egpack,game_s00039,jp,如月中尉,如月中尉
__speakers__.egpack,game_s00040,jp,妻,妻子
__speakers__.egpack,game_s00041,jp,子供の声,孩子的声音
__speakers__.egpack,game_s00042,jp,学生たち,学生们
__speakers__.egpack,game_s00043,jp,安倍大佐,安倍上校
__speakers__.egpack,game_s00044,jp,安芸,安艺
__speakers__.egpack,game_s00045,jp,小沢提督,小泽提督
__speakers__.egpack,game_s00046,jp,尚成,尚成
__speakers__.egpack,game_s00047,jp,山口提督,山口提督
__speakers__.egpack,game_s00048,jp,山城,山城
__speakers__.egpack,game_s00049,jp,山城・和泉,山城、和泉
__speakers__.egpack,game_s00050,jp,崇宰大尉,崇宰上尉
__speakers__.egpack,game_s00051,jp,巌谷中佐,岩谷中校
__speakers__.egpack,game_s00052,jp,志摩子,志摩子
__speakers__.egpack,game_s00053,jp,志摩子・安芸・和泉,志摩子、安艺、和泉
__speakers__.egpack,game_s00054,jp,恭子,恭子
__speakers__.egpack,game_s00055,jp,整備兵,维修兵
__speakers__.egpack,game_s00056,jp,斉藤助教,齐藤助教
__speakers__.egpack,game_s00057,jp,斉藤少尉,齐藤少尉
__speakers__.egpack,game_s00058,jp,斎御司経盛,斋御司经盛
__speakers__.egpack,game_s00059,jp,斑鳩少佐,斑鸠少校
__speakers__.egpack,game_s00060,jp,月詠真耶,月咏真耶
__speakers__.egpack,game_s00061,jp,月詠真那,月咏真那
__speakers__.egpack,game_s00062,jp,栴納,栴纳
__speakers__.egpack,game_s00063,jp,母,母亲
__speakers__.egpack,game_s00064,jp,瀧元官房長官,泷元内阁官房长官
__speakers__.egpack,game_s00065,jp,煌武院家当主,煌武院家主
__speakers__.egpack,game_s00066,jp,煌武院悠陽,煌武院悠阳
__speakers__.egpack,game_s00067,jp,父,父亲
__speakers__.egpack,game_s00068,jp,男,男子
__speakers__.egpack,game_s00069,jp,看護師,护士
__speakers__.egpack,game_s00070,jp,真田大尉,真田上尉
__speakers__.egpack,game_s00071,jp,真田教官,真田教官
__speakers__.egpack,game_s00072,jp,秘書,秘书
__speakers__.egpack,game_s00073,jp,秘書官,秘书官
__speakers__.egpack,game_s00074,jp,穴山中尉,穴山中尉
__speakers__.egpack,game_s00075,jp,第一小隊全員,第一小队全员
__speakers__.egpack,game_s00076,jp,第三小隊,第三小队
__speakers__.egpack,game_s00077,jp,義息,女婿
__speakers__.egpack,game_s00078,jp,老人,老人
__speakers__.egpack,game_s00079,jp,能登家執事,能登家管家
__speakers__.egpack,game_s00080,jp,能登母,能登母亲
__speakers__.egpack,game_s00081,jp,能登父,能登父亲
__speakers__.egpack,game_s00082,jp,蓮川,莲川
__speakers__.egpack,game_s00083,jp,藤堂助教,藤堂助教
__speakers__.egpack,game_s00084,jp,観測官,观测官
__speakers__.egpack,game_s00085,jp,鎧衣課長,铠衣课长
__speakers__.egpack,game_s00086,jp,関口国防大臣,关口国防大臣
__speakers__.egpack,game_s00087,jp,館内アナウンス,馆内广播
__speakers__.egpack,game_s00088,jp,Ｂ分隊,B分队
__speakers__.egpack,game_s00089,jp,ＣＰ将校,CP军官
__speakers__.egpack,game_s00090,jp,Ｎキャスター,新闻主播
