call_order,egpack,xml,message_tag_index,order_in_message,text_attr,id,jp,speaker_id,speaker_jp,status,same_id_total_egpacks,xml_attrs
11,010_UAFプロローグ.egpack,010_UAFプロローグ.xml,11,1,text,game_t00010,「…\w…\w…\w…\w」,game_s00003,オペレーター,ok,1,"__line__=""2190"" speaker=""$game_s00003"" text=""$game_t00010"" voice=""110_オペレーター_A_Z0008"""
12,010_UAFプロローグ.egpack,010_UAFプロローグ.xml,12,1,text,game_t00011,「北米航空宇宙防衛司令部より国連統合参謀会議へ。『マルドゥークはバビロンの鍵を得たり』」,game_s00006,テイラー大将,ok,1,"__line__=""2220"" speaker=""$game_s00006"" text=""$game_t00011"" voice=""100_当直司令_A_Z0004"""
13,010_UAFプロローグ.egpack,010_UAFプロローグ.xml,13,1,text,game_t00012,「了解。『マルドゥークはバビロンの鍵を得たり』、\w繰り返す、\w『マルドゥークはバビロンの鍵を得たり』」,game_s00003,オペレーター,ok,1,"__line__=""2230"" speaker=""$game_s00003"" text=""$game_t00012"" voice=""110_オペレーター_A_Z0009"""
14,010_UAFプロローグ.egpack,010_UAFプロローグ.xml,14,1,text,game_t00013,「諸君、\wいよいよだ――」,game_s00006,テイラー大将,ok,1,"__line__=""2290"" speaker=""$game_s00006"" text=""$game_t00013"" voice=""100_当直司令_A_Z0005"""
15,010_UAFプロローグ.egpack,010_UAFプロローグ.xml,15,1,text,game_t00014,「人類はまもなく勝利し、\wこの地球は再興する。６０年後ではなく、\w数年以内にな」,game_s00006,テイラー大将,ok,1,"__line__=""2300"" speaker=""$game_s00006"" text=""$game_t00014"" voice=""100_当直司令_A_Z0006"""
16,010_UAFプロローグ.egpack,010_UAFプロローグ.xml,16,1,text,game_t00015,「５４年後、\w彼らに送り届けようではないか――この美しき地球の姿を、\w緑溢れるユーラシアを」,game_s00006,テイラー大将,ok,1,"__line__=""2310"" speaker=""$game_s00006"" text=""$game_t00015"" voice=""100_当直司令_A_Z0007"""
17,010_UAFプロローグ.egpack,010_UAFプロローグ.xml,17,1,text,game_t00016,「――司令、\w国連統合参謀会議より返電。『バビロンの扉は開かれり』、\w以上です」,game_s00003,オペレーター,ok,1,"__line__=""2320"" speaker=""$game_s00003"" text=""$game_t00016"" voice=""110_オペレーター_A_Z0010"""
18,010_UAFプロローグ.egpack,010_UAFプロローグ.xml,18,1,text,game_t00017,「来たか――」,game_s00006,テイラー大将,ok,1,"__line__=""2330"" speaker=""$game_s00006"" text=""$game_t00017"" voice=""100_当直司令_A_Z0008"""
19,010_UAFプロローグ.egpack,010_UAFプロローグ.xml,19,1,text,game_t00018,「諸君――現時刻を以って『バビロン作戦』を発動する――！」,game_s00006,テイラー大将,ok,1,"__line__=""2400"" speaker=""$game_s00006"" text=""$game_t00018"" voice=""100_当直司令_A_Z0009"""
20,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,1,1,text,game_t00019,―\w―\w変わらぬ空を、\w今日も飛ぶ。,,,ok,1,"__line__=""390"" text=""$game_t00019"""
21,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,2,1,text,game_t00020,「…\w…\wナイヴス２よりナイヴス１。予定地点到達まで後１２０秒」,game_s00014,少尉,ok,1,"__line__=""800"" speaker=""$game_s00014"" text=""$game_t00020"" voice=""ウィル_A_Z0000"""
22,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,3,1,text,game_t00021,「ナイヴス１了解。減速を開始する。測地準備に入れ」,game_s00012,中尉,ok,1,"__line__=""820"" speaker=""$game_s00012"" text=""$game_t00021"" voice=""020_ダリル_A_D0001"""
23,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,4,1,text,game_t00022,「ナイヴス２了解」,game_s00014,少尉,ok,1,"__line__=""1020"" speaker=""$game_s00014"" text=""$game_t00022"" voice=""ウィル_A_Z0001"""
24,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,5,1,text,game_t00023,「…\w…\w…\w…\w」,game_s00014,少尉,ok,1,"__line__=""1040"" speaker=""$game_s00014"" text=""$game_t00023"""
25,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,6,1,text,game_t00024,滑らかに、穏やかに―\w―,,,ok,1,"__line__=""1060"" text=""$game_t00024"""
26,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,7,1,text,game_t00025,…\w…\wよし、\w特に問題ないな。,,,ok,1,"__line__=""1860"" text=""$game_t00025"""
27,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,8,1,text,game_t00026,「対地光学映像記録完了、\wＧＰＳ照合に回します。…\w…\w元の座標データじゃ深海層か」,game_s00014,少尉,ok,1,"__line__=""1880"" speaker=""$game_s00014"" text=""$game_t00026"" voice=""ウィル_A_Z0002"""
28,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,9,1,text,game_t00027,「ナイヴス１了解。こちらも記録を完了した。誤差はないようだ」,game_s00012,中尉,ok,1,"__line__=""1910"" speaker=""$game_s00012"" text=""$game_t00027"" voice=""020_ダリル_A_D0002"""
29,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,10,1,text,game_t00028,「悪くない飛び方だったな、\wウィル。滑らかに穏やかに」,game_s00012,中尉,ok,1,"__line__=""1960"" speaker=""$game_s00012"" text=""$game_t00028"" voice=""020_ダリル_A_D0003"""
30,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,11,1,text,game_t00029,「女を扱うように優しくするんだ。貴様のようなガサツな奴は女にも戦術機にも嫌われるぞ」,game_s00012,中尉,ok,1,"__line__=""2010"" ruby=""$game_t00029_ruby"" speaker=""$game_s00012"" text=""$game_t00029"" voice=""020_ダリル_A_D0004"""
31,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,12,1,text,game_t00030,やれやれ…\w…\wうまく飛んでも結局『坊や』扱いは変わらずか。,,,ok,1,"__line__=""2160"" text=""$game_t00030"""
32,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,13,1,text,game_t00031,「了解です、\wマクマナス中尉。――中尉を扱うように丁寧に心掛けます」,game_s00001,ウィル,ok,1,"__line__=""2170"" speaker=""$game_s00001"" text=""$game_t00031"" voice=""ウィル_A_Z0003"""
33,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,14,1,text,game_t00032,「…\w…\wなんだ？　帰投したらご褒美が欲しいのか？」,game_s00009,マクマナス中尉,ok,1,"__line__=""2180"" speaker=""$game_s00009"" text=""$game_t00032"" voice=""020_ダリル_A_D0005"""
34,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,15,1,text,game_t00033,「謹んで遠慮申し上げます、\wマム」,game_s00001,ウィル,ok,1,"__line__=""2230"" speaker=""$game_s00001"" text=""$game_t00033"" voice=""ウィル_A_Z0004"""
35,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,16,1,text,game_t00034,「いい返事だウィル。よく分かったよ、\wおまえがまったく分かっちゃいないってことがね」,game_s00009,マクマナス中尉,ok,1,"__line__=""2270"" speaker=""$game_s00009"" text=""$game_t00034"" voice=""020_ダリル_A_D0006"""
36,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,17,1,text,game_t00035,とはいえ、\w単調で気の滅入る任務の最中、\wこういう軽口は正直ありがたい。,,,ok,1,"__line__=""2300"" text=""$game_t00035"""
37,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,18,1,text,game_t00036,「――にしても、\wこっちも代わり映えしない光景ですね。…\w…\w分かっちゃいましたが、\wその…\w…\w」,game_s00001,ウィル,ok,1,"__line__=""2310"" speaker=""$game_s00001"" text=""$game_t00036"" voice=""ウィル_A_Z0005"""
38,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,19,1,text,game_t00037,何度見ても気の滅入る風景だ。,,,ok,1,"__line__=""3100"" text=""$game_t00037"""
39,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,20,1,text,game_t00038,延々と続く海岸線、\w見渡す限りの塩の砂漠。人類の存在を示す代物が欠片も無い世界が広がっている。,,,ok,1,"__line__=""3110"" text=""$game_t00038"""
40,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,21,1,text,game_t00039,「おやおや、\w泣き言には早すぎだねえ少尉」,game_s00009,マクマナス中尉,ok,1,"__line__=""3150"" speaker=""$game_s00009"" text=""$game_t00039"" voice=""020_ダリル_A_D0007"""
41,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,22,1,text,game_t00040,「泣き言ではありません。感想です」,game_s00001,ウィル,ok,1,"__line__=""3170"" speaker=""$game_s00001"" text=""$game_t00040"" voice=""ウィル_A_Z0006"""
42,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,23,1,text,game_t00041,「ほう、\wこのダリル姐さんに向かって言うじゃないか」,game_s00009,マクマナス中尉,ok,1,"__line__=""3210"" speaker=""$game_s00009"" text=""$game_t00041"" voice=""020_ダリル_A_D0008"""
43,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,24,1,text,game_t00042,「上官への正しい助言は部下の責務であります、\wマム」,game_s00001,ウィル,ok,1,"__line__=""3230"" speaker=""$game_s00001"" text=""$game_t00042"" voice=""ウィル_A_Z0007"""
44,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,25,1,text,game_t00043,「やれやれ。何を期待してたか知らないがアタシゃ何も変わらん方が安心するね。全ては予想の範疇内、\wなべて世は事もなし、\wってな」,game_s00005,ダリル,ok,1,"__line__=""3270"" speaker=""$game_s00005"" text=""$game_t00043"" voice=""020_ダリル_A_D0009"""
45,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,26,1,text,game_t00044,「…\w…\w…\w…\w」,game_s00001,ウィル,ok,1,"__line__=""3300"" speaker=""$game_s00001"" text=""$game_t00044"" voice=""ウィル_A_Z0008"""
46,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,27,1,text,game_t00045,「しかし、\wオマエの台詞も分からんでもない。最近はお船も網に掛からんが、\wこれっきりで打ち止めとは思いたくないからねえ」,game_s00005,ダリル,ok,1,"__line__=""3340"" speaker=""$game_s00005"" text=""$game_t00045"" voice=""020_ダリル_A_D0010"""
47,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,28,1,text,game_t00046,「諦めたくないんですよ、\w俺はまだ」,game_s00001,ウィル,ok,1,"__line__=""3360"" speaker=""$game_s00001"" text=""$game_t00046"" voice=""ウィル_A_Z0009"""
48,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,29,1,text,game_t00047,「誰も諦めたかないさ。だからこそアタシらはここにいる。でも忘れるんじゃないよ、\w『無事に帰る』のも任務だよ」,game_s00005,ダリル,ok,1,"__line__=""3400"" speaker=""$game_s00005"" text=""$game_t00047"" voice=""020_ダリル_A_D0011"""
49,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,30,1,text,game_t00048,「アイマム。\wもちろんです」,game_s00001,ウィル,ok,1,"__line__=""3420"" speaker=""$game_s00001"" text=""$game_t00048"" voice=""ウィル_A_Z0010"""
50,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,31,1,text,game_t00049,無事に帰りたいが、\w何かがあって欲しい。,,,ok,1,"__line__=""3550"" text=""$game_t00049"""
51,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,32,1,text,game_t00050,もちろん別にトラブルが欲しいってわけじゃない。,,,ok,1,"__line__=""3560"" text=""$game_t00050"""
52,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,33,1,text,game_t00051,ただ、\wこの何も無い世界に、\w何かが、\w誰かが――,,,ok,1,"__line__=""3600"" text=""$game_t00051"""
53,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,34,1,text,game_t00052,「ＧＰＳ照合完了。マップデータ更新…\w…\w\n精度問題なし。転送します」,game_s00001,ウィル,ok,1,"__line__=""4600"" speaker=""$game_s00001"" text=""$game_t00052"" voice=""ウィル_A_Z0011"""
54,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,35,1,text,game_t00053,「――更新確認。こちらも異常なしだ」,game_s00005,ダリル,ok,1,"__line__=""4680"" speaker=""$game_s00005"" text=""$game_t00053"" voice=""020_ダリル_A_D0012"""
55,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,36,1,text,game_t00054,「地図作成装置ができて随分楽になったモンだ。メルヴィナ様々だ。…\w…\w写真並べてお絵描きするのはもうウンザリだからねえ」,game_s00005,ダリル,ok,1,"__line__=""4740"" speaker=""$game_s00005"" text=""$game_t00054"" voice=""020_ダリル_A_D0013"""
56,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,37,1,text,game_t00055,帰投後にマークした座標と光学カメラの記録をつき合わせ、\w延々と海岸線情報を打ち込んでいく――,,,ok,1,"__line__=""4760"" text=""$game_t00055"""
57,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,38,1,text,game_t00056,あれは苦痛以外の何物でもなかったな。,,,ok,1,"__line__=""4810"" text=""$game_t00056"""
58,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,39,1,text,game_t00057,「メルは凄い奴ですよ。あり合わせで色々組み上げるのがホント上手い」,game_s00001,ウィル,ok,1,"__line__=""4820"" speaker=""$game_s00001"" text=""$game_t00057"" voice=""ウィル_A_Z0012"""
59,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,40,1,text,game_t00058,「数字に強いってのはインド系の血の為せる業ってやつですかね」,game_s00001,ウィル,ok,1,"__line__=""4830"" speaker=""$game_s00001"" text=""$game_t00058"" voice=""ウィル_A_Z0013"""
60,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,41,1,text,game_t00059,「そこは関係ないだろう…\w…\wと言うべきトコだが、\wあり得ん話でもないな。…\w…\w少なくとも、\wそう思わせるように振る舞ってる」,game_s00005,ダリル,ok,1,"__line__=""4870"" speaker=""$game_s00005"" text=""$game_t00059"" voice=""020_ダリル_A_D0014"""
61,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,42,1,text,game_t00060,「オージーとインドも複雑だしねえ…\w…\w。そう見られた方が彼女にとって得なんだろうよ」,game_s00005,ダリル,ok,1,"__line__=""4940"" speaker=""$game_s00005"" text=""$game_t00060"" voice=""020_ダリル_A_D0015"""
62,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,43,1,text,game_t00061,「…\w…\w…\w…\w」,game_s00001,ウィル,ok,1,"__line__=""4960"" speaker=""$game_s00001"" text=""$game_t00061"" voice=""ウィル_A_Z0014"""
63,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,44,1,text,game_t00062,インドからの難民を大量に受け入れた\nオーストラリアだが、\wその扱いは\n俺たち米国と似たようなもんだ。,,,ok,1,"__line__=""4970"" text=""$game_t00062"""
64,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,45,1,text,game_t00063,いや、\w優秀な難民は使いたいが人種差別も根強い、\wというネジれた事情は、\w米国より複雑かもしれない。,,,ok,1,"__line__=""4980"" text=""$game_t00063"""
65,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,46,1,text,game_t00064,「人間、\w追い詰められると縄張り意識が強くなるっていうか…\w…\w。――んなモン気にしても、\wどうしようもないんだけどねえ、\wもう」,game_s00005,ダリル,ok,1,"__line__=""5050"" speaker=""$game_s00005"" text=""$game_t00064"" voice=""020_ダリル_A_D0016"""
66,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,47,1,text,game_t00065,「…\w…\wそうですね。皮肉な話です」,game_s00001,ウィル,ok,1,"__line__=""5070"" speaker=""$game_s00001"" text=""$game_t00065"" voice=""ウィル_A_Z0015"""
67,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,48,1,text,game_t00066,「よし、\wそろそろ設置ポイントだ。この地形なら少し内陸に寄せるべきか――ナイヴス２、\w続け」,game_s00005,ダリル,ok,1,"__line__=""5160"" speaker=""$game_s00005"" text=""$game_t00066"" voice=""020_ダリル_A_D0017"""
68,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,49,1,text,game_t00067,「ナイヴス２了解」,game_s00001,ウィル,ok,1,"__line__=""5180"" speaker=""$game_s00001"" text=""$game_t00067"" voice=""ウィル_A_Z0016"""
69,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,50,1,text,game_t00068,「ＯＫ、\wこの辺りにするぞ」,game_s00005,ダリル,ok,1,"__line__=""6810"" speaker=""$game_s00005"" text=""$game_t00068"" voice=""020_ダリル_A_D0018"""
70,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,51,1,text,game_t00069,岩盤も安定してるみたいだし、\w地形的にも申し分ないな。,,,ok,1,"__line__=""6970"" text=""$game_t00069"""
71,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,52,1,text,game_t00070,「中継機下ろせ――慎重にやんな。メルの薄い胸を撫でるようにジェントルにだ。痛くするなよ」,game_s00005,ダリル,ok,1,"__line__=""7160"" speaker=""$game_s00005"" text=""$game_t00070"" voice=""020_ダリル_A_D0019"""
72,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,53,1,text,game_t00071,「…\w…\wッ！」,game_s00001,ウィル,ok,1,"__line__=""7250"" speaker=""$game_s00001"" text=""$game_t00071"" voice=""ウィル_A_Z0017"""
73,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,54,1,text,game_t00072,「――手元狂わす気満々じゃないですか！　\n大体作戦中ですよ中尉、\w\nレコーダー回ってるんですから…\w…\w！」,game_s00001,ウィル,ok,1,"__line__=""7410"" speaker=""$game_s00001"" text=""$game_t00072"" voice=""ウィル_A_Z0018"""
74,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,55,1,text,game_t00073,「なんだ、\wまだヤってなかったのか？　童貞かおまえ？」,game_s00005,ダリル,ok,1,"__line__=""7420"" speaker=""$game_s00005"" text=""$game_t00073"" voice=""020_ダリル_A_D0020"""
75,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,56,1,text,game_t00074,「そんな関係じゃないです。疑われたら彼女に迷惑ですよ！」,game_s00001,ウィル,ok,1,"__line__=""7500"" speaker=""$game_s00001"" text=""$game_t00074"" voice=""ウィル_A_Z0019"""
76,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,57,1,text,game_t00075,「ハハッ、\w別にメルが聞いているわけじゃあるまいし、\w米国海兵隊員がこれぐらいで動じるな」,game_s00005,ダリル,ok,1,"__line__=""7540"" speaker=""$game_s00005"" text=""$game_t00075"" voice=""020_ダリル_A_D0021"""
77,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,58,1,text,game_t00076,相変わらずこの人は…\w…\w大体メルに聞かれたら殺されるっての。,,,ok,1,"__line__=""7610"" text=""$game_t00076"""
78,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,59,1,text,game_t00077,「ほれどうした、\w復唱しろウィル少尉」,game_s00005,ダリル,ok,1,"__line__=""7620"" speaker=""$game_s00005"" text=""$game_t00077"" voice=""020_ダリル_A_D0022"""
79,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,60,1,text,game_t00078,「――アイマム、\w動じずジェントルに設置します」,game_s00001,ウィル,ok,1,"__line__=""7690"" speaker=""$game_s00001"" text=""$game_t00078"" voice=""ウィル_A_Z0020"""
80,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,61,1,text,game_t00079,ローゼンバーグ中尉は延々このノリに耐えてたんだろうか…\w…\w。,,,ok,1,"__line__=""7730"" text=""$game_t00079"""
81,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,62,1,text,game_t00080,「スパイク打ち込み確認、\w固定完了です。アンテナ伸張、\wシステムチェック開始」,game_s00001,ウィル,ok,1,"__line__=""8020"" speaker=""$game_s00001"" text=""$game_t00080"" voice=""ウィル_A_Z0021"""
82,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,63,1,text,game_t00081,「了解、\wこっちでも起動を確認した。…\w…\w何かしら拾ってくれりゃいいけどねえ」,game_s00005,ダリル,ok,1,"__line__=""8030"" speaker=""$game_s00005"" text=""$game_t00081"" voice=""020_ダリル_A_D0023"""
83,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,64,1,text,game_t00082,「――世の中なべて事もなし、\wじゃなかったんですか？」,game_s00001,ウィル,ok,1,"__line__=""8120"" speaker=""$game_s00001"" text=""$game_t00082"" voice=""ウィル_A_Z0022"""
84,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,65,1,text,game_t00083,「そりゃ設置するまでの話だ。わざわざ推進剤噴かして据え付けたんだ。当たりを引きゃあ海軍の連中にも顔が立つ。違うかい？」,game_s00005,ダリル,ok,1,"__line__=""8130"" speaker=""$game_s00005"" text=""$game_t00083"" voice=""020_ダリル_A_D0024"""
85,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,66,1,text,game_t00084,「俺はもちろんそう思ってますよ」,game_s00001,ウィル,ok,1,"__line__=""8180"" speaker=""$game_s00001"" text=""$game_t00084"" voice=""ウィル_A_Z0023"""
86,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,67,1,text,game_t00085,この単調な任務が報われる唯一の瞬間――俺たちはそれだけを待ち望み、\wこうして中継機を運んでる。,,,ok,1,"__line__=""8220"" text=""$game_t00085"""
87,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,68,1,text,game_t00086,海兵隊員、\w第３１８戦術機隊は諦めない、\wだ。,,,ok,1,"__line__=""8270"" ruby=""$game_t00086_ruby"" text=""$game_t00086"""
88,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,69,1,text,game_t00087,「まったく…\w…\w、\w合衆国の正規母艦様がこんなモノに頼らなきゃいけないとはねえ」,game_s00005,ダリル,ok,1,"__line__=""8350"" speaker=""$game_s00005"" text=""$game_t00087"" voice=""020_ダリル_A_D0025"""
89,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,70,1,text,game_t00088,「低軌道衛星がなきゃどうしようもないですよ。ＧＰＳが生きてるだけマシです」,game_s00001,ウィル,ok,1,"__line__=""8370"" speaker=""$game_s00001"" text=""$game_t00088"" voice=""ウィル_A_Z0024"""
90,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,71,1,text,game_t00089,測量に捜索、\wやってることはまるで昔の探検隊だもんな。正規母艦打撃群、\wなんて大層な名前が泣けてくる。,,,ok,1,"__line__=""8380"" text=""$game_t00089"""
91,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,72,1,text,game_t00090,「母艦の静止衛星リンク、\wメルは何か言ってないのかい？」,game_s00005,ダリル,ok,1,"__line__=""8390"" speaker=""$game_s00005"" text=""$game_t00090"" voice=""020_ダリル_A_D0026"""
92,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,73,1,text,game_t00091,「さすがにメルも母艦自体の装備になると関与できないみたいですが…\w…\w」,game_s00001,ウィル,ok,1,"__line__=""8480"" ruby=""$game_t00091_ruby"" speaker=""$game_s00001"" text=""$game_t00091"" voice=""ウィル_A_Z0025"""
93,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,74,1,text,game_t00092,母艦の装備は機密の塊だからな。,,,ok,1,"__line__=""8530"" text=""$game_t00092"""
94,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,75,1,text,game_t00093,建前上、\wさすがに国連軍――というか\nオーストラリア軍の人間に触らせる\nわけにはいかない。,,,ok,1,"__line__=""8540"" text=""$game_t00093"""
95,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,76,1,text,game_t00094,…\w…\wったく、\wそんな固いこと言ってる場合じゃないだろうに。,,,ok,1,"__line__=""8580"" text=""$game_t00094"""
96,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,77,1,text,game_t00095,「噂を聞く限りだと、\wあれは技術士官総出で取り組んでも無理だそうですよ」,game_s00001,ウィル,ok,1,"__line__=""8620"" speaker=""$game_s00001"" text=""$game_t00095"" voice=""ウィル_A_Z0026"""
