egpack,id,jp,next_jp_carried_in_this_block
020_UAF_DAY91_01.egpack,game_t00053,「――更新確認。こちらも異常なしだ」,「地図作成装置ができて随分楽になったモンだ。メルヴィナ様々だ。…\w…\w写真並べてお絵描きするのはもうウンザリだからねえ」
020_UAF_DAY91_01.egpack,game_t00054,「地図作成装置ができて随分楽になったモンだ。メルヴィナ様々だ。…\w…\w写真並べてお絵描きするのはもうウンザリだからねえ」,帰投後にマークした座標と光学カメラの記録をつき合わせ、\w延々と海岸線情報を打ち込んでいく――
020_UAF_DAY91_01.egpack,game_t00055,帰投後にマークした座標と光学カメラの記録をつき合わせ、\w延々と海岸線情報を打ち込んでいく――,あれは苦痛以外の何物でもなかったな。
020_UAF_DAY91_01.egpack,game_t00056,あれは苦痛以外の何物でもなかったな。,「メルは凄い奴ですよ。あり合わせで色々組み上げるのがホント上手い」
020_UAF_DAY91_01.egpack,game_t00057,「メルは凄い奴ですよ。あり合わせで色々組み上げるのがホント上手い」,「数字に強いってのはインド系の血の為せる業ってやつですかね」
020_UAF_DAY91_01.egpack,game_t00058,「数字に強いってのはインド系の血の為せる業ってやつですかね」,「そこは関係ないだろう…\w…\wと言うべきトコだが、\wあり得ん話でもないな。…\w…\w少なくとも、\wそう思わせるように振る舞ってる」
020_UAF_DAY91_01.egpack,game_t00059,「そこは関係ないだろう…\w…\wと言うべきトコだが、\wあり得ん話でもないな。…\w…\w少なくとも、\wそう思わせるように振る舞ってる」,「オージーとインドも複雑だしねえ…\w…\w。そう見られた方が彼女にとって得なんだろうよ」
020_UAF_DAY91_01.egpack,game_t00060,「オージーとインドも複雑だしねえ…\w…\w。そう見られた方が彼女にとって得なんだろうよ」,「…\w…\w…\w…\w」
020_UAF_DAY91_01.egpack,game_t00061,「…\w…\w…\w…\w」,インドからの難民を大量に受け入れた\nオーストラリアだが、\wその扱いは\n俺たち米国と似たようなもんだ。
020_UAF_DAY91_01.egpack,game_t00062,インドからの難民を大量に受け入れた\nオーストラリアだが、\wその扱いは\n俺たち米国と似たようなもんだ。,いや、\w優秀な難民は使いたいが人種差別も根強い、\wというネジれた事情は、\w米国より複雑かもしれない。
020_UAF_DAY91_01.egpack,game_t00063,いや、\w優秀な難民は使いたいが人種差別も根強い、\wというネジれた事情は、\w米国より複雑かもしれない。,「人間、\w追い詰められると縄張り意識が強くなるっていうか…\w…\w。――んなモン気にしても、\wどうしようもないんだけどねえ、\wもう」
020_UAF_DAY91_01.egpack,game_t00064,「人間、\w追い詰められると縄張り意識が強くなるっていうか…\w…\w。――んなモン気にしても、\wどうしようもないんだけどねえ、\wもう」,「…\w…\wそうですね。皮肉な話です」
020_UAF_DAY91_01.egpack,game_t00065,「…\w…\wそうですね。皮肉な話です」,「よし、\wそろそろ設置ポイントだ。この地形なら少し内陸に寄せるべきか――ナイヴス２、\w続け」
020_UAF_DAY91_01.egpack,game_t00066,「よし、\wそろそろ設置ポイントだ。この地形なら少し内陸に寄せるべきか――ナイヴス２、\w続け」,「ナイヴス２了解」
020_UAF_DAY91_01.egpack,game_t00067,「ナイヴス２了解」,「ＯＫ、\wこの辺りにするぞ」
020_UAF_DAY91_01.egpack,game_t00068,「ＯＫ、\wこの辺りにするぞ」,岩盤も安定してるみたいだし、\w地形的にも申し分ないな。
020_UAF_DAY91_01.egpack,game_t00069,岩盤も安定してるみたいだし、\w地形的にも申し分ないな。,「中継機下ろせ――慎重にやんな。メルの薄い胸を撫でるようにジェントルにだ。痛くするなよ」
020_UAF_DAY91_01.egpack,game_t00070,「中継機下ろせ――慎重にやんな。メルの薄い胸を撫でるようにジェントルにだ。痛くするなよ」,「…\w…\wッ！」
020_UAF_DAY91_01.egpack,game_t00071,「…\w…\wッ！」,「――手元狂わす気満々じゃないですか！　\n大体作戦中ですよ中尉、\w\nレコーダー回ってるんですから…\w…\w！」
020_UAF_DAY91_01.egpack,game_t00072,「――手元狂わす気満々じゃないですか！　\n大体作戦中ですよ中尉、\w\nレコーダー回ってるんですから…\w…\w！」,「なんだ、\wまだヤってなかったのか？　童貞かおまえ？」
020_UAF_DAY91_01.egpack,game_t00073,「なんだ、\wまだヤってなかったのか？　童貞かおまえ？」,「そんな関係じゃないです。疑われたら彼女に迷惑ですよ！」
020_UAF_DAY91_01.egpack,game_t00074,「そんな関係じゃないです。疑われたら彼女に迷惑ですよ！」,「ハハッ、\w別にメルが聞いているわけじゃあるまいし、\w米国海兵隊員がこれぐらいで動じるな」
020_UAF_DAY91_01.egpack,game_t00075,「ハハッ、\w別にメルが聞いているわけじゃあるまいし、\w米国海兵隊員がこれぐらいで動じるな」,相変わらずこの人は…\w…\w大体メルに聞かれたら殺されるっての。
020_UAF_DAY91_01.egpack,game_t00076,相変わらずこの人は…\w…\w大体メルに聞かれたら殺されるっての。,「ほれどうした、\w復唱しろウィル少尉」
020_UAF_DAY91_01.egpack,game_t00077,「ほれどうした、\w復唱しろウィル少尉」,「――アイマム、\w動じずジェントルに設置します」
020_UAF_DAY91_01.egpack,game_t00078,「――アイマム、\w動じずジェントルに設置します」,ローゼンバーグ中尉は延々このノリに耐えてたんだろうか…\w…\w。
020_UAF_DAY91_01.egpack,game_t00079,ローゼンバーグ中尉は延々このノリに耐えてたんだろうか…\w…\w。,「スパイク打ち込み確認、\w固定完了です。アンテナ伸張、\wシステムチェック開始」
020_UAF_DAY91_01.egpack,game_t00080,「スパイク打ち込み確認、\w固定完了です。アンテナ伸張、\wシステムチェック開始」,「了解、\wこっちでも起動を確認した。…\w…\w何かしら拾ってくれりゃいいけどねえ」
020_UAF_DAY91_01.egpack,game_t00081,「了解、\wこっちでも起動を確認した。…\w…\w何かしら拾ってくれりゃいいけどねえ」,「――世の中なべて事もなし、\wじゃなかったんですか？」
020_UAF_DAY91_01.egpack,game_t00082,「――世の中なべて事もなし、\wじゃなかったんですか？」,「そりゃ設置するまでの話だ。わざわざ推進剤噴かして据え付けたんだ。当たりを引きゃあ海軍の連中にも顔が立つ。違うかい？」
020_UAF_DAY91_01.egpack,game_t00083,「そりゃ設置するまでの話だ。わざわざ推進剤噴かして据え付けたんだ。当たりを引きゃあ海軍の連中にも顔が立つ。違うかい？」,「俺はもちろんそう思ってますよ」
020_UAF_DAY91_01.egpack,game_t00084,「俺はもちろんそう思ってますよ」,この単調な任務が報われる唯一の瞬間――俺たちはそれだけを待ち望み、\wこうして中継機を運んでる。
020_UAF_DAY91_01.egpack,game_t00085,この単調な任務が報われる唯一の瞬間――俺たちはそれだけを待ち望み、\wこうして中継機を運んでる。,第３１８戦術機隊は諦めない:ブラック・ナイヴス・ドント・クイット
020_UAF_DAY91_01.egpack,game_t00086,海兵隊員、\w第３１８戦術機隊は諦めない、\wだ。,「まったく…\w…\w、\w合衆国の正規母艦様がこんなモノに頼らなきゃいけないとはねえ」
020_UAF_DAY91_01.egpack,game_t00087,「まったく…\w…\w、\w合衆国の正規母艦様がこんなモノに頼らなきゃいけないとはねえ」,「低軌道衛星がなきゃどうしようもないですよ。ＧＰＳが生きてるだけマシです」
020_UAF_DAY91_01.egpack,game_t00088,「低軌道衛星がなきゃどうしようもないですよ。ＧＰＳが生きてるだけマシです」,測量に捜索、\wやってることはまるで昔の探検隊だもんな。正規母艦打撃群、\wなんて大層な名前が泣けてくる。
020_UAF_DAY91_01.egpack,game_t00089,測量に捜索、\wやってることはまるで昔の探検隊だもんな。正規母艦打撃群、\wなんて大層な名前が泣けてくる。,「母艦の静止衛星リンク、\wメルは何か言ってないのかい？」
020_UAF_DAY91_01.egpack,game_t00090,「母艦の静止衛星リンク、\wメルは何か言ってないのかい？」,母艦自体:ウチ
020_UAF_DAY91_01.egpack,game_t00091,「さすがにメルも母艦自体の装備になると関与できないみたいですが…\w…\w」,母艦の装備は機密の塊だからな。
020_UAF_DAY91_01.egpack,game_t00092,母艦の装備は機密の塊だからな。,建前上、\wさすがに国連軍――というか\nオーストラリア軍の人間に触らせる\nわけにはいかない。
020_UAF_DAY91_01.egpack,game_t00093,建前上、\wさすがに国連軍――というか\nオーストラリア軍の人間に触らせる\nわけにはいかない。,…\w…\wったく、\wそんな固いこと言ってる場合じゃないだろうに。
020_UAF_DAY91_01.egpack,game_t00094,…\w…\wったく、\wそんな固いこと言ってる場合じゃないだろうに。,「噂を聞く限りだと、\wあれは技術士官総出で取り組んでも無理だそうですよ」
020_UAF_DAY91_01.egpack,game_t00095,「噂を聞く限りだと、\wあれは技術士官総出で取り組んでも無理だそうですよ」,孤島:アイランド;艦橋構造物:アイランド
020_UAF_DAY91_01.egpack,game_t00096,「技術の方は特に人手が足りないしね。ああも派手にヘシ折れてりゃ当然か…\w…\w。艦橋構造物が陸の孤島ってのは胸糞悪い冗談だな、\wウィル」,「ええ…\w…\w寝て覚めて冗談だったら、\wと思わない日はないですよ」
020_UAF_DAY91_01.egpack,game_t00097,「ええ…\w…\w寝て覚めて冗談だったら、\wと思わない日はないですよ」,おかげでデータリンクもまともに機能しない――。
020_UAF_DAY91_01.egpack,game_t00098,おかげでデータリンクもまともに機能しない――。,本当に笑えない冗談の結果、\w俺たちはここで延々仕事をしてる。
020_UAF_DAY91_01.egpack,game_t00099,本当に笑えない冗談の結果、\w俺たちはここで延々仕事をしてる。,お、\w来たか。何かあってくれよ…\w…\w！
020_UAF_DAY91_01.egpack,game_t00100,お、\w来たか。何かあってくれよ…\w…\w！,「起動完了しました。広帯域モードで中継開始しま――」
020_UAF_DAY91_01.egpack,game_t00101,「起動完了しました。広帯域モードで中継開始しま――」,「――！」
020_UAF_DAY91_01.egpack,game_t00102,「――！」,「――！」
020_UAF_DAY91_01.egpack,game_t00103,「――！」,「――隊長、\wこれってまさか」
020_UAF_DAY91_01.egpack,game_t00104,「――隊長、\wこれってまさか」,「――救難信号だウィル！　本当に一発で拾ったぞ！」
020_UAF_DAY91_01.egpack,game_t00105,「――救難信号だウィル！　本当に一発で拾ったぞ！」,「よぉし上出来だ、\w座標が入ってる！」
020_UAF_DAY91_01.egpack,game_t00106,「よぉし上出来だ、\w座標が入ってる！」,来てるのは救難要請シグナルとＧＰＳ座標だけ―\w―
020_UAF_DAY91_01.egpack,game_t00107,来てるのは救難要請シグナルとＧＰＳ座標だけ―\w―,「こちらからのコールは受信しないようです。自動ビーコンです」
020_UAF_DAY91_01.egpack,game_t00108,「こちらからのコールは受信しないようです。自動ビーコンです」,と来れば、もちろん―\w―
020_UAF_DAY91_01.egpack,game_t00109,と来れば、もちろん―\w―,「――オーケー、\w十分航続圏内だな…\w…\w行ってみりゃわかる！」
020_UAF_DAY91_01.egpack,game_t00110,「――オーケー、\w十分航続圏内だな…\w…\w行ってみりゃわかる！」,…\w…\wよし！
020_UAF_DAY91_01.egpack,game_t00111,…\w…\wよし！,「ナイヴス１よりソルティ・ベース、\w聞こえるかい？」
020_UAF_DAY91_01.egpack,game_t00112,「ナイヴス１よりソルティ・ベース、\w聞こえるかい？」,「――ソルティ・ベースよりナイヴス１、\w感度良好」
020_UAF_DAY91_01.egpack,game_t00113,「――ソルティ・ベースよりナイヴス１、\w感度良好」,「中継機Ｅ７の設置を完了、\w直後に救難信号を受信した！　繰り返す、\w救難信号だ」
020_UAF_DAY91_01.egpack,game_t00114,「中継機Ｅ７の設置を完了、\w直後に救難信号を受信した！　繰り返す、\w救難信号だ」,「進出可能半径内につき、\wナイヴス両機による直接確認の許可を願う！」
020_UAF_DAY91_01.egpack,game_t00115,「進出可能半径内につき、\wナイヴス両機による直接確認の許可を願う！」,「――了解、\wこちらでもＥ７経由で信号を受信、\w座標も確認した。許可あるまで待機せよ」
020_UAF_DAY91_01.egpack,game_t00116,「――了解、\wこちらでもＥ７経由で信号を受信、\w座標も確認した。許可あるまで待機せよ」,「ナイヴス１了解。急いで頼むよ！　ウィル、\w発進準備だ」
020_UAF_DAY91_01.egpack,game_t00117,「ナイヴス１了解。急いで頼むよ！　ウィル、\w発進準備だ」,「――了解！」
020_UAF_DAY91_01.egpack,game_t00118,「――了解！」,許可なんて出るに決まってる…\w…\w早く…\w…\w！
020_UAF_DAY91_01.egpack,game_t00119,許可なんて出るに決まってる…\w…\w早く…\w…\w！,「――ソルティ・ベースよりナイヴス１、\wナイヴス両機による直接確認を許可する。生きていれば一ヶ月ぶりの朗報だ、\w頼むぞ！」
020_UAF_DAY91_01.egpack,game_t00120,「――ソルティ・ベースよりナイヴス１、\wナイヴス両機による直接確認を許可する。生きていれば一ヶ月ぶりの朗報だ、\w頼むぞ！」,来た――ッ！
020_UAF_DAY91_01.egpack,game_t00121,来た――ッ！,「ナイヴス１了解！　頼まれたよ！」
020_UAF_DAY91_01.egpack,game_t00122,「ナイヴス１了解！　頼まれたよ！」,「ナイヴス２、\wいつでも行けます！」
020_UAF_DAY91_01.egpack,game_t00123,「ナイヴス２、\wいつでも行けます！」,「ＯＫ、\w焦ってアンテナ蹴倒すんじゃないよ！」
020_UAF_DAY91_01.egpack,game_t00124,「ＯＫ、\w焦ってアンテナ蹴倒すんじゃないよ！」,頼む、\w生きててくれよ…\w…\w！
020_UAF_DAY91_01.egpack,game_t00125,頼む、\w生きててくれよ…\w…\w！,「ナイヴス１よりナイヴス２。――ウィル、\w念のために言っておく。過剰な期待をするんじゃないよ」
020_UAF_DAY91_01.egpack,game_t00126,「ナイヴス１よりナイヴス２。――ウィル、\w念のために言っておく。過剰な期待をするんじゃないよ」,…\w…\w…\w…\w！
020_UAF_DAY91_01.egpack,game_t00127,…\w…\w…\w…\w！,「…\w…\wナイヴス２了解」
020_UAF_DAY91_01.egpack,game_t00128,「…\w…\wナイヴス２了解」,…\w…\wそうなんだよな。簡易ビーコンってことは、\w自動発信装置だけが生きてる可能性も低くない。
020_UAF_DAY91_01.egpack,game_t00129,…\w…\wそうなんだよな。簡易ビーコンってことは、\w自動発信装置だけが生きてる可能性も低くない。,遺体が回収できるだけでも御の字と言えば御の字だが、\w最悪それすらなく、\w空の船が漂着してることもある…\w…\w。
020_UAF_DAY91_01.egpack,game_t00130,遺体が回収できるだけでも御の字と言えば御の字だが、\w最悪それすらなく、\w空の船が漂着してることもある…\w…\w。,いや…\w…\w最悪の予想をするのはやめよう。
020_UAF_DAY91_01.egpack,game_t00131,いや…\w…\w最悪の予想をするのはやめよう。,これは過剰な期待じゃない、\w『希望』だ――！
020_UAF_DAY91_01.egpack,game_t00132,これは過剰な期待じゃない、\w『希望』だ――！,「そろそろ直接交信圏内のはずだ、\w一旦高度上げるよ――呼び出しを続けな」
020_UAF_DAY91_01.egpack,game_t00133,「そろそろ直接交信圏内のはずだ、\w一旦高度上げるよ――呼び出しを続けな」,「了解」
020_UAF_DAY91_01.egpack,game_t00134,「了解」,この高度、\w未だに尻がむずむずする。
020_UAF_DAY91_01.egpack,game_t00135,この高度、\w未だに尻がむずむずする。,光線級に脅えてた頃なら、\w演習以外でこんな高度を取るのは自殺行為だった…\w…
020_UAF_DAY91_01.egpack,game_t00136,光線級に脅えてた頃なら、\w演習以外でこんな高度を取るのは自殺行為だった…\w…,…\w…\wそれが今や完全に実用域。
020_UAF_DAY91_01.egpack,game_t00137,…\w…\wそれが今や完全に実用域。,『高度を稼いで水平線を遠くする』――あの日以来、\wそれが唯一残された通信距離の拡大方法だからな。
020_UAF_DAY91_01.egpack,game_t00138,『高度を稼いで水平線を遠くする』――あの日以来、\wそれが唯一残された通信距離の拡大方法だからな。,「相手が出たら得意の漫談を披露しとけ」
020_UAF_DAY91_01.egpack,game_t00139,「相手が出たら得意の漫談を披露しとけ」,「――了解。…\w…\wって隊長、\w漫談は小官の得意とするところではありませんが…\w…\w。大体こんな時に――」
020_UAF_DAY91_01.egpack,game_t00140,「――了解。…\w…\wって隊長、\w漫談は小官の得意とするところではありませんが…\w…\w。大体こんな時に――」,「――おまえの得手不得手なんざ聞いてないんだよ。大真面目な話だ。見な」
020_UAF_DAY91_01.egpack,game_t00141,「――おまえの得手不得手なんざ聞いてないんだよ。大真面目な話だ。見な」,「信号強度から見てもでかい船じゃない。救命ボートか何かだ」
020_UAF_DAY91_01.egpack,game_t00142,「信号強度から見てもでかい船じゃない。救命ボートか何かだ」,「あ…\w…\wそういう事、\wですか。了解」
020_UAF_DAY91_01.egpack,game_t00143,「あ…\w…\wそういう事、\wですか。了解」,「分かったか、\w言ってみな」
020_UAF_DAY91_01.egpack,game_t00144,「分かったか、\w言ってみな」,「――は。相手はごく少数、\wあるいは単独。何日、\wいや何週間孤立してたかも不明。音声が途切れればそれだけで不安を与える、\wと思われます」
020_UAF_DAY91_01.egpack,game_t00145,「――は。相手はごく少数、\wあるいは単独。何日、\wいや何週間孤立してたかも不明。音声が途切れればそれだけで不安を与える、\wと思われます」,俺自身は遭難したことなんて無いが、\w海上で孤立する不安ってのは相当なものだろう。
020_UAF_DAY91_01.egpack,game_t00146,俺自身は遭難したことなんて無いが、\w海上で孤立する不安ってのは相当なものだろう。,途切れずに話しかけ続けるってのは、\w確かにこういう場合の基本ではある。
020_UAF_DAY91_01.egpack,game_t00147,途切れずに話しかけ続けるってのは、\w確かにこういう場合の基本ではある。,「そういう事だ。一発で正解なら\nリコリスキャンディをくれてやったのにな」
020_UAF_DAY91_01.egpack,game_t00148,「そういう事だ。一発で正解なら\nリコリスキャンディをくれてやったのにな」,…\w…\wでも、\w隊長の言い方はホント分かりづらいんだよ。俺にセンスが無いだけといえばそれまでだが。
020_UAF_DAY91_01.egpack,game_t00149,…\w…\wでも、\w隊長の言い方はホント分かりづらいんだよ。俺にセンスが無いだけといえばそれまでだが。,「面目ありません――音声通信を開始します」
020_UAF_DAY91_01.egpack,game_t00150,「面目ありません――音声通信を開始します」,頼むぜ、\w誰か…\w…\w！
020_UAF_DAY91_01.egpack,game_t00151,頼むぜ、\w誰か…\w…\w！,「こちら米国海兵隊第３１８戦術歩行戦闘機隊\n『ブラック・ナイヴス』、\w救難信号を受信しました。\n聞こえていたら応答願います」
020_UAF_DAY91_01.egpack,game_t00152,「こちら米国海兵隊第３１８戦術歩行戦闘機隊\n『ブラック・ナイヴス』、\w救難信号を受信しました。\n聞こえていたら応答願います」,「こちら米国海兵隊第３１８戦術歩行戦闘機隊\n『ブラック・ナイヴス』、\w救難信号を受信しました。\n聞こえていたら応答願います」
020_UAF_DAY91_01.egpack,game_t00153,「こちら米国海兵隊第３１８戦術歩行戦闘機隊\n『ブラック・ナイヴス』、\w救難信号を受信しました。\n聞こえていたら応答願います」,返信なし――
